#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-023
#user,Paula
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-25 17:45:32
#file_id,/SS000001.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.12,2026-05-25 17:45:32,-0.31,-0.30,9.39,9.40,1.9,-1.9,BACK_UP,MOVING,NORMAL
2,0.22,2026-05-25 17:45:32,-0.32,-0.31,9.35,9.36,1.9,-1.9,BACK_UP,MOVING,NORMAL
3,0.32,2026-05-25 17:45:32,-0.34,-0.31,9.36,9.37,2.1,-1.9,BACK_UP,MOVING,NORMAL
4,0.42,2026-05-25 17:45:32,-0.32,-0.32,9.40,9.41,2.0,-1.9,BACK_UP,MOVING,NORMAL
5,0.52,2026-05-25 17:45:32,-0.30,-0.28,9.39,9.40,1.8,-1.7,BACK_UP,MOVING,NORMAL
6,0.62,2026-05-25 17:45:32,-0.32,-0.30,9.39,9.40,2.0,-1.8,BACK_UP,MOVING,NORMAL
7,0.72,2026-05-25 17:45:32,-0.32,-0.32,9.42,9.43,1.9,-1.9,BACK_UP,MOVING,NORMAL
8,0.82,2026-05-25 17:45:32,-0.33,-0.30,9.40,9.41,2.0,-1.9,BACK_UP,MOVING,NORMAL
9,0.92,2026-05-25 17:45:32,-0.33,-0.31,9.39,9.40,2.0,-1.9,BACK_UP,MOVING,NORMAL
10,1.02,2026-05-25 17:45:33,-0.32,-0.31,9.39,9.40,2.0,-1.9,BACK_UP,MOVING,NORMAL
11,1.12,2026-05-25 17:45:33,-0.32,-0.31,9.41,9.42,1.9,-1.9,BACK_UP,MOVING,NORMAL
12,1.22,2026-05-25 17:45:33,-0.32,-0.31,9.38,9.39,1.9,-1.9,BACK_UP,MOVING,NORMAL
13,1.32,2026-05-25 17:45:33,-0.31,-0.32,9.38,9.39,1.9,-1.9,BACK_UP,MOVING,NORMAL
14,1.42,2026-05-25 17:45:33,-0.33,-0.33,9.39,9.41,2.0,-2.0,BACK_UP,MOVING,NORMAL
15,1.52,2026-05-25 17:45:33,-0.35,-0.30,9.37,9.38,2.2,-1.9,BACK_UP,MOVING,NORMAL
16,1.62,2026-05-25 17:45:33,-0.33,-0.31,9.38,9.39,2.0,-1.9,BACK_UP,MOVING,NORMAL
17,1.72,2026-05-25 17:45:33,-0.33,-0.30,9.42,9.43,2.0,-1.8,BACK_UP,MOVING,NORMAL
18,1.82,2026-05-25 17:45:33,-0.33,-0.32,9.41,9.42,2.0,-1.9,BACK_UP,MOVING,NORMAL
19,1.92,2026-05-25 17:45:33,-0.32,-0.31,9.39,9.40,2.0,-1.9,BACK_UP,MOVING,NORMAL
20,2.02,2026-05-25 17:45:34,-0.36,-0.30,9.41,9.42,2.2,-1.8,BACK_UP,MOVING,NORMAL
21,2.12,2026-05-25 17:45:34,-0.29,-0.31,9.38,9.39,1.8,-1.9,BACK_UP,MOVING,NORMAL
22,2.22,2026-05-25 17:45:34,-0.41,-0.31,9.38,9.40,2.5,-1.9,BACK_UP,MOVING,NORMAL
23,2.32,2026-05-25 17:45:34,-0.31,-0.33,9.39,9.40,1.9,-2.0,BACK_UP,MOVING,NORMAL
24,2.42,2026-05-25 17:45:34,-0.32,-0.29,9.39,9.40,1.9,-1.8,BACK_UP,MOVING,NORMAL
25,2.52,2026-05-25 17:45:34,-0.24,-0.30,9.40,9.41,1.5,-1.9,BACK_UP,MOVING,NORMAL
26,2.62,2026-05-25 17:45:34,-0.38,-0.30,9.39,9.40,2.3,-1.8,BACK_UP,MOVING,NORMAL
27,2.72,2026-05-25 17:45:34,-0.30,-0.32,9.37,9.38,1.8,-2.0,BACK_UP,MOVING,NORMAL
28,2.82,2026-05-25 17:45:34,-0.30,-0.31,9.41,9.42,1.8,-1.9,BACK_UP,MOVING,NORMAL
29,2.92,2026-05-25 17:45:34,-0.43,-0.31,9.45,9.47,2.6,-1.9,BACK_UP,MOVING,NORMAL
30,3.02,2026-05-25 17:45:35,-0.20,-0.04,10.11,10.11,1.1,-0.2,BACK_UP,MOVING,NORMAL
