#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-031
#user,envo datos esp a blt
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 10:49:49
#file_id,/SS000008.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.20,2026-05-26 10:49:49,-0.39,-0.36,9.40,9.41,2.4,-2.2,BACK_UP,MOVING,NORMAL
2,0.29,2026-05-26 10:49:49,-0.46,-0.38,9.39,9.41,2.8,-2.3,BACK_UP,MOVING,NORMAL
3,0.39,2026-05-26 10:49:49,-0.48,-0.39,9.37,9.39,2.9,-2.4,BACK_UP,MOVING,NORMAL
4,0.49,2026-05-26 10:49:49,-0.41,-0.40,9.39,9.41,2.5,-2.5,BACK_UP,MOVING,NORMAL
5,0.59,2026-05-26 10:49:49,-0.42,-0.36,9.42,9.44,2.6,-2.2,BACK_UP,MOVING,NORMAL
6,0.69,2026-05-26 10:49:49,-0.50,-0.61,9.33,9.36,3.1,-3.8,BACK_UP,MOVING,NORMAL
7,0.79,2026-05-26 10:49:49,-1.36,-0.33,10.14,10.23,7.7,-1.9,BACK_UP,MOVING,NORMAL
8,0.89,2026-05-26 10:49:49,-1.97,-0.14,10.99,11.16,10.1,-0.7,BACK_UP,MOVING,NORMAL
9,0.99,2026-05-26 10:49:49,-2.63,-0.40,7.99,8.42,18.2,-2.9,BACK_UP,MOVING,NORMAL
10,1.09,2026-05-26 10:49:50,-4.99,-0.49,7.06,8.65,35.2,-4.0,BACK_UP,MOVING,NORMAL
11,1.19,2026-05-26 10:49:50,-3.59,-1.59,10.50,11.21,18.7,-8.6,BACK_UP,MOVING,NORMAL
12,1.29,2026-05-26 10:49:50,-0.92,-1.22,10.37,10.48,5.1,-6.7,BACK_UP,MOVING,NORMAL
13,1.39,2026-05-26 10:49:50,0.57,-1.33,9.31,9.42,-3.5,-8.2,BACK_UP,MOVING,NORMAL
14,1.49,2026-05-26 10:49:50,2.49,-1.28,9.09,9.51,-15.1,-8.0,BACK_UP,MOVING,NORMAL
15,1.59,2026-05-26 10:49:50,4.18,-1.13,8.69,9.71,-25.5,-7.4,BACK_UP,MOVING,NORMAL
16,1.69,2026-05-26 10:49:50,4.51,-1.09,8.57,9.74,-27.6,-7.2,BACK_UP,MOVING,NORMAL
17,1.79,2026-05-26 10:49:50,4.84,-1.08,8.42,9.77,-29.7,-7.3,BACK_UP,MOVING,NORMAL
18,1.89,2026-05-26 10:49:50,4.74,-1.06,8.31,9.63,-29.5,-7.3,BACK_UP,MOVING,NORMAL
19,1.99,2026-05-26 10:49:50,3.71,-1.06,8.95,9.75,-22.4,-6.7,BACK_UP,MOVING,NORMAL
20,2.09,2026-05-26 10:49:51,2.51,-1.02,9.27,9.66,-15.1,-6.2,BACK_UP,MOVING,NORMAL
21,2.19,2026-05-26 10:49:51,1.53,-0.92,9.43,9.59,-9.2,-5.6,BACK_UP,MOVING,NORMAL
22,2.29,2026-05-26 10:49:51,0.84,-0.72,9.30,9.37,-5.1,-4.4,BACK_UP,MOVING,NORMAL
23,2.39,2026-05-26 10:49:51,0.34,-0.45,9.92,9.93,-2.0,-2.6,BACK_UP,MOVING,NORMAL
24,2.49,2026-05-26 10:49:51,-2.49,-1.17,9.10,9.50,15.2,-7.3,BACK_UP,MOVING,NORMAL
25,2.59,2026-05-26 10:49:51,-3.02,-0.32,8.07,8.62,20.5,-2.3,BACK_UP,MOVING,NORMAL
26,2.69,2026-05-26 10:49:51,-6.00,-0.58,7.46,9.59,38.7,-4.4,BACK_UP,MOVING,NORMAL
27,2.79,2026-05-26 10:49:51,-5.17,-0.03,6.48,8.29,38.6,-0.3,BACK_UP,MOVING,NORMAL
28,2.89,2026-05-26 10:49:51,-5.12,-0.10,7.05,8.71,36.0,-0.8,BACK_UP,MOVING,NORMAL
29,2.99,2026-05-26 10:49:51,-3.65,-0.32,7.57,8.41,25.7,-2.4,BACK_UP,MOVING,NORMAL
30,3.09,2026-05-26 10:49:52,-1.97,-0.45,8.29,8.53,13.4,-3.1,BACK_UP,MOVING,NORMAL
31,3.20,2026-05-26 10:49:52,-0.73,-1.15,9.33,9.43,4.4,-7.0,BACK_UP,MOVING,NORMAL
32,3.30,2026-05-26 10:49:52,0.20,-0.77,9.36,9.39,-1.2,-4.7,BACK_UP,MOVING,NORMAL
33,3.40,2026-05-26 10:49:52,1.07,-0.74,9.55,9.64,-6.4,-4.5,BACK_UP,MOVING,NORMAL
34,3.50,2026-05-26 10:49:52,2.68,-0.68,9.18,9.59,-16.3,-4.2,BACK_UP,MOVING,NORMAL
35,3.60,2026-05-26 10:49:52,3.76,-0.82,8.91,9.71,-22.8,-5.3,BACK_UP,MOVING,NORMAL
36,3.70,2026-05-26 10:49:52,4.80,-0.73,8.43,9.72,-29.6,-5.0,BACK_UP,MOVING,NORMAL
37,3.80,2026-05-26 10:49:52,5.38,-0.84,8.21,9.85,-33.1,-5.8,BACK_UP,MOVING,NORMAL
38,3.90,2026-05-26 10:49:52,5.44,-0.87,8.07,9.77,-33.8,-6.2,BACK_UP,MOVING,NORMAL
39,4.00,2026-05-26 10:49:52,5.06,-0.86,8.50,9.93,-30.6,-5.8,BACK_UP,MOVING,NORMAL
40,4.10,2026-05-26 10:49:53,4.66,-0.75,8.45,9.68,-28.8,-5.1,BACK_UP,MOVING,NORMAL
41,4.20,2026-05-26 10:49:53,3.61,-0.69,8.95,9.68,-21.9,-4.4,BACK_UP,MOVING,NORMAL
42,4.30,2026-05-26 10:49:53,2.18,-0.54,9.71,9.97,-12.6,-3.2,BACK_UP,MOVING,NORMAL
43,4.40,2026-05-26 10:49:53,1.67,-0.42,9.28,9.44,-10.2,-2.6,BACK_UP,MOVING,NORMAL
44,4.50,2026-05-26 10:49:53,0.22,-0.50,9.52,9.53,-1.3,-3.0,BACK_UP,MOVING,NORMAL
45,4.60,2026-05-26 10:49:53,-1.09,-0.51,9.59,9.67,6.5,-3.1,BACK_UP,MOVING,NORMAL
46,4.70,2026-05-26 10:49:53,-1.30,-0.49,9.80,9.90,7.6,-2.9,BACK_UP,MOVING,NORMAL
47,4.80,2026-05-26 10:49:53,-2.65,-0.18,8.68,9.08,17.0,-1.2,BACK_UP,MOVING,NORMAL
48,4.90,2026-05-26 10:49:53,-3.90,-0.13,7.77,8.70,26.6,-0.9,BACK_UP,MOVING,NORMAL
49,5.00,2026-05-26 10:49:53,-4.50,-0.06,7.99,9.17,29.4,-0.4,BACK_UP,MOVING,NORMAL
50,5.10,2026-05-26 10:49:54,-5.10,0.00,6.66,8.39,37.4,0.0,BACK_UP,MOVING,NORMAL
51,5.20,2026-05-26 10:49:54,-4.56,-0.06,8.27,9.45,28.8,-0.4,BACK_UP,MOVING,NORMAL
52,5.30,2026-05-26 10:49:54,-3.75,-0.12,8.38,9.19,24.1,-0.8,BACK_UP,MOVING,NORMAL
53,5.40,2026-05-26 10:49:54,-2.71,-0.06,7.41,7.89,20.1,-0.5,BACK_UP,MOVING,NORMAL
54,5.50,2026-05-26 10:49:54,-1.90,-0.53,8.61,8.83,12.4,-3.5,BACK_UP,MOVING,NORMAL
55,5.60,2026-05-26 10:49:54,-0.50,-0.68,9.44,9.48,3.0,-4.1,BACK_UP,MOVING,NORMAL
56,5.70,2026-05-26 10:49:54,0.41,-0.53,9.60,9.62,-2.4,-3.2,BACK_UP,MOVING,NORMAL
57,5.80,2026-05-26 10:49:54,2.02,-0.50,9.38,9.61,-12.2,-3.0,BACK_UP,MOVING,NORMAL
58,5.90,2026-05-26 10:49:54,3.49,-0.76,8.98,9.67,-21.2,-4.8,BACK_UP,MOVING,NORMAL
59,6.00,2026-05-26 10:49:54,4.92,-0.78,8.34,9.72,-30.4,-5.3,BACK_UP,MOVING,NORMAL
60,6.10,2026-05-26 10:49:55,5.70,-0.79,7.93,9.80,-35.6,-5.7,BACK_UP,MOVING,NORMAL
61,6.20,2026-05-26 10:49:55,5.77,-0.76,7.49,9.48,-37.5,-5.8,BACK_UP,MOVING,NORMAL
62,6.30,2026-05-26 10:49:55,5.79,-0.86,7.67,9.65,-36.9,-6.4,BACK_UP,MOVING,NORMAL
63,6.40,2026-05-26 10:49:55,5.28,-0.84,8.20,9.79,-32.6,-5.8,BACK_UP,MOVING,NORMAL
64,6.50,2026-05-26 10:49:55,4.35,-0.74,8.49,9.56,-27.0,-5.0,BACK_UP,MOVING,NORMAL
65,6.60,2026-05-26 10:49:55,2.46,-0.69,9.45,9.79,-14.6,-4.2,BACK_UP,MOVING,NORMAL
66,6.70,2026-05-26 10:49:55,1.45,-0.58,9.32,9.45,-8.8,-3.6,BACK_UP,MOVING,NORMAL
67,6.80,2026-05-26 10:49:55,-0.19,-0.60,10.21,10.23,1.1,-3.4,BACK_UP,MOVING,NORMAL
68,6.90,2026-05-26 10:49:55,-0.97,-0.30,10.57,10.62,5.2,-1.6,BACK_UP,MOVING,NORMAL
69,7.00,2026-05-26 10:49:55,-2.13,-0.22,9.44,9.68,12.7,-1.3,BACK_UP,MOVING,NORMAL
70,7.10,2026-05-26 10:49:56,-3.33,0.00,9.02,9.62,20.3,0.0,BACK_UP,MOVING,NORMAL
71,7.20,2026-05-26 10:49:56,-4.55,0.08,7.47,8.75,31.3,0.6,BACK_UP,MOVING,NORMAL
72,7.30,2026-05-26 10:49:56,-5.24,0.02,6.36,8.25,39.5,0.2,BACK_UP,MOVING,NORMAL
73,7.40,2026-05-26 10:49:56,-5.39,0.06,7.09,8.91,37.3,0.5,BACK_UP,MOVING,NORMAL
74,7.50,2026-05-26 10:49:56,-4.47,0.19,7.06,8.36,32.3,1.6,BACK_UP,MOVING,NORMAL
75,7.60,2026-05-26 10:49:56,-2.97,-0.44,7.93,8.48,20.5,-3.2,BACK_UP,MOVING,NORMAL
76,7.70,2026-05-26 10:49:56,-1.81,-0.45,8.42,8.62,12.1,-3.1,BACK_UP,MOVING,NORMAL
77,7.80,2026-05-26 10:49:56,-0.81,0.17,11.54,11.57,4.0,0.9,BACK_UP,MOVING,NORMAL
78,7.90,2026-05-26 10:49:56,0.22,-0.61,9.67,9.70,-1.3,-3.6,BACK_UP,MOVING,NORMAL
79,8.00,2026-05-26 10:49:57,1.35,-0.41,9.32,9.43,-8.2,-2.5,BACK_UP,MOVING,NORMAL
80,8.10,2026-05-26 10:49:57,2.58,-0.47,9.26,9.63,-15.6,-2.9,BACK_UP,MOVING,NORMAL
81,8.20,2026-05-26 10:49:57,3.78,-0.72,8.82,9.62,-23.2,-4.7,BACK_UP,MOVING,NORMAL
82,8.30,2026-05-26 10:49:57,5.23,-0.65,7.99,9.57,-33.1,-4.7,BACK_UP,MOVING,NORMAL
83,8.40,2026-05-26 10:49:57,5.61,-0.67,7.94,9.74,-35.1,-4.8,BACK_UP,MOVING,NORMAL
84,8.50,2026-05-26 10:49:57,5.54,-0.74,8.09,9.84,-34.3,-5.3,BACK_UP,MOVING,NORMAL
85,8.60,2026-05-26 10:49:57,4.95,-0.58,8.34,9.71,-30.6,-4.0,BACK_UP,MOVING,NORMAL
