#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-031
#user,vittorio
#age,47
#height_m,180.00
#weight_kg,98.00
#mode,prueba de grabacin 10 minutos
#start_local,2026-05-26 15:01:58
#file_id,/SS000009.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.20,2026-05-26 15:01:58,-0.34,-0.73,9.49,9.53,2.1,-4.4,BACK_UP,NO_ADVANCE,NORMAL
2,0.29,2026-05-26 15:01:58,-0.27,-0.71,9.49,9.52,1.6,-4.3,BACK_UP,NO_ADVANCE,NORMAL
3,0.39,2026-05-26 15:01:58,-0.28,-0.69,9.46,9.49,1.7,-4.2,BACK_UP,NO_ADVANCE,NORMAL
4,0.49,2026-05-26 15:01:58,-0.28,-0.73,9.46,9.50,1.7,-4.4,BACK_UP,NO_ADVANCE,NORMAL
5,0.59,2026-05-26 15:01:58,-0.31,-0.73,9.49,9.52,1.9,-4.4,BACK_UP,NO_ADVANCE,NORMAL
6,0.69,2026-05-26 15:01:58,-0.29,-0.72,9.50,9.53,1.7,-4.3,BACK_UP,NO_ADVANCE,NORMAL
7,0.79,2026-05-26 15:01:58,-0.31,-0.73,9.47,9.50,1.9,-4.4,BACK_UP,NO_ADVANCE,NORMAL
8,0.89,2026-05-26 15:01:58,-0.28,-0.73,9.51,9.54,1.7,-4.4,BACK_UP,NO_ADVANCE,NORMAL
9,0.99,2026-05-26 15:01:58,-0.29,-0.74,9.44,9.47,1.8,-4.5,BACK_UP,NO_ADVANCE,NORMAL
10,1.09,2026-05-26 15:01:59,-0.30,-0.70,9.45,9.48,1.8,-4.2,BACK_UP,NO_ADVANCE,NORMAL
11,1.19,2026-05-26 15:01:59,-0.30,-0.70,9.46,9.49,1.8,-4.2,BACK_UP,NO_ADVANCE,NORMAL
12,1.29,2026-05-26 15:01:59,-0.26,-0.70,9.49,9.52,1.5,-4.2,BACK_UP,NO_ADVANCE,NORMAL
13,1.39,2026-05-26 15:01:59,-0.28,-0.73,9.45,9.49,1.7,-4.4,BACK_UP,NO_ADVANCE,NORMAL
14,1.49,2026-05-26 15:01:59,-0.36,-0.75,9.46,9.50,2.2,-4.6,BACK_UP,NO_ADVANCE,NORMAL
15,1.59,2026-05-26 15:01:59,-0.28,-0.76,9.47,9.51,1.7,-4.6,BACK_UP,NO_ADVANCE,NORMAL
16,1.69,2026-05-26 15:01:59,-0.39,-0.77,9.45,9.49,2.3,-4.6,BACK_UP,NO_ADVANCE,NORMAL
17,1.79,2026-05-26 15:01:59,-0.23,-0.72,9.53,9.56,1.4,-4.3,BACK_UP,NO_ADVANCE,NORMAL
18,1.89,2026-05-26 15:01:59,-0.26,-0.68,9.46,9.49,1.6,-4.1,BACK_UP,NO_ADVANCE,NORMAL
19,1.99,2026-05-26 15:01:59,-0.29,-0.77,9.48,9.52,1.8,-4.6,BACK_UP,NO_ADVANCE,NORMAL
20,2.09,2026-05-26 15:02:00,-0.36,-0.75,9.44,9.48,2.2,-4.6,BACK_UP,NO_ADVANCE,NORMAL
21,2.19,2026-05-26 15:02:00,-0.24,-0.73,9.49,9.52,1.5,-4.4,BACK_UP,NO_ADVANCE,NORMAL
22,2.29,2026-05-26 15:02:00,-0.25,-0.67,9.56,9.59,1.5,-4.0,BACK_UP,NO_ADVANCE,NORMAL
23,2.39,2026-05-26 15:02:00,0.11,-1.67,10.00,10.14,-0.6,-9.5,BACK_UP,NO_ADVANCE,NORMAL
24,2.49,2026-05-26 15:02:00,-1.15,-0.91,9.71,9.82,6.7,-5.4,BACK_UP,NO_ADVANCE,NORMAL
25,2.59,2026-05-26 15:02:00,-2.64,-1.00,7.48,8.00,19.3,-7.6,BACK_UP,MOVING,NORMAL
26,2.69,2026-05-26 15:02:00,-3.02,-0.29,8.09,8.64,20.5,-2.1,BACK_UP,MOVING,NORMAL
27,2.79,2026-05-26 15:02:00,-2.42,-0.71,9.88,10.20,13.7,-4.1,BACK_UP,MOVING,NORMAL
28,2.89,2026-05-26 15:02:00,-0.57,-1.19,10.36,10.44,3.1,-6.5,BACK_UP,MOVING,NORMAL
29,2.99,2026-05-26 15:02:00,0.27,-1.52,9.52,9.64,-1.6,-9.1,BACK_UP,MOVING,NORMAL
30,3.09,2026-05-26 15:02:01,0.99,-0.84,9.33,9.42,-6.0,-5.1,BACK_UP,MOVING,NORMAL
31,3.21,2026-05-26 15:02:01,1.90,-0.75,9.35,9.57,-11.5,-4.6,BACK_UP,MOVING,NORMAL
32,3.31,2026-05-26 15:02:01,2.69,-1.00,9.08,9.52,-16.4,-6.3,BACK_UP,MOVING,NORMAL
33,3.41,2026-05-26 15:02:01,2.77,-0.89,9.03,9.48,-17.0,-5.6,BACK_UP,MOVING,NORMAL
34,3.51,2026-05-26 15:02:01,0.74,-0.78,9.31,9.37,-4.5,-4.8,BACK_UP,MOVING,NORMAL
35,3.61,2026-05-26 15:02:01,-0.18,-0.62,9.01,9.03,1.2,-3.9,BACK_UP,MOVING,NORMAL
36,3.71,2026-05-26 15:02:01,-0.09,-0.48,9.11,9.13,0.5,-3.0,BACK_UP,MOVING,NORMAL
37,3.81,2026-05-26 15:02:01,-0.23,-0.75,9.49,9.52,1.4,-4.5,BACK_UP,MOVING,NORMAL
38,3.91,2026-05-26 15:02:01,-0.26,-0.71,9.51,9.54,1.6,-4.3,BACK_UP,MOVING,NORMAL
39,4.01,2026-05-26 15:02:02,-0.22,-0.72,9.48,9.51,1.3,-4.3,BACK_UP,MOVING,NORMAL
40,4.11,2026-05-26 15:02:02,-0.19,-0.71,9.50,9.52,1.2,-4.3,BACK_UP,MOVING,NORMAL
41,4.21,2026-05-26 15:02:02,-0.24,-0.75,9.51,9.55,1.5,-4.5,BACK_UP,MOVING,NORMAL
42,4.31,2026-05-26 15:02:02,-0.24,-0.73,9.46,9.49,1.5,-4.4,BACK_UP,MOVING,NORMAL
43,4.41,2026-05-26 15:02:02,-0.23,-0.74,9.50,9.53,1.4,-4.4,BACK_UP,MOVING,NORMAL
44,4.51,2026-05-26 15:02:02,-0.22,-0.73,9.43,9.46,1.3,-4.4,BACK_UP,MOVING,NORMAL
45,4.61,2026-05-26 15:02:02,-0.24,-0.71,9.45,9.48,1.5,-4.3,BACK_UP,MOVING,NORMAL
46,4.71,2026-05-26 15:02:02,-0.23,-0.71,9.50,9.53,1.4,-4.3,BACK_UP,MOVING,NORMAL
47,4.81,2026-05-26 15:02:02,-0.25,-0.73,9.48,9.51,1.5,-4.4,BACK_UP,MOVING,NORMAL
48,4.91,2026-05-26 15:02:02,-0.21,-0.74,9.48,9.51,1.2,-4.4,BACK_UP,MOVING,NORMAL
