#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-029
#user,vitto
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-26 09:40:18
#file_id,/SS000001.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,1.16,2026-05-26 09:40:19,-2.58,0.10,7.72,8.14,18.5,0.7,BACK_UP,MOVING,NORMAL
2,1.26,2026-05-26 09:40:19,-2.71,1.04,7.34,7.89,20.1,8.0,BACK_UP,MOVING,NORMAL
3,1.36,2026-05-26 09:40:19,-2.65,0.36,7.09,7.58,20.4,2.9,BACK_UP,MOVING,NORMAL
4,1.46,2026-05-26 09:40:19,-2.42,-0.17,9.82,10.12,13.8,-1.0,BACK_UP,MOVING,NORMAL
5,1.56,2026-05-26 09:40:19,-1.55,-0.11,11.17,11.28,7.9,-0.6,BACK_UP,MOVING,NORMAL
6,1.66,2026-05-26 09:40:19,-0.63,-0.05,7.88,7.90,4.6,-0.3,BACK_UP,MOVING,NORMAL
7,1.76,2026-05-26 09:40:19,-1.56,-0.15,10.00,10.12,8.8,-0.9,BACK_UP,MOVING,NORMAL
8,1.86,2026-05-26 09:40:19,-3.74,-0.33,8.28,9.09,24.3,-2.3,BACK_UP,MOVING,NORMAL
9,1.96,2026-05-26 09:40:19,-2.77,-0.16,7.27,7.78,20.9,-1.3,BACK_UP,MOVING,NORMAL
10,2.06,2026-05-26 09:40:20,-4.05,0.77,8.11,9.10,26.4,5.4,BACK_UP,MOVING,NORMAL
11,2.16,2026-05-26 09:40:20,-5.31,1.02,6.76,8.66,37.8,8.5,BACK_UP,MOVING,NORMAL
12,2.26,2026-05-26 09:40:20,-4.94,1.13,6.22,8.02,38.0,10.3,BACK_UP,MOVING,NORMAL
13,2.36,2026-05-26 09:40:20,-3.37,0.60,5.30,6.31,32.3,6.4,BACK_UP,MOVING,NORMAL
14,2.46,2026-05-26 09:40:20,-4.15,-0.33,9.37,10.26,23.9,-2.0,BACK_UP,MOVING,NORMAL
15,2.56,2026-05-26 09:40:20,-2.04,-0.51,9.02,9.26,12.7,-3.3,BACK_UP,MOVING,NORMAL
16,2.66,2026-05-26 09:40:20,-2.08,-0.29,9.40,9.63,12.5,-1.8,BACK_UP,MOVING,NORMAL
17,2.76,2026-05-26 09:40:20,-1.07,-0.31,9.53,9.59,6.4,-1.9,BACK_UP,MOVING,NORMAL
18,2.86,2026-05-26 09:40:20,-2.14,-0.20,9.23,9.48,13.1,-1.2,BACK_UP,MOVING,NORMAL
19,2.96,2026-05-26 09:40:20,-2.48,-0.09,8.51,8.86,16.2,-0.6,BACK_UP,MOVING,NORMAL
20,3.06,2026-05-26 09:40:21,-4.55,0.58,8.00,9.22,29.6,4.2,BACK_UP,MOVING,NORMAL
21,3.16,2026-05-26 09:40:21,-4.82,1.27,6.75,8.39,35.0,10.6,BACK_UP,MOVING,NORMAL
22,3.26,2026-05-26 09:40:21,-3.80,1.24,5.36,6.69,34.7,13.0,BACK_UP,MOVING,NORMAL
23,3.61,2026-05-26 09:40:21,-1.45,-0.20,8.54,8.67,9.6,-1.3,BACK_UP,MOVING,NORMAL
24,3.71,2026-05-26 09:40:21,-1.36,-0.28,8.59,8.70,9.0,-1.9,BACK_UP,MOVING,NORMAL
25,3.81,2026-05-26 09:40:21,-1.68,-0.11,10.13,10.26,9.4,-0.6,BACK_UP,MOVING,NORMAL
26,3.91,2026-05-26 09:40:21,-0.94,0.34,9.55,9.60,5.6,2.0,BACK_UP,MOVING,NORMAL
27,4.01,2026-05-26 09:40:22,-1.70,0.51,6.16,6.41,15.4,4.8,BACK_UP,MOVING,NORMAL
28,4.11,2026-05-26 09:40:22,-2.17,0.45,8.56,8.84,14.2,3.0,BACK_UP,MOVING,NORMAL
29,4.21,2026-05-26 09:40:22,-2.08,0.16,8.68,8.93,13.5,1.1,BACK_UP,MOVING,NORMAL
30,4.31,2026-05-26 09:40:22,-0.90,-0.07,9.28,9.32,5.5,-0.4,BACK_UP,MOVING,NORMAL
31,4.41,2026-05-26 09:40:22,-1.64,-0.08,10.48,10.61,8.9,-0.4,BACK_UP,MOVING,NORMAL
32,4.51,2026-05-26 09:40:22,-3.25,0.14,9.36,9.91,19.1,0.8,BACK_UP,MOVING,NORMAL
33,4.61,2026-05-26 09:40:22,-2.77,0.53,7.61,8.12,20.0,4.0,BACK_UP,MOVING,NORMAL
34,4.71,2026-05-26 09:40:22,-2.60,0.43,5.80,6.37,24.1,4.2,BACK_UP,MOVING,NORMAL
35,4.81,2026-05-26 09:40:22,-3.05,0.05,9.83,10.29,17.2,0.3,BACK_UP,MOVING,NORMAL
36,4.91,2026-05-26 09:40:22,-0.56,0.51,11.62,11.64,2.7,2.5,BACK_UP,MOVING,NORMAL
37,5.01,2026-05-26 09:40:23,-1.02,-0.17,8.70,8.76,6.7,-1.1,BACK_UP,MOVING,NORMAL
38,5.11,2026-05-26 09:40:23,-1.22,-0.28,8.54,8.63,8.1,-1.9,BACK_UP,MOVING,NORMAL
39,5.21,2026-05-26 09:40:23,-0.48,-0.16,9.38,9.40,2.9,-1.0,BACK_UP,MOVING,NORMAL
40,5.31,2026-05-26 09:40:23,-2.03,-0.33,11.26,11.45,10.2,-1.7,BACK_UP,MOVING,NORMAL
41,5.41,2026-05-26 09:40:23,-2.17,0.08,10.21,10.44,12.0,0.5,BACK_UP,MOVING,NORMAL
42,5.51,2026-05-26 09:40:23,-1.10,-0.16,9.44,9.51,6.6,-1.0,BACK_UP,MOVING,NORMAL
43,5.61,2026-05-26 09:40:23,-1.04,-0.18,10.59,10.65,5.6,-1.0,BACK_UP,MOVING,NORMAL
44,5.71,2026-05-26 09:40:23,-1.22,-0.28,9.04,9.13,7.7,-1.8,BACK_UP,MOVING,NORMAL
45,5.81,2026-05-26 09:40:23,-1.27,-0.22,9.13,9.22,7.9,-1.4,BACK_UP,MOVING,NORMAL
46,5.91,2026-05-26 09:40:23,-1.24,-0.24,9.29,9.38,7.6,-1.5,BACK_UP,MOVING,NORMAL
47,6.01,2026-05-26 09:40:24,-1.28,-0.27,9.18,9.28,8.0,-1.7,BACK_UP,MOVING,NORMAL
48,6.11,2026-05-26 09:40:24,-1.17,-0.23,9.28,9.36,7.2,-1.4,BACK_UP,MOVING,NORMAL
49,6.21,2026-05-26 09:40:24,-1.26,-0.24,9.17,9.26,7.8,-1.5,BACK_UP,MOVING,NORMAL
50,6.31,2026-05-26 09:40:24,-1.26,-0.28,9.22,9.31,7.8,-1.7,BACK_UP,MOVING,NORMAL
51,6.41,2026-05-26 09:40:24,-1.27,-0.25,9.22,9.32,7.9,-1.6,BACK_UP,MOVING,NORMAL
52,6.51,2026-05-26 09:40:24,-1.24,-0.23,9.22,9.31,7.7,-1.4,BACK_UP,MOVING,NORMAL
53,6.61,2026-05-26 09:40:24,-1.23,-0.22,9.23,9.32,7.6,-1.4,BACK_UP,MOVING,NORMAL
54,6.71,2026-05-26 09:40:24,-1.26,-0.33,9.22,9.31,7.8,-2.0,BACK_UP,MOVING,NORMAL
55,6.81,2026-05-26 09:40:24,-1.16,-0.29,9.19,9.26,7.2,-1.8,BACK_UP,MOVING,NORMAL
56,6.91,2026-05-26 09:40:24,-1.37,-0.24,9.30,9.40,8.4,-1.5,BACK_UP,MOVING,NORMAL
57,7.01,2026-05-26 09:40:25,-1.27,-0.25,9.27,9.36,7.8,-1.6,BACK_UP,MOVING,NORMAL
58,7.11,2026-05-26 09:40:25,0.17,-0.92,6.40,6.47,-1.5,-8.2,BACK_UP,MOVING,NORMAL
59,7.21,2026-05-26 09:40:25,-0.46,0.60,8.47,8.50,3.1,4.0,BACK_UP,MOVING,NORMAL
60,7.31,2026-05-26 09:40:25,-0.44,0.80,9.17,9.22,2.8,5.0,BACK_UP,MOVING,NORMAL
61,7.72,2026-05-26 09:40:25,-1.27,-0.54,7.66,7.78,9.4,-4.0,BACK_UP,MOVING,NORMAL
62,7.82,2026-05-26 09:40:25,-1.34,-0.40,9.09,9.20,8.4,-2.5,BACK_UP,MOVING,NORMAL
63,7.92,2026-05-26 09:40:25,-0.74,0.15,9.62,9.65,4.4,0.9,BACK_UP,MOVING,NORMAL
64,8.02,2026-05-26 09:40:26,-1.04,-0.26,8.81,8.87,6.8,-1.7,BACK_UP,MOVING,NORMAL
65,8.12,2026-05-26 09:40:26,-1.24,-0.22,9.61,9.69,7.3,-1.3,BACK_UP,MOVING,NORMAL
66,8.22,2026-05-26 09:40:26,-1.14,-0.43,9.26,9.34,7.0,-2.7,BACK_UP,MOVING,NORMAL
67,8.32,2026-05-26 09:40:26,-0.91,-0.32,8.95,9.00,5.8,-2.1,BACK_UP,MOVING,NORMAL
68,8.42,2026-05-26 09:40:26,-1.00,-0.64,8.60,8.68,6.6,-4.2,BACK_UP,MOVING,NORMAL
69,8.52,2026-05-26 09:40:26,-1.10,-0.93,8.37,8.49,7.5,-6.3,BACK_UP,MOVING,NORMAL
70,8.62,2026-05-26 09:40:26,-0.98,-0.43,8.66,8.72,6.5,-2.9,BACK_UP,MOVING,NORMAL
71,8.72,2026-05-26 09:40:26,-0.84,-0.26,9.33,9.37,5.1,-1.6,BACK_UP,MOVING,NORMAL
72,8.82,2026-05-26 09:40:26,-1.48,-0.38,8.85,8.98,9.5,-2.4,BACK_UP,MOVING,NORMAL
73,8.92,2026-05-26 09:40:26,-0.87,0.06,8.72,8.77,5.7,0.4,BACK_UP,MOVING,NORMAL
74,9.02,2026-05-26 09:40:27,-0.48,-0.02,9.24,9.26,3.0,-0.1,BACK_UP,MOVING,NORMAL
75,9.12,2026-05-26 09:40:27,-0.34,-0.21,10.34,10.34,1.9,-1.2,BACK_UP,MOVING,NORMAL
76,9.22,2026-05-26 09:40:27,-0.61,-0.10,9.66,9.68,3.6,-0.6,BACK_UP,MOVING,NORMAL
77,9.32,2026-05-26 09:40:27,-1.00,-0.30,9.45,9.51,6.0,-1.8,BACK_UP,MOVING,NORMAL
78,9.42,2026-05-26 09:40:27,-2.07,0.11,8.03,8.29,14.4,0.8,BACK_UP,MOVING,NORMAL
79,9.52,2026-05-26 09:40:27,0.77,-0.14,9.73,9.76,-4.5,-0.8,BACK_UP,MOVING,NORMAL
80,9.62,2026-05-26 09:40:27,-0.83,-0.34,9.28,9.32,5.1,-2.1,BACK_UP,MOVING,NORMAL
81,9.72,2026-05-26 09:40:27,-0.83,-0.28,9.75,9.79,4.8,-1.6,BACK_UP,MOVING,NORMAL
82,9.82,2026-05-26 09:40:27,-0.91,1.25,9.81,9.93,5.2,7.3,BACK_UP,MOVING,NORMAL
83,9.92,2026-05-26 09:40:27,-1.19,0.13,9.54,9.61,7.1,0.8,BACK_UP,MOVING,NORMAL
84,10.02,2026-05-26 09:40:28,-0.24,-0.13,9.60,9.60,1.5,-0.8,BACK_UP,MOVING,NORMAL
85,10.12,2026-05-26 09:40:28,-1.06,-0.42,9.32,9.39,6.5,-2.6,BACK_UP,MOVING,NORMAL
86,10.22,2026-05-26 09:40:28,0.75,-0.35,7.91,7.95,-5.4,-2.5,BACK_UP,MOVING,NORMAL
87,10.32,2026-05-26 09:40:28,-0.80,0.42,10.87,10.90,4.2,2.2,BACK_UP,MOVING,NORMAL
88,10.42,2026-05-26 09:40:28,0.56,1.03,10.69,10.76,-3.0,5.5,BACK_UP,MOVING,NORMAL
89,10.52,2026-05-26 09:40:28,-0.14,-0.48,2.92,2.96,2.7,-9.3,BACK_UP,MOVING,NORMAL
90,10.62,2026-05-26 09:40:28,-0.90,-0.51,11.90,11.94,4.3,-2.4,BACK_UP,MOVING,NORMAL
91,10.72,2026-05-26 09:40:28,0.45,-0.85,7.68,7.74,-3.3,-6.3,BACK_UP,MOVING,NORMAL
92,10.82,2026-05-26 09:40:28,0.61,-0.23,9.31,9.33,-3.7,-1.4,BACK_UP,MOVING,NORMAL
93,10.92,2026-05-26 09:40:28,-2.39,-0.59,9.31,9.63,14.4,-3.6,BACK_UP,MOVING,NORMAL
94,11.02,2026-05-26 09:40:29,-1.88,-1.01,10.35,10.56,10.2,-5.6,BACK_UP,MOVING,NORMAL
95,11.12,2026-05-26 09:40:29,0.89,-0.20,9.30,9.35,-5.5,-1.3,BACK_UP,MOVING,NORMAL
96,11.22,2026-05-26 09:40:29,0.66,0.60,10.48,10.52,-3.6,3.3,BACK_UP,MOVING,NORMAL
97,11.32,2026-05-26 09:40:29,1.08,1.07,8.92,9.05,-6.9,6.8,BACK_UP,MOVING,NORMAL
98,11.73,2026-05-26 09:40:29,0.92,0.10,9.47,9.52,-5.6,0.6,BACK_UP,MOVING,NORMAL
99,11.82,2026-05-26 09:40:29,1.03,-0.38,9.46,9.53,-6.2,-2.3,BACK_UP,MOVING,NORMAL
100,11.92,2026-05-26 09:40:29,1.08,-0.57,9.33,9.42,-6.6,-3.5,BACK_UP,MOVING,NORMAL
101,12.02,2026-05-26 09:40:30,1.45,-0.53,9.33,9.46,-8.8,-3.3,BACK_UP,MOVING,NORMAL
102,12.12,2026-05-26 09:40:30,2.74,-0.75,9.27,9.69,-16.4,-4.6,BACK_UP,MOVING,NORMAL
103,12.22,2026-05-26 09:40:30,1.59,-0.46,9.17,9.32,-9.8,-2.9,BACK_UP,MOVING,NORMAL
104,12.32,2026-05-26 09:40:30,0.43,-2.43,10.41,10.69,-2.3,-13.1,BACK_UP,MOVING,NORMAL
105,12.42,2026-05-26 09:40:30,-5.06,3.53,16.22,17.35,17.0,12.3,BACK_UP,MOVING,NORMAL
106,12.52,2026-05-26 09:40:30,1.85,-0.93,7.93,8.19,-13.1,-6.7,BACK_UP,MOVING,NORMAL
107,12.62,2026-05-26 09:40:30,0.39,0.85,12.35,12.39,-1.8,3.9,BACK_UP,MOVING,NORMAL
108,12.72,2026-05-26 09:40:30,3.38,0.62,9.11,9.74,-20.3,3.9,BACK_UP,MOVING,NORMAL
109,12.82,2026-05-26 09:40:30,1.40,-1.11,9.75,9.91,-8.1,-6.5,BACK_UP,MOVING,NORMAL
110,12.92,2026-05-26 09:40:30,2.94,0.39,9.19,9.66,-17.8,2.4,BACK_UP,MOVING,NORMAL
111,13.02,2026-05-26 09:40:31,2.32,-2.00,10.04,10.50,-12.8,-11.3,BACK_UP,MOVING,NORMAL
112,13.12,2026-05-26 09:40:31,3.14,-0.32,9.13,9.66,-19.0,-2.0,BACK_UP,MOVING,NORMAL
113,13.22,2026-05-26 09:40:31,3.66,-0.62,8.83,9.58,-22.4,-4.0,BACK_UP,MOVING,NORMAL
114,13.32,2026-05-26 09:40:31,3.40,-0.78,8.91,9.57,-20.8,-5.0,BACK_UP,MOVING,NORMAL
115,13.42,2026-05-26 09:40:31,3.73,-0.32,9.08,9.82,-22.4,-2.0,BACK_UP,MOVING,NORMAL
116,13.52,2026-05-26 09:40:31,3.17,-0.80,9.20,9.76,-19.0,-5.0,BACK_UP,MOVING,NORMAL
117,13.62,2026-05-26 09:40:31,4.49,-0.64,8.56,9.69,-27.6,-4.3,BACK_UP,MOVING,NORMAL
118,13.72,2026-05-26 09:40:31,5.07,-0.73,8.71,10.10,-30.1,-4.8,BACK_UP,MOVING,NORMAL
119,13.82,2026-05-26 09:40:31,3.10,-0.62,9.07,9.60,-18.8,-3.9,BACK_UP,MOVING,NORMAL
120,13.92,2026-05-26 09:40:31,3.36,-0.49,9.21,9.82,-20.0,-3.1,BACK_UP,MOVING,NORMAL
121,14.02,2026-05-26 09:40:32,2.64,-0.82,9.92,10.29,-14.9,-4.7,BACK_UP,MOVING,NORMAL
122,14.12,2026-05-26 09:40:32,3.79,0.35,8.95,9.73,-22.9,2.2,BACK_UP,MOVING,NORMAL
123,14.22,2026-05-26 09:40:32,3.24,-0.73,8.82,9.42,-20.1,-4.7,BACK_UP,MOVING,NORMAL
124,14.32,2026-05-26 09:40:32,4.10,0.07,8.49,9.42,-25.8,0.5,BACK_UP,MOVING,NORMAL
125,14.42,2026-05-26 09:40:32,2.72,-0.55,9.34,9.75,-16.2,-3.4,BACK_UP,MOVING,NORMAL
126,14.52,2026-05-26 09:40:32,1.20,-1.04,9.47,9.60,-7.2,-6.3,BACK_UP,MOVING,NORMAL
127,14.62,2026-05-26 09:40:32,0.64,-0.13,9.20,9.23,-4.0,-0.8,BACK_UP,MOVING,NORMAL
128,14.72,2026-05-26 09:40:32,0.85,-0.19,8.57,8.62,-5.7,-1.2,BACK_UP,MOVING,NORMAL
129,14.82,2026-05-26 09:40:32,-0.51,0.29,9.32,9.33,3.1,1.8,BACK_UP,MOVING,NORMAL
130,14.92,2026-05-26 09:40:32,-0.03,-0.34,9.64,9.64,0.2,-2.0,BACK_UP,MOVING,NORMAL
131,15.02,2026-05-26 09:40:33,0.97,-0.11,12.66,12.70,-4.4,-0.5,BACK_UP,MOVING,NORMAL
132,15.12,2026-05-26 09:40:33,0.39,-0.32,9.32,9.33,-2.4,-2.0,BACK_UP,MOVING,NORMAL
133,15.22,2026-05-26 09:40:33,0.95,-0.13,9.10,9.15,-5.9,-0.8,BACK_UP,MOVING,NORMAL
134,15.32,2026-05-26 09:40:33,0.33,-0.19,9.08,9.09,-2.1,-1.2,BACK_UP,MOVING,NORMAL
135,15.99,2026-05-26 09:40:33,-0.11,-0.40,9.46,9.47,0.7,-2.4,BACK_UP,MOVING,NORMAL
136,16.09,2026-05-26 09:40:34,-0.46,-0.34,9.27,9.29,2.9,-2.1,BACK_UP,MOVING,NORMAL
137,16.19,2026-05-26 09:40:34,-0.13,0.02,9.53,9.53,0.8,0.1,BACK_UP,MOVING,NORMAL
138,16.29,2026-05-26 09:40:34,-0.07,-0.45,9.52,9.54,0.4,-2.7,BACK_UP,MOVING,NORMAL
139,16.39,2026-05-26 09:40:34,-0.04,-0.37,9.60,9.61,0.2,-2.2,BACK_UP,MOVING,NORMAL
140,16.49,2026-05-26 09:40:34,0.12,-0.38,9.69,9.70,-0.7,-2.3,BACK_UP,MOVING,NORMAL
141,16.59,2026-05-26 09:40:34,-0.41,-0.52,9.45,9.47,2.5,-3.1,BACK_UP,MOVING,NORMAL
142,16.69,2026-05-26 09:40:34,-0.58,-0.60,9.23,9.26,3.6,-3.7,BACK_UP,MOVING,NORMAL
143,16.79,2026-05-26 09:40:34,-0.40,-0.46,8.60,8.62,2.6,-3.1,BACK_UP,MOVING,NORMAL
144,16.89,2026-05-26 09:40:34,-0.30,-0.52,9.49,9.51,1.8,-3.1,BACK_UP,MOVING,NORMAL
145,16.99,2026-05-26 09:40:34,-0.34,0.14,9.26,9.27,2.1,0.8,BACK_UP,MOVING,NORMAL
146,17.09,2026-05-26 09:40:35,-0.31,-0.23,9.50,9.51,1.8,-1.4,BACK_UP,MOVING,NORMAL
147,17.19,2026-05-26 09:40:35,-0.31,-0.34,9.39,9.40,1.9,-2.1,BACK_UP,MOVING,NORMAL
148,17.29,2026-05-26 09:40:35,-0.29,-0.33,9.37,9.38,1.8,-2.0,BACK_UP,MOVING,NORMAL
149,17.39,2026-05-26 09:40:35,-0.35,-0.35,9.37,9.38,2.1,-2.1,BACK_UP,MOVING,NORMAL
150,17.49,2026-05-26 09:40:35,-0.37,-0.27,9.37,9.38,2.3,-1.6,BACK_UP,MOVING,NORMAL
151,17.59,2026-05-26 09:40:35,0.57,0.16,9.50,9.51,-3.4,1.0,BACK_UP,MOVING,NORMAL
152,17.69,2026-05-26 09:40:35,-0.63,-1.06,9.43,9.51,3.8,-6.4,BACK_UP,MOVING,NORMAL
153,17.79,2026-05-26 09:40:35,-2.15,-2.45,9.32,9.87,12.5,-14.7,BACK_UP,MOVING,NORMAL
154,17.89,2026-05-26 09:40:35,1.91,-1.06,9.53,9.78,-11.3,-6.3,BACK_UP,MOVING,NORMAL
155,17.99,2026-05-26 09:40:35,-0.38,-0.21,9.36,9.37,2.3,-1.3,BACK_UP,MOVING,NORMAL
156,18.09,2026-05-26 09:40:36,-0.36,-0.79,9.73,9.77,2.1,-4.6,BACK_UP,MOVING,NORMAL
157,18.19,2026-05-26 09:40:36,-0.44,-0.52,9.33,9.35,2.7,-3.2,BACK_UP,MOVING,NORMAL
158,18.29,2026-05-26 09:40:36,-0.26,-0.46,9.32,9.34,1.6,-2.9,BACK_UP,MOVING,NORMAL
159,18.39,2026-05-26 09:40:36,-0.25,-0.37,9.37,9.38,1.5,-2.3,BACK_UP,MOVING,NORMAL
160,18.49,2026-05-26 09:40:36,-0.23,-0.41,9.38,9.39,1.4,-2.5,BACK_UP,MOVING,NORMAL
161,18.59,2026-05-26 09:40:36,-0.28,-0.43,9.39,9.40,1.7,-2.6,BACK_UP,MOVING,NORMAL
162,18.69,2026-05-26 09:40:36,-0.24,0.06,9.37,9.38,1.5,0.4,BACK_UP,MOVING,NORMAL
163,18.79,2026-05-26 09:40:36,-0.34,-0.01,9.38,9.38,2.1,-0.0,BACK_UP,MOVING,NORMAL
164,18.89,2026-05-26 09:40:36,-1.27,-0.14,8.56,8.65,8.4,-0.9,BACK_UP,MOVING,NORMAL
165,18.99,2026-05-26 09:40:36,-3.73,-2.82,6.37,7.90,28.1,-23.9,BACK_UP,MOVING,NORMAL
166,19.09,2026-05-26 09:40:37,-1.95,-1.10,9.27,9.53,11.8,-6.8,BACK_UP,MOVING,NORMAL
167,19.19,2026-05-26 09:40:37,1.09,-0.32,9.59,9.66,-6.5,-1.9,BACK_UP,MOVING,NORMAL
168,19.29,2026-05-26 09:40:37,1.46,0.34,9.85,9.96,-8.4,2.0,BACK_UP,MOVING,NORMAL
169,19.39,2026-05-26 09:40:37,-0.15,-0.17,9.35,9.35,0.9,-1.0,BACK_UP,MOVING,NORMAL
170,19.80,2026-05-26 09:40:37,-2.20,-0.00,8.01,8.31,15.4,-0.0,BACK_UP,MOVING,NORMAL
171,19.90,2026-05-26 09:40:37,-3.58,-0.55,6.35,7.31,29.3,-4.9,BACK_UP,MOVING,NORMAL
172,20.00,2026-05-26 09:40:38,-3.47,-0.62,8.45,9.15,22.3,-4.2,BACK_UP,MOVING,NORMAL
173,20.10,2026-05-26 09:40:38,-2.09,-0.53,11.12,11.32,10.6,-2.7,BACK_UP,MOVING,NORMAL
174,20.20,2026-05-26 09:40:38,-0.67,-0.70,12.24,12.28,3.1,-3.3,BACK_UP,MOVING,NORMAL
175,20.30,2026-05-26 09:40:38,-0.04,-0.57,9.22,9.24,0.3,-3.6,BACK_UP,MOVING,NORMAL
176,20.40,2026-05-26 09:40:38,0.28,-0.58,9.37,9.39,-1.7,-3.5,BACK_UP,MOVING,NORMAL
177,20.50,2026-05-26 09:40:38,0.30,-0.58,9.45,9.47,-1.8,-3.5,BACK_UP,MOVING,NORMAL
178,20.60,2026-05-26 09:40:38,-0.04,-0.42,9.40,9.41,0.2,-2.6,BACK_UP,MOVING,NORMAL
179,20.70,2026-05-26 09:40:38,-0.13,-0.59,9.46,9.48,0.8,-3.6,BACK_UP,MOVING,NORMAL
180,20.80,2026-05-26 09:40:38,-0.20,-0.30,9.78,9.78,1.1,-1.8,BACK_UP,MOVING,NORMAL
181,20.90,2026-05-26 09:40:38,-1.07,-0.10,11.16,11.21,5.5,-0.5,BACK_UP,MOVING,NORMAL
182,21.00,2026-05-26 09:40:39,-2.85,-0.37,8.67,9.13,18.2,-2.5,BACK_UP,MOVING,NORMAL
183,21.10,2026-05-26 09:40:39,-3.26,-0.37,8.42,9.04,21.1,-2.5,BACK_UP,MOVING,NORMAL
184,21.20,2026-05-26 09:40:39,-3.77,-0.36,7.99,8.84,25.2,-2.6,BACK_UP,MOVING,NORMAL
185,21.30,2026-05-26 09:40:39,-3.44,-0.41,8.82,9.47,21.3,-2.6,BACK_UP,MOVING,NORMAL
186,21.40,2026-05-26 09:40:39,-2.44,-0.41,6.08,6.57,21.9,-3.9,BACK_UP,MOVING,NORMAL
187,21.50,2026-05-26 09:40:39,-0.85,-0.68,9.20,9.26,5.2,-4.2,BACK_UP,MOVING,NORMAL
188,21.60,2026-05-26 09:40:39,-0.35,-0.56,9.39,9.41,2.2,-3.4,BACK_UP,MOVING,NORMAL
189,21.70,2026-05-26 09:40:39,-0.31,-0.57,9.40,9.42,1.9,-3.5,BACK_UP,MOVING,NORMAL
190,21.80,2026-05-26 09:40:39,0.22,-0.59,9.39,9.42,-1.3,-3.6,BACK_UP,MOVING,NORMAL
191,21.90,2026-05-26 09:40:39,0.52,-0.57,9.40,9.43,-3.2,-3.5,BACK_UP,MOVING,NORMAL
192,22.00,2026-05-26 09:40:40,1.04,-0.42,9.31,9.38,-6.4,-2.6,BACK_UP,MOVING,NORMAL
193,22.10,2026-05-26 09:40:40,0.97,-0.57,9.38,9.45,-5.9,-3.5,BACK_UP,MOVING,NORMAL
194,22.20,2026-05-26 09:40:40,0.85,-0.57,9.39,9.45,-5.2,-3.4,BACK_UP,MOVING,NORMAL
195,22.30,2026-05-26 09:40:40,0.47,-0.51,9.41,9.44,-2.8,-3.1,BACK_UP,MOVING,NORMAL
196,22.40,2026-05-26 09:40:40,-0.60,-0.35,9.23,9.26,3.7,-2.2,BACK_UP,MOVING,NORMAL
197,22.50,2026-05-26 09:40:40,-0.61,-0.34,9.21,9.23,3.8,-2.1,BACK_UP,MOVING,NORMAL
198,22.60,2026-05-26 09:40:40,-2.11,-0.71,8.70,8.98,13.6,-4.7,BACK_UP,MOVING,NORMAL
199,22.70,2026-05-26 09:40:40,-3.34,-0.26,8.68,9.30,21.1,-1.7,BACK_UP,MOVING,NORMAL
200,22.80,2026-05-26 09:40:40,-4.14,-0.40,6.71,7.89,31.6,-3.4,BACK_UP,MOVING,NORMAL
201,22.90,2026-05-26 09:40:40,-3.96,-0.18,7.12,8.15,29.1,-1.4,BACK_UP,MOVING,NORMAL
202,23.00,2026-05-26 09:40:41,-3.25,-0.28,9.71,10.24,18.5,-1.6,BACK_UP,MOVING,NORMAL
203,23.10,2026-05-26 09:40:41,-1.92,-0.40,7.49,7.74,14.4,-3.1,BACK_UP,MOVING,NORMAL
204,23.20,2026-05-26 09:40:41,-1.34,-0.75,8.71,8.84,8.7,-4.9,BACK_UP,MOVING,NORMAL
