#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-029
#user,vittoka
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-26 09:40:55
#file_id,/SS000002.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.80,2026-05-26 09:40:55,-1.40,-0.46,9.20,9.31,8.6,-2.9,BACK_UP,MOVING,NORMAL
2,0.90,2026-05-26 09:40:55,-0.98,-0.54,8.66,8.73,6.4,-3.6,BACK_UP,MOVING,NORMAL
3,1.00,2026-05-26 09:40:56,-0.43,-0.58,9.48,9.51,2.6,-3.5,BACK_UP,MOVING,NORMAL
4,1.10,2026-05-26 09:40:56,-0.40,-0.57,9.34,9.36,2.5,-3.5,BACK_UP,MOVING,NORMAL
5,1.20,2026-05-26 09:40:56,-0.56,-0.46,9.36,9.39,3.4,-2.8,BACK_UP,MOVING,NORMAL
6,1.30,2026-05-26 09:40:56,-0.15,-0.59,9.60,9.62,0.9,-3.5,BACK_UP,MOVING,NORMAL
7,1.40,2026-05-26 09:40:56,0.90,-0.46,9.24,9.30,-5.6,-2.9,BACK_UP,MOVING,NORMAL
8,1.50,2026-05-26 09:40:56,1.38,-0.65,9.26,9.38,-8.4,-4.0,BACK_UP,MOVING,NORMAL
9,1.60,2026-05-26 09:40:56,1.13,-0.62,9.52,9.61,-6.8,-3.7,BACK_UP,MOVING,NORMAL
10,1.70,2026-05-26 09:40:56,0.95,-0.60,9.28,9.35,-5.8,-3.7,BACK_UP,MOVING,NORMAL
11,1.80,2026-05-26 09:40:56,0.10,-0.60,9.36,9.38,-0.6,-3.7,BACK_UP,MOVING,NORMAL
12,1.90,2026-05-26 09:40:56,-0.42,-0.62,9.42,9.45,2.5,-3.8,BACK_UP,MOVING,NORMAL
13,2.00,2026-05-26 09:40:57,-1.00,-0.56,9.59,9.65,5.9,-3.3,BACK_UP,MOVING,NORMAL
14,2.10,2026-05-26 09:40:57,-1.76,-0.43,9.21,9.39,10.8,-2.7,BACK_UP,MOVING,NORMAL
15,2.20,2026-05-26 09:40:57,-2.90,-0.43,8.63,9.11,18.6,-2.9,BACK_UP,MOVING,NORMAL
16,2.30,2026-05-26 09:40:57,-3.77,-0.28,7.75,8.62,25.9,-2.0,BACK_UP,MOVING,NORMAL
17,2.40,2026-05-26 09:40:57,-4.10,-0.25,7.65,8.68,28.2,-1.9,BACK_UP,MOVING,NORMAL
18,2.50,2026-05-26 09:40:57,-3.93,-0.31,7.61,8.57,27.3,-2.3,BACK_UP,MOVING,NORMAL
19,2.60,2026-05-26 09:40:57,-2.79,-0.39,8.32,8.78,18.5,-2.7,BACK_UP,MOVING,NORMAL
20,2.70,2026-05-26 09:40:57,-1.88,-0.59,10.81,10.99,9.9,-3.1,BACK_UP,MOVING,NORMAL
21,2.80,2026-05-26 09:40:57,-0.37,-0.39,10.42,10.43,2.1,-2.1,BACK_UP,MOVING,NORMAL
22,2.90,2026-05-26 09:40:57,-0.04,-0.46,9.62,9.64,0.2,-2.7,BACK_UP,MOVING,NORMAL
23,3.00,2026-05-26 09:40:58,0.79,-0.52,9.65,9.70,-4.7,-3.1,BACK_UP,MOVING,NORMAL
