#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-029
#user,vprueba 3
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-26 09:41:32
#file_id,/SS000003.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.16,2026-05-26 09:41:32,-0.37,-0.41,9.36,9.38,2.2,-2.5,BACK_UP,MOVING,NORMAL
2,0.26,2026-05-26 09:41:32,0.06,0.00,9.42,9.42,-0.3,0.0,BACK_UP,MOVING,NORMAL
3,0.35,2026-05-26 09:41:32,-0.30,-0.40,9.38,9.39,1.9,-2.5,BACK_UP,MOVING,NORMAL
4,0.46,2026-05-26 09:41:32,-0.37,-0.39,9.38,9.40,2.3,-2.4,BACK_UP,MOVING,NORMAL
5,0.56,2026-05-26 09:41:32,-0.02,-0.14,9.43,9.43,0.1,-0.9,BACK_UP,MOVING,NORMAL
6,0.66,2026-05-26 09:41:32,-0.33,-0.38,9.38,9.39,2.0,-2.3,BACK_UP,MOVING,NORMAL
7,0.75,2026-05-26 09:41:32,-0.34,-0.36,9.36,9.37,2.1,-2.2,BACK_UP,MOVING,NORMAL
8,0.85,2026-05-26 09:41:32,0.31,0.50,9.49,9.50,-1.9,3.0,BACK_UP,MOVING,NORMAL
9,0.95,2026-05-26 09:41:32,-0.34,-0.82,9.69,9.73,2.0,-4.8,BACK_UP,MOVING,NORMAL
10,1.05,2026-05-26 09:41:33,-0.39,-0.61,9.12,9.15,2.4,-3.8,BACK_UP,MOVING,NORMAL
11,1.15,2026-05-26 09:41:33,-0.46,-0.69,9.39,9.43,2.8,-4.2,BACK_UP,MOVING,NORMAL
12,1.25,2026-05-26 09:41:33,-0.63,-0.48,10.08,10.12,3.6,-2.7,BACK_UP,MOVING,NORMAL
13,1.35,2026-05-26 09:41:33,-1.64,-0.46,10.19,10.34,9.1,-2.6,BACK_UP,MOVING,NORMAL
14,1.45,2026-05-26 09:41:33,-3.01,-0.13,9.44,9.91,17.7,-0.8,BACK_UP,MOVING,NORMAL
15,1.55,2026-05-26 09:41:33,-4.07,-0.19,6.86,7.98,30.7,-1.6,BACK_UP,MOVING,NORMAL
16,1.65,2026-05-26 09:41:33,-4.80,-0.62,7.58,9.00,32.2,-4.7,BACK_UP,MOVING,NORMAL
17,1.75,2026-05-26 09:41:33,-4.77,-0.26,6.99,8.47,34.3,-2.2,BACK_UP,MOVING,NORMAL
18,1.85,2026-05-26 09:41:33,-3.10,-0.38,8.34,8.90,20.4,-2.6,BACK_UP,MOVING,NORMAL
19,1.95,2026-05-26 09:41:33,-1.78,-0.66,10.27,10.44,9.8,-3.7,BACK_UP,MOVING,NORMAL
20,2.06,2026-05-26 09:41:34,-0.30,-0.14,12.18,12.18,1.4,-0.7,BACK_UP,MOVING,NORMAL
21,2.15,2026-05-26 09:41:34,-0.30,-0.27,9.36,9.37,1.8,-1.6,BACK_UP,MOVING,NORMAL
22,2.25,2026-05-26 09:41:34,0.24,-0.67,9.38,9.41,-1.5,-4.1,BACK_UP,MOVING,NORMAL
23,2.35,2026-05-26 09:41:34,0.95,-0.65,9.59,9.66,-5.6,-3.9,BACK_UP,MOVING,NORMAL
24,2.45,2026-05-26 09:41:34,3.00,-0.82,9.01,9.53,-18.3,-5.2,BACK_UP,MOVING,NORMAL
25,2.56,2026-05-26 09:41:34,4.48,-0.98,8.38,9.55,-28.0,-6.6,BACK_UP,MOVING,NORMAL
26,2.65,2026-05-26 09:41:34,3.95,-0.87,8.82,9.70,-24.0,-5.7,BACK_UP,MOVING,NORMAL
27,2.75,2026-05-26 09:41:34,3.15,-0.80,9.12,9.68,-19.0,-5.0,BACK_UP,MOVING,NORMAL
28,2.85,2026-05-26 09:41:34,1.70,-0.66,9.59,9.76,-10.1,-3.9,BACK_UP,MOVING,NORMAL
29,2.95,2026-05-26 09:41:34,0.86,-0.56,9.38,9.43,-5.2,-3.4,BACK_UP,MOVING,NORMAL
30,3.06,2026-05-26 09:41:35,-0.26,-0.34,9.87,9.88,1.5,-2.0,BACK_UP,MOVING,NORMAL
31,3.15,2026-05-26 09:41:35,-0.53,-0.37,10.31,10.33,2.9,-2.0,BACK_UP,MOVING,NORMAL
32,3.25,2026-05-26 09:41:35,-1.46,-0.53,9.42,9.55,8.8,-3.2,BACK_UP,MOVING,NORMAL
33,3.35,2026-05-26 09:41:35,-2.89,-0.30,7.77,8.30,20.4,-2.2,BACK_UP,MOVING,NORMAL
34,3.45,2026-05-26 09:41:35,-4.19,-0.08,7.66,8.73,28.7,-0.6,BACK_UP,MOVING,NORMAL
35,3.56,2026-05-26 09:41:35,-4.74,0.01,7.76,9.10,31.4,0.1,BACK_UP,MOVING,NORMAL
36,3.65,2026-05-26 09:41:35,-4.63,-0.11,7.67,8.96,31.1,-0.8,BACK_UP,MOVING,NORMAL
37,3.75,2026-05-26 09:41:35,-3.38,-0.05,6.88,7.67,26.2,-0.4,BACK_UP,MOVING,NORMAL
38,3.85,2026-05-26 09:41:35,-2.28,-0.46,8.62,8.93,14.8,-3.0,BACK_UP,MOVING,NORMAL
39,3.95,2026-05-26 09:41:35,-1.18,-0.50,8.86,8.95,7.6,-3.2,BACK_UP,MOVING,NORMAL
40,4.05,2026-05-26 09:41:36,-0.27,-0.49,9.39,9.41,1.6,-3.0,BACK_UP,MOVING,NORMAL
41,4.16,2026-05-26 09:41:36,-0.11,-0.42,9.43,9.44,0.7,-2.5,BACK_UP,MOVING,NORMAL
42,4.25,2026-05-26 09:41:36,0.35,-0.46,9.62,9.64,-2.1,-2.7,BACK_UP,MOVING,NORMAL
43,4.36,2026-05-26 09:41:36,1.68,-0.55,9.30,9.47,-10.2,-3.4,BACK_UP,MOVING,NORMAL
44,4.45,2026-05-26 09:41:36,2.45,-0.66,9.24,9.58,-14.8,-4.1,BACK_UP,MOVING,NORMAL
45,4.55,2026-05-26 09:41:36,2.77,-0.60,9.09,9.52,-16.9,-3.8,BACK_UP,MOVING,NORMAL
46,4.66,2026-05-26 09:41:36,2.77,-0.67,9.04,9.48,-17.0,-4.2,BACK_UP,MOVING,NORMAL
47,4.75,2026-05-26 09:41:36,2.57,-0.67,9.15,9.53,-15.6,-4.2,BACK_UP,MOVING,NORMAL
48,4.86,2026-05-26 09:41:36,1.62,-0.57,9.37,9.53,-9.8,-3.5,BACK_UP,MOVING,NORMAL
49,4.95,2026-05-26 09:41:36,0.47,-0.43,9.42,9.44,-2.9,-2.6,BACK_UP,MOVING,NORMAL
50,5.05,2026-05-26 09:41:37,-0.27,-0.43,9.44,9.45,1.6,-2.6,BACK_UP,MOVING,NORMAL
51,5.16,2026-05-26 09:41:37,-1.24,-0.74,9.58,9.69,7.4,-4.4,BACK_UP,MOVING,NORMAL
52,5.25,2026-05-26 09:41:37,-1.79,-0.40,9.22,9.40,11.0,-2.5,BACK_UP,MOVING,NORMAL
53,5.36,2026-05-26 09:41:37,-2.32,-0.32,8.85,9.16,14.7,-2.1,BACK_UP,MOVING,NORMAL
54,5.45,2026-05-26 09:41:37,-2.89,-0.16,8.22,8.71,19.3,-1.1,BACK_UP,MOVING,NORMAL
55,5.55,2026-05-26 09:41:37,-3.37,-0.12,8.75,9.38,21.0,-0.8,BACK_UP,MOVING,NORMAL
56,5.66,2026-05-26 09:41:37,-3.91,-0.09,9.07,9.88,23.3,-0.5,BACK_UP,MOVING,NORMAL
57,5.75,2026-05-26 09:41:37,-4.21,-0.08,7.65,8.73,28.8,-0.6,BACK_UP,MOVING,NORMAL
58,5.86,2026-05-26 09:41:37,-3.85,-0.09,8.11,8.98,25.4,-0.6,BACK_UP,MOVING,NORMAL
59,5.95,2026-05-26 09:41:37,-2.12,-0.31,9.00,9.25,13.2,-2.0,BACK_UP,MOVING,NORMAL
60,6.05,2026-05-26 09:41:38,-1.39,-0.50,8.68,8.81,9.1,-3.3,BACK_UP,MOVING,NORMAL
61,6.16,2026-05-26 09:41:38,-0.38,-0.51,9.50,9.52,2.3,-3.0,BACK_UP,MOVING,NORMAL
62,6.25,2026-05-26 09:41:38,-0.17,-0.41,9.43,9.44,1.0,-2.5,BACK_UP,MOVING,NORMAL
63,6.36,2026-05-26 09:41:38,0.20,-0.39,9.53,9.54,-1.2,-2.3,BACK_UP,MOVING,NORMAL
64,6.45,2026-05-26 09:41:38,1.28,-0.52,9.35,9.45,-7.8,-3.2,BACK_UP,MOVING,NORMAL
65,6.55,2026-05-26 09:41:38,2.58,-0.62,9.20,9.57,-15.7,-3.9,BACK_UP,MOVING,NORMAL
66,6.66,2026-05-26 09:41:38,3.25,-0.70,9.17,9.75,-19.5,-4.4,BACK_UP,MOVING,NORMAL
67,6.75,2026-05-26 09:41:38,3.80,-0.75,8.75,9.57,-23.4,-4.9,BACK_UP,MOVING,NORMAL
68,6.86,2026-05-26 09:41:38,3.42,-0.71,8.93,9.59,-20.9,-4.5,BACK_UP,MOVING,NORMAL
69,6.95,2026-05-26 09:41:38,2.45,-0.61,9.17,9.51,-14.9,-3.8,BACK_UP,MOVING,NORMAL
70,7.05,2026-05-26 09:41:39,1.13,-0.47,9.40,9.48,-6.9,-2.9,BACK_UP,MOVING,NORMAL
71,7.16,2026-05-26 09:41:39,-0.04,-0.42,9.46,9.47,0.2,-2.5,BACK_UP,MOVING,NORMAL
72,7.25,2026-05-26 09:41:39,-0.50,-0.54,9.54,9.56,3.0,-3.3,BACK_UP,MOVING,NORMAL
73,7.36,2026-05-26 09:41:39,-1.44,-0.48,9.28,9.40,8.8,-3.0,BACK_UP,MOVING,NORMAL
74,7.45,2026-05-26 09:41:39,-2.88,-0.20,8.60,9.07,18.5,-1.3,BACK_UP,MOVING,NORMAL
75,7.55,2026-05-26 09:41:39,-3.95,0.17,7.99,8.91,26.3,1.2,BACK_UP,MOVING,NORMAL
76,7.66,2026-05-26 09:41:39,-5.12,0.09,7.25,8.88,35.2,0.7,BACK_UP,MOVING,NORMAL
77,7.75,2026-05-26 09:41:39,-5.67,-0.03,5.83,8.13,44.2,-0.3,BACK_UP,MOVING,NORMAL
78,7.86,2026-05-26 09:41:39,-4.88,0.05,7.82,9.22,32.0,0.4,BACK_UP,MOVING,NORMAL
