#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-029
#user,5 minutos
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-26 09:47:35
#file_id,/SS000004.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.87,2026-05-26 09:47:35,-0.17,-0.38,9.39,9.40,1.1,-2.3,BACK_UP,MOVING,NORMAL
2,0.97,2026-05-26 09:47:35,-0.14,-0.37,9.41,9.42,0.8,-2.2,BACK_UP,MOVING,NORMAL
3,1.07,2026-05-26 09:47:36,-0.09,-0.36,9.39,9.40,0.6,-2.2,BACK_UP,MOVING,NORMAL
4,1.17,2026-05-26 09:47:36,-0.11,-0.39,9.40,9.41,0.7,-2.3,BACK_UP,MOVING,NORMAL
5,1.27,2026-05-26 09:47:36,-0.15,-0.37,9.39,9.40,0.9,-2.3,BACK_UP,MOVING,NORMAL
6,1.37,2026-05-26 09:47:36,-0.14,-0.38,9.41,9.42,0.9,-2.3,BACK_UP,MOVING,NORMAL
7,1.47,2026-05-26 09:47:36,-0.13,-0.37,9.38,9.39,0.8,-2.3,BACK_UP,MOVING,NORMAL
8,1.57,2026-05-26 09:47:36,-0.17,-0.34,9.42,9.43,1.0,-2.1,BACK_UP,MOVING,NORMAL
9,1.67,2026-05-26 09:47:36,-0.20,-0.36,9.43,9.43,1.2,-2.2,BACK_UP,MOVING,NORMAL
10,1.77,2026-05-26 09:47:36,-0.32,-0.31,9.63,9.64,1.9,-1.8,BACK_UP,MOVING,NORMAL
11,1.87,2026-05-26 09:47:36,-0.76,-0.32,9.34,9.38,4.6,-2.0,BACK_UP,MOVING,NORMAL
12,1.97,2026-05-26 09:47:36,-1.14,-0.24,9.79,9.85,6.6,-1.4,BACK_UP,MOVING,NORMAL
13,2.07,2026-05-26 09:47:37,-1.81,-0.20,8.73,8.92,11.7,-1.3,BACK_UP,MOVING,NORMAL
14,2.17,2026-05-26 09:47:37,-2.19,-0.18,8.58,8.86,14.3,-1.2,BACK_UP,MOVING,NORMAL
15,2.27,2026-05-26 09:47:37,-2.10,-0.13,8.94,9.18,13.2,-0.8,BACK_UP,MOVING,NORMAL
16,2.37,2026-05-26 09:47:37,-1.68,-0.11,8.50,8.67,11.2,-0.8,BACK_UP,MOVING,NORMAL
17,2.47,2026-05-26 09:47:37,-0.76,-0.50,8.86,8.90,4.9,-3.2,BACK_UP,MOVING,NORMAL
18,2.57,2026-05-26 09:47:37,0.01,-0.41,9.54,9.55,-0.1,-2.5,BACK_UP,MOVING,NORMAL
19,2.67,2026-05-26 09:47:37,0.94,-0.38,9.29,9.35,-5.8,-2.3,BACK_UP,MOVING,NORMAL
20,2.77,2026-05-26 09:47:37,2.60,-0.41,9.26,9.63,-15.7,-2.5,BACK_UP,MOVING,NORMAL
21,2.87,2026-05-26 09:47:37,3.83,-0.48,8.75,9.56,-23.6,-3.1,BACK_UP,MOVING,NORMAL
22,2.97,2026-05-26 09:47:37,4.26,-0.50,8.63,9.64,-26.3,-3.3,BACK_UP,MOVING,NORMAL
23,3.07,2026-05-26 09:47:38,3.72,-0.45,8.97,9.72,-22.5,-2.9,BACK_UP,MOVING,NORMAL
24,3.52,2026-05-26 09:47:38,-0.55,-0.30,9.70,9.72,3.2,-1.8,BACK_UP,MOVING,NORMAL
25,3.62,2026-05-26 09:47:38,-1.19,-0.19,9.31,9.39,7.3,-1.2,BACK_UP,MOVING,NORMAL
26,3.72,2026-05-26 09:47:38,-1.95,-0.16,9.22,9.43,11.9,-1.0,BACK_UP,MOVING,NORMAL
27,3.82,2026-05-26 09:47:38,-2.69,-0.08,8.25,8.68,18.0,-0.6,BACK_UP,MOVING,NORMAL
28,3.92,2026-05-26 09:47:38,-2.62,-0.07,9.10,9.47,16.1,-0.4,BACK_UP,MOVING,NORMAL
29,4.02,2026-05-26 09:47:39,-2.23,-0.16,8.02,8.33,15.5,-1.1,BACK_UP,MOVING,NORMAL
30,4.12,2026-05-26 09:47:39,-1.27,-0.17,9.44,9.52,7.6,-1.0,BACK_UP,MOVING,NORMAL
31,4.22,2026-05-26 09:47:39,0.04,-0.14,11.33,11.33,-0.2,-0.7,BACK_UP,MOVING,NORMAL
32,4.32,2026-05-26 09:47:39,0.17,-0.34,9.67,9.68,-1.0,-2.0,BACK_UP,MOVING,NORMAL
33,4.42,2026-05-26 09:47:39,1.34,-0.34,9.40,9.50,-8.1,-2.1,BACK_UP,MOVING,NORMAL
34,4.52,2026-05-26 09:47:39,2.33,-0.40,9.18,9.48,-14.2,-2.5,BACK_UP,MOVING,NORMAL
35,4.62,2026-05-26 09:47:39,3.06,-0.46,8.99,9.51,-18.8,-2.9,BACK_UP,MOVING,NORMAL
36,4.72,2026-05-26 09:47:39,3.02,-0.44,9.13,9.63,-18.3,-2.8,BACK_UP,MOVING,NORMAL
37,4.82,2026-05-26 09:47:39,2.83,-0.43,9.11,9.54,-17.2,-2.7,BACK_UP,MOVING,NORMAL
38,4.92,2026-05-26 09:47:39,2.12,-0.34,9.37,9.61,-12.7,-2.1,BACK_UP,MOVING,NORMAL
39,5.02,2026-05-26 09:47:40,1.52,-0.36,9.31,9.44,-9.3,-2.2,BACK_UP,MOVING,NORMAL
40,5.12,2026-05-26 09:47:40,0.45,-0.29,9.59,9.60,-2.7,-1.7,BACK_UP,MOVING,NORMAL
41,5.22,2026-05-26 09:47:40,-0.19,-0.38,9.57,9.58,1.1,-2.2,BACK_UP,MOVING,NORMAL
42,5.32,2026-05-26 09:47:40,-0.94,-0.21,9.07,9.13,5.9,-1.3,BACK_UP,MOVING,NORMAL
43,5.42,2026-05-26 09:47:40,-1.63,-0.11,9.67,9.81,9.5,-0.7,BACK_UP,MOVING,NORMAL
44,5.52,2026-05-26 09:47:40,-2.62,-0.01,8.58,8.97,17.0,-0.1,BACK_UP,MOVING,NORMAL
45,5.62,2026-05-26 09:47:40,-3.30,0.09,8.45,9.07,21.3,0.6,BACK_UP,MOVING,NORMAL
46,5.72,2026-05-26 09:47:40,-3.59,0.20,7.77,8.57,24.8,1.5,BACK_UP,MOVING,NORMAL
47,5.82,2026-05-26 09:47:40,-3.28,-0.01,8.63,9.23,20.8,-0.1,BACK_UP,MOVING,NORMAL
48,5.92,2026-05-26 09:47:40,-2.55,-0.07,8.73,9.09,16.3,-0.5,BACK_UP,MOVING,NORMAL
49,6.02,2026-05-26 09:47:41,-1.40,-0.25,8.60,8.72,9.2,-1.7,BACK_UP,MOVING,NORMAL
50,6.12,2026-05-26 09:47:41,-0.28,-0.34,9.80,9.81,1.6,-2.0,BACK_UP,MOVING,NORMAL
51,6.22,2026-05-26 09:47:41,0.23,-0.29,9.61,9.62,-1.4,-1.7,BACK_UP,MOVING,NORMAL
52,6.32,2026-05-26 09:47:41,1.25,-0.36,9.42,9.51,-7.5,-2.2,BACK_UP,MOVING,NORMAL
53,6.42,2026-05-26 09:47:41,2.14,-0.39,9.51,9.76,-12.6,-2.3,BACK_UP,MOVING,NORMAL
54,6.52,2026-05-26 09:47:41,3.37,-0.45,8.88,9.51,-20.7,-2.9,BACK_UP,MOVING,NORMAL
55,6.62,2026-05-26 09:47:41,3.55,-0.48,8.87,9.56,-21.8,-3.1,BACK_UP,MOVING,NORMAL
56,6.72,2026-05-26 09:47:41,3.64,-0.47,8.75,9.48,-22.5,-3.1,BACK_UP,MOVING,NORMAL
57,6.82,2026-05-26 09:47:41,2.69,-0.38,9.36,9.74,-16.0,-2.3,BACK_UP,MOVING,NORMAL
58,6.92,2026-05-26 09:47:41,2.32,-0.38,9.21,9.51,-14.1,-2.4,BACK_UP,MOVING,NORMAL
59,7.02,2026-05-26 09:47:42,1.24,-0.24,9.23,9.32,-7.6,-1.5,BACK_UP,MOVING,NORMAL
60,7.12,2026-05-26 09:47:42,0.10,-0.34,9.58,9.59,-0.6,-2.0,BACK_UP,MOVING,NORMAL
61,7.57,2026-05-26 09:47:42,-2.32,-0.16,9.24,9.53,14.1,-1.0,BACK_UP,MOVING,NORMAL
62,7.67,2026-05-26 09:47:42,-1.27,-0.24,10.67,10.75,6.8,-1.3,BACK_UP,MOVING,NORMAL
63,7.77,2026-05-26 09:47:42,-0.09,-0.28,10.01,10.01,0.5,-1.6,BACK_UP,MOVING,NORMAL
64,7.87,2026-05-26 09:47:42,0.39,-0.14,9.59,9.60,-2.3,-0.8,BACK_UP,MOVING,NORMAL
65,7.97,2026-05-26 09:47:42,1.59,-0.40,9.27,9.42,-9.7,-2.5,BACK_UP,MOVING,NORMAL
66,8.07,2026-05-26 09:47:43,2.30,-0.42,9.20,9.49,-14.0,-2.6,BACK_UP,MOVING,NORMAL
67,8.17,2026-05-26 09:47:43,2.98,-0.45,9.07,9.56,-18.2,-2.9,BACK_UP,MOVING,NORMAL
