#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-029
#user,2 minutos ms app
#age,17
#height_m,1.65
#weight_kg,64.00
#mode,TEST_NADO
#start_local,2026-05-26 09:52:54
#file_id,/SS000005.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.25,2026-05-26 09:52:54,0.28,-0.74,9.40,9.43,-1.7,-4.5,BACK_UP,MOVING,NORMAL
2,0.35,2026-05-26 09:52:54,0.23,-0.68,9.45,9.47,-1.4,-4.1,BACK_UP,MOVING,NORMAL
3,0.45,2026-05-26 09:52:54,0.26,-0.79,9.25,9.29,-1.6,-4.9,BACK_UP,MOVING,NORMAL
4,0.55,2026-05-26 09:52:54,0.28,-0.73,9.43,9.46,-1.7,-4.4,BACK_UP,MOVING,NORMAL
5,0.65,2026-05-26 09:52:54,0.17,-0.66,9.66,9.69,-1.0,-3.9,BACK_UP,MOVING,NORMAL
6,0.75,2026-05-26 09:52:54,0.11,-0.51,10.44,10.45,-0.6,-2.8,BACK_UP,MOVING,NORMAL
7,0.85,2026-05-26 09:52:54,-0.69,-0.10,9.10,9.12,4.4,-0.6,BACK_UP,MOVING,NORMAL
8,0.95,2026-05-26 09:52:54,-1.75,-0.04,8.87,9.04,11.2,-0.3,BACK_UP,MOVING,NORMAL
9,1.05,2026-05-26 09:52:55,-1.91,0.48,9.16,9.37,11.7,3.0,BACK_UP,MOVING,NORMAL
10,1.15,2026-05-26 09:52:55,-1.94,0.86,8.90,9.15,12.3,5.5,BACK_UP,MOVING,NORMAL
11,1.25,2026-05-26 09:52:55,-3.15,0.95,8.77,9.36,19.7,6.2,BACK_UP,MOVING,NORMAL
12,1.35,2026-05-26 09:52:55,-2.60,0.51,7.38,7.85,19.4,3.9,BACK_UP,MOVING,NORMAL
13,1.45,2026-05-26 09:52:55,-0.76,0.20,9.10,9.13,4.8,1.3,BACK_UP,MOVING,NORMAL
14,1.55,2026-05-26 09:52:55,0.78,-0.33,10.10,10.13,-4.4,-1.9,BACK_UP,MOVING,NORMAL
15,1.65,2026-05-26 09:52:55,2.71,-0.62,8.58,9.02,-17.5,-4.1,BACK_UP,MOVING,NORMAL
16,1.75,2026-05-26 09:52:55,3.42,-0.80,9.22,9.87,-20.3,-5.0,BACK_UP,MOVING,NORMAL
17,1.85,2026-05-26 09:52:55,3.75,-0.88,8.89,9.69,-22.8,-5.6,BACK_UP,MOVING,NORMAL
18,1.95,2026-05-26 09:52:55,4.28,-1.17,8.64,9.71,-26.1,-7.7,BACK_UP,MOVING,NORMAL
