#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-032
#user,prueba de blt desconectado
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 15:35:58
#file_id,/SS000011.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.21,2026-05-26 15:35:58,-0.42,-0.40,9.45,9.47,2.5,-2.4,BACK_UP,NO_ADVANCE,NORMAL
2,0.30,2026-05-26 15:35:58,-0.41,-0.41,9.45,9.47,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
3,0.40,2026-05-26 15:35:58,-0.42,-0.41,9.45,9.47,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
4,0.50,2026-05-26 15:35:58,-0.41,-0.41,9.45,9.47,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
5,0.60,2026-05-26 15:35:58,-0.44,-0.40,9.45,9.47,2.6,-2.4,BACK_UP,NO_ADVANCE,NORMAL
6,0.70,2026-05-26 15:35:58,-0.41,-0.39,9.45,9.46,2.5,-2.4,BACK_UP,NO_ADVANCE,NORMAL
7,0.80,2026-05-26 15:35:58,-0.45,-0.41,9.46,9.48,2.7,-2.5,BACK_UP,NO_ADVANCE,NORMAL
8,0.90,2026-05-26 15:35:58,-0.42,-0.41,9.44,9.46,2.6,-2.5,BACK_UP,NO_ADVANCE,NORMAL
9,1.00,2026-05-26 15:35:59,-0.44,-0.41,9.47,9.49,2.7,-2.5,BACK_UP,NO_ADVANCE,NORMAL
10,1.10,2026-05-26 15:35:59,-0.43,-0.41,9.46,9.48,2.6,-2.5,BACK_UP,NO_ADVANCE,NORMAL
11,1.20,2026-05-26 15:35:59,-0.42,-0.41,9.44,9.46,2.6,-2.5,BACK_UP,NO_ADVANCE,NORMAL
12,1.30,2026-05-26 15:35:59,-0.42,-0.40,9.45,9.47,2.6,-2.4,BACK_UP,NO_ADVANCE,NORMAL
13,1.40,2026-05-26 15:35:59,-0.42,-0.41,9.45,9.47,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
14,1.50,2026-05-26 15:35:59,-0.41,-0.41,9.47,9.48,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
15,1.60,2026-05-26 15:35:59,-0.41,-0.41,9.45,9.47,2.5,-2.5,BACK_UP,NO_ADVANCE,NORMAL
16,1.70,2026-05-26 15:35:59,-0.42,-0.40,9.45,9.47,2.6,-2.4,BACK_UP,NO_ADVANCE,NORMAL
17,1.80,2026-05-26 15:35:59,-0.42,-0.41,9.45,9.47,2.6,-2.5,BACK_UP,NO_ADVANCE,NORMAL
18,1.90,2026-05-26 15:35:59,-0.42,-0.40,9.45,9.47,2.5,-2.4,BACK_UP,NO_ADVANCE,NORMAL
19,2.00,2026-05-26 15:36:00,-0.42,-0.40,9.49,9.51,2.6,-2.4,BACK_UP,NO_ADVANCE,NORMAL
20,2.10,2026-05-26 15:36:00,-1.67,1.73,9.34,9.65,10.0,10.5,BACK_UP,NO_ADVANCE,NORMAL
