#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-033
#user,prueba2
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 15:52:55
#file_id,/SS000012.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.28,2026-05-26 15:52:55,-0.39,-0.45,9.61,9.63,2.3,-2.7,BACK_UP,MOVING,NORMAL
2,0.37,2026-05-26 15:52:55,-1.19,-0.54,9.50,9.59,7.1,-3.2,BACK_UP,MOVING,NORMAL
3,0.47,2026-05-26 15:52:55,-0.46,-1.23,9.42,9.51,2.8,-7.4,BACK_UP,MOVING,NORMAL
4,0.57,2026-05-26 15:52:55,-1.40,-0.76,9.40,9.54,8.4,-4.6,BACK_UP,LOW_MOTION,NORMAL
5,0.67,2026-05-26 15:52:55,-0.23,0.01,8.60,8.61,1.5,0.0,BACK_UP,MOVING,NORMAL
6,0.77,2026-05-26 15:52:55,-0.24,-0.31,9.54,9.55,1.4,-1.9,BACK_UP,MOVING,NORMAL
7,0.87,2026-05-26 15:52:55,-0.40,-0.40,9.67,9.68,2.4,-2.4,BACK_UP,MOVING,NORMAL
8,0.97,2026-05-26 15:52:55,-1.03,-0.28,9.57,9.63,6.1,-1.6,BACK_UP,MOVING,NORMAL
9,1.07,2026-05-26 15:52:56,-2.18,-0.39,8.35,8.64,14.6,-2.7,BACK_UP,MOVING,NORMAL
10,1.17,2026-05-26 15:52:56,-2.90,0.36,6.57,7.19,23.8,3.1,BACK_UP,MOVING,NORMAL
11,1.27,2026-05-26 15:52:56,-4.71,0.07,6.92,8.37,34.2,0.6,BACK_UP,MOVING,NORMAL
12,1.37,2026-05-26 15:52:56,-3.74,-0.08,8.08,8.91,24.8,-0.6,BACK_UP,MOVING,NORMAL
13,1.47,2026-05-26 15:52:56,-2.32,-0.20,8.07,8.40,16.0,-1.4,BACK_UP,MOVING,NORMAL
14,1.57,2026-05-26 15:52:56,-1.62,-0.65,9.85,10.00,9.3,-3.8,BACK_UP,MOVING,NORMAL
15,1.67,2026-05-26 15:52:56,-0.94,-0.73,9.62,9.70,5.6,-4.4,BACK_UP,MOVING,NORMAL
16,1.77,2026-05-26 15:52:56,0.55,-0.41,9.65,9.68,-3.2,-2.5,BACK_UP,MOVING,NORMAL
17,1.87,2026-05-26 15:52:56,2.18,-0.54,9.24,9.51,-13.2,-3.3,BACK_UP,MOVING,NORMAL
18,1.97,2026-05-26 15:52:56,4.53,-0.85,8.24,9.44,-28.6,-5.9,BACK_UP,MOVING,NORMAL
19,2.07,2026-05-26 15:52:57,5.31,-1.06,8.00,9.66,-33.3,-7.6,BACK_UP,MOVING,NORMAL
20,2.17,2026-05-26 15:52:57,5.77,-0.94,7.90,9.83,-36.0,-6.8,BACK_UP,MOVING,NORMAL
21,2.27,2026-05-26 15:52:57,5.00,-0.82,8.43,9.83,-30.6,-5.5,BACK_UP,MOVING,NORMAL
22,2.37,2026-05-26 15:52:57,3.86,-0.68,8.81,9.65,-23.6,-4.4,BACK_UP,MOVING,NORMAL
23,2.47,2026-05-26 15:52:57,2.17,-0.67,9.32,9.59,-13.1,-4.1,BACK_UP,MOVING,NORMAL
24,2.57,2026-05-26 15:52:57,-0.26,-0.94,9.66,9.71,1.6,-5.6,BACK_UP,MOVING,NORMAL
25,2.67,2026-05-26 15:52:57,-1.73,-1.10,10.55,10.75,9.3,-6.0,BACK_UP,MOVING,NORMAL
26,2.77,2026-05-26 15:52:57,-2.60,-0.77,8.54,8.96,16.9,-5.2,BACK_UP,MOVING,NORMAL
27,2.87,2026-05-26 15:52:57,-5.87,-1.00,5.21,7.91,47.9,-10.9,LEFT_SIDE,MOVING,NORMAL
28,2.97,2026-05-26 15:52:57,-5.41,0.06,7.17,8.98,37.1,0.5,BACK_UP,MOVING,NORMAL
29,3.07,2026-05-26 15:52:58,-5.60,0.15,6.36,8.48,41.4,1.3,BACK_UP,MOVING,NORMAL
30,3.18,2026-05-26 15:52:58,-4.17,-0.23,8.14,9.15,27.1,-1.6,BACK_UP,MOVING,NORMAL
31,3.28,2026-05-26 15:52:58,-1.84,-0.71,8.74,8.96,11.8,-4.6,BACK_UP,MOVING,NORMAL
32,3.38,2026-05-26 15:52:58,-1.05,-0.02,10.66,10.71,5.6,-0.1,BACK_UP,MOVING,NORMAL
33,3.48,2026-05-26 15:52:58,-0.19,-0.51,9.90,9.92,1.1,-3.0,BACK_UP,MOVING,NORMAL
34,3.58,2026-05-26 15:52:58,1.45,-0.59,9.53,9.66,-8.6,-3.5,BACK_UP,MOVING,NORMAL
35,3.68,2026-05-26 15:52:58,3.95,-0.55,8.77,9.64,-24.2,-3.6,BACK_UP,MOVING,NORMAL
36,3.78,2026-05-26 15:52:58,5.03,-0.63,8.16,9.61,-31.6,-4.4,BACK_UP,MOVING,NORMAL
37,3.88,2026-05-26 15:52:58,6.24,-0.93,7.55,9.84,-39.3,-7.0,BACK_UP,MOVING,NORMAL
38,3.98,2026-05-26 15:52:58,6.25,-0.90,7.47,9.78,-39.7,-6.9,BACK_UP,MOVING,NORMAL
39,4.08,2026-05-26 15:52:59,5.21,-0.68,8.18,9.72,-32.4,-4.8,BACK_UP,MOVING,NORMAL
40,4.18,2026-05-26 15:52:59,3.48,-0.53,9.22,9.87,-20.6,-3.3,BACK_UP,MOVING,NORMAL
41,4.28,2026-05-26 15:52:59,1.54,-0.47,9.67,9.80,-9.0,-2.8,BACK_UP,MOVING,NORMAL
42,4.38,2026-05-26 15:52:59,-0.18,-1.17,9.69,9.76,1.1,-6.9,BACK_UP,MOVING,NORMAL
43,4.48,2026-05-26 15:52:59,-0.88,-0.53,10.15,10.20,5.0,-3.0,BACK_UP,MOVING,NORMAL
44,4.58,2026-05-26 15:52:59,-1.52,-0.64,9.30,9.45,9.3,-3.9,BACK_UP,MOVING,NORMAL
45,4.68,2026-05-26 15:52:59,-3.62,-0.05,7.59,8.41,25.5,-0.4,BACK_UP,MOVING,NORMAL
46,4.78,2026-05-26 15:52:59,-4.97,0.02,6.57,8.24,37.1,0.1,BACK_UP,MOVING,NORMAL
47,4.88,2026-05-26 15:52:59,-4.50,0.55,6.17,7.66,36.0,5.1,BACK_UP,MOVING,NORMAL
48,4.98,2026-05-26 15:52:59,-4.78,0.12,7.01,8.49,34.3,1.0,BACK_UP,MOVING,NORMAL
49,5.08,2026-05-26 15:53:00,-2.86,0.16,7.19,7.74,21.7,1.2,BACK_UP,MOVING,NORMAL
50,5.18,2026-05-26 15:53:00,-1.11,-0.74,10.96,11.04,5.8,-3.9,BACK_UP,MOVING,NORMAL
51,5.28,2026-05-26 15:53:00,-0.42,-0.19,9.54,9.55,2.5,-1.2,BACK_UP,MOVING,NORMAL
52,5.38,2026-05-26 15:53:00,0.52,-0.26,9.82,9.84,-3.1,-1.5,BACK_UP,MOVING,NORMAL
53,5.48,2026-05-26 15:53:00,2.40,-0.37,9.08,9.40,-14.8,-2.3,BACK_UP,MOVING,NORMAL
54,5.58,2026-05-26 15:53:00,4.09,-0.54,8.71,9.64,-25.1,-3.5,BACK_UP,MOVING,NORMAL
55,5.68,2026-05-26 15:53:00,5.24,-0.69,8.33,9.86,-32.1,-4.7,BACK_UP,MOVING,NORMAL
56,5.78,2026-05-26 15:53:00,6.18,-0.83,7.66,9.88,-38.7,-6.2,BACK_UP,MOVING,NORMAL
57,5.88,2026-05-26 15:53:00,6.46,-0.86,7.30,9.79,-41.3,-6.7,BACK_UP,MOVING,NORMAL
58,5.98,2026-05-26 15:53:00,5.69,-0.72,8.12,9.94,-34.9,-5.1,BACK_UP,MOVING,NORMAL
59,6.08,2026-05-26 15:53:01,4.36,-0.71,8.81,9.85,-26.2,-4.6,BACK_UP,MOVING,NORMAL
60,6.18,2026-05-26 15:53:01,2.70,-0.61,9.31,9.71,-16.1,-3.8,BACK_UP,MOVING,NORMAL
61,6.28,2026-05-26 15:53:01,0.15,-0.89,9.59,9.63,-0.9,-5.3,BACK_UP,MOVING,NORMAL
62,6.38,2026-05-26 15:53:01,-1.17,-0.24,9.87,9.95,6.7,-1.4,BACK_UP,MOVING,NORMAL
63,6.48,2026-05-26 15:53:01,-1.59,-0.66,9.77,9.92,9.2,-3.9,BACK_UP,MOVING,NORMAL
64,6.58,2026-05-26 15:53:01,-3.79,-0.54,8.06,8.92,25.1,-3.9,BACK_UP,MOVING,NORMAL
65,6.68,2026-05-26 15:53:01,-4.98,0.27,7.11,8.69,35.0,2.2,BACK_UP,MOVING,NORMAL
66,6.78,2026-05-26 15:53:01,-6.13,0.43,6.31,8.81,44.1,3.9,BACK_UP,MOVING,NORMAL
67,6.88,2026-05-26 15:53:01,-6.47,0.15,5.00,8.18,52.3,1.8,LEFT_SIDE,MOVING,NORMAL
68,6.98,2026-05-26 15:53:01,-6.13,0.18,6.18,8.71,44.8,1.7,BACK_UP,MOVING,NORMAL
69,7.08,2026-05-26 15:53:02,-4.99,0.24,7.04,8.63,35.3,2.0,BACK_UP,MOVING,NORMAL
