#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-033
#user,prueba20 segundos
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 15:56:25
#file_id,/SS000014.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.28,2026-05-26 15:56:25,-0.70,-1.04,9.47,9.56,4.2,-6.3,BACK_UP,NO_ADVANCE,NORMAL
2,0.38,2026-05-26 15:56:25,-0.90,-0.83,9.56,9.64,5.4,-5.0,BACK_UP,NO_ADVANCE,NORMAL
3,0.48,2026-05-26 15:56:25,-0.89,-0.63,9.51,9.58,5.3,-3.8,BACK_UP,NO_ADVANCE,NORMAL
4,0.58,2026-05-26 15:56:25,-1.03,-0.46,9.54,9.61,6.2,-2.8,BACK_UP,NO_ADVANCE,NORMAL
5,0.68,2026-05-26 15:56:25,-1.85,-0.59,8.52,8.74,12.2,-4.0,BACK_UP,MOVING,NORMAL
6,0.78,2026-05-26 15:56:25,-2.47,-0.30,9.15,9.48,15.1,-1.9,BACK_UP,MOVING,NORMAL
7,0.88,2026-05-26 15:56:25,-3.29,-0.24,9.02,9.61,20.1,-1.5,BACK_UP,MOVING,NORMAL
8,0.98,2026-05-26 15:56:25,-4.43,-0.07,7.76,8.94,29.7,-0.5,BACK_UP,MOVING,NORMAL
9,1.08,2026-05-26 15:56:26,-5.16,-0.13,7.49,9.10,34.6,-1.0,BACK_UP,MOVING,NORMAL
10,1.18,2026-05-26 15:56:26,-5.34,-0.06,6.80,8.65,38.1,-0.5,BACK_UP,MOVING,NORMAL
11,1.28,2026-05-26 15:56:26,-4.89,-0.01,7.36,8.84,33.6,-0.1,BACK_UP,MOVING,NORMAL
12,1.38,2026-05-26 15:56:26,-3.92,-0.16,8.21,9.10,25.5,-1.1,BACK_UP,MOVING,NORMAL
13,1.48,2026-05-26 15:56:26,-2.90,-0.34,8.75,9.23,18.3,-2.3,BACK_UP,MOVING,NORMAL
14,1.58,2026-05-26 15:56:26,-1.86,-0.61,9.15,9.36,11.5,-3.8,BACK_UP,MOVING,NORMAL
15,1.68,2026-05-26 15:56:26,-0.50,-0.72,9.96,10.00,2.9,-4.1,BACK_UP,MOVING,NORMAL
