#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-034
#user,prueba 20 seg
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 16:08:34
#file_id,/SS000015.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.27,2026-05-26 16:08:34,-0.29,-0.26,9.50,9.51,1.7,-1.5,BACK_UP,MOVING,NORMAL
2,0.37,2026-05-26 16:08:34,-0.31,-0.26,9.49,9.50,1.9,-1.6,BACK_UP,MOVING,NORMAL
3,0.47,2026-05-26 16:08:34,-0.18,-0.22,9.44,9.44,1.1,-1.3,BACK_UP,MOVING,NORMAL
4,0.57,2026-05-26 16:08:34,-0.38,-0.29,9.58,9.60,2.3,-1.7,BACK_UP,MOVING,NORMAL
5,0.67,2026-05-26 16:08:34,0.14,-0.09,9.39,9.39,-0.9,-0.5,BACK_UP,MOVING,NORMAL
6,0.77,2026-05-26 16:08:34,-0.68,-0.38,9.43,9.46,4.1,-2.3,BACK_UP,MOVING,NORMAL
7,0.87,2026-05-26 16:08:34,-0.36,-0.20,9.50,9.51,2.2,-1.2,BACK_UP,MOVING,NORMAL
8,0.97,2026-05-26 16:08:34,-0.67,-0.69,9.44,9.49,4.0,-4.2,BACK_UP,MOVING,NORMAL
9,1.07,2026-05-26 16:08:35,0.05,-0.85,9.58,9.62,-0.3,-5.1,BACK_UP,MOVING,NORMAL
10,1.21,2026-05-26 16:08:35,0.63,-0.61,9.07,9.12,-4.0,-3.8,BACK_UP,MOVING,NORMAL
11,1.31,2026-05-26 16:08:35,-2.99,-0.39,8.80,9.30,18.7,-2.5,BACK_UP,MOVING,NORMAL
12,1.41,2026-05-26 16:08:35,0.44,0.79,8.36,8.40,-3.0,5.4,BACK_UP,MOVING,NORMAL
13,1.51,2026-05-26 16:08:35,-0.62,-0.57,10.94,10.97,3.2,-3.0,BACK_UP,MOVING,NORMAL
14,1.61,2026-05-26 16:08:35,-0.68,-0.48,9.42,9.46,4.2,-2.9,BACK_UP,MOVING,NORMAL
15,1.71,2026-05-26 16:08:35,-0.93,-0.46,8.54,8.60,6.2,-3.1,BACK_UP,MOVING,NORMAL
16,1.81,2026-05-26 16:08:35,-0.50,-0.42,8.83,8.86,3.2,-2.7,BACK_UP,MOVING,NORMAL
17,1.91,2026-05-26 16:08:35,0.26,-0.56,9.03,9.05,-1.6,-3.5,BACK_UP,MOVING,NORMAL
18,2.01,2026-05-26 16:08:36,-0.92,-0.14,9.68,9.73,5.4,-0.9,BACK_UP,MOVING,NORMAL
19,2.11,2026-05-26 16:08:36,-2.80,-0.53,9.72,10.13,16.0,-3.1,BACK_UP,MOVING,NORMAL
20,2.27,2026-05-26 16:08:36,-3.44,0.33,8.94,9.58,21.0,2.1,BACK_UP,MOVING,NORMAL
21,2.37,2026-05-26 16:08:36,-4.75,-0.00,7.22,8.64,33.3,-0.0,BACK_UP,MOVING,NORMAL
22,2.47,2026-05-26 16:08:36,-3.92,-0.06,7.93,8.84,26.3,-0.5,BACK_UP,MOVING,NORMAL
23,2.57,2026-05-26 16:08:36,-2.32,-0.29,9.12,9.42,14.2,-1.8,BACK_UP,MOVING,NORMAL
24,2.67,2026-05-26 16:08:36,0.26,-0.09,10.48,10.49,-1.4,-0.5,BACK_UP,MOVING,NORMAL
25,2.77,2026-05-26 16:08:36,-0.01,-0.54,9.64,9.65,0.1,-3.2,BACK_UP,MOVING,NORMAL
26,2.87,2026-05-26 16:08:36,1.87,-0.65,9.49,9.69,-11.1,-3.9,BACK_UP,MOVING,NORMAL
27,2.97,2026-05-26 16:08:36,3.66,-0.61,8.84,9.59,-22.4,-4.0,BACK_UP,MOVING,NORMAL
28,3.07,2026-05-26 16:08:37,4.91,-0.96,8.38,9.76,-30.2,-6.5,BACK_UP,MOVING,NORMAL
29,3.17,2026-05-26 16:08:37,5.74,-0.96,7.67,9.63,-36.6,-7.1,BACK_UP,MOVING,NORMAL
30,3.33,2026-05-26 16:08:37,4.75,-0.96,8.86,10.10,-28.1,-6.2,BACK_UP,MOVING,NORMAL
31,3.43,2026-05-26 16:08:37,3.51,-0.58,8.96,9.65,-21.4,-3.7,BACK_UP,MOVING,NORMAL
32,3.53,2026-05-26 16:08:37,1.91,-0.68,9.52,9.74,-11.3,-4.1,BACK_UP,MOVING,NORMAL
33,3.63,2026-05-26 16:08:37,0.26,-0.47,9.46,9.47,-1.6,-2.8,BACK_UP,MOVING,NORMAL
34,3.73,2026-05-26 16:08:37,-0.85,-0.66,9.87,9.92,4.9,-3.8,BACK_UP,MOVING,NORMAL
35,3.83,2026-05-26 16:08:37,-1.70,-0.69,9.70,9.87,9.9,-4.1,BACK_UP,MOVING,NORMAL
36,3.93,2026-05-26 16:08:37,-3.12,-0.07,8.91,9.44,19.3,-0.4,BACK_UP,MOVING,NORMAL
37,4.03,2026-05-26 16:08:38,-5.07,0.05,7.27,8.86,34.9,0.4,BACK_UP,MOVING,NORMAL
38,4.13,2026-05-26 16:08:38,-6.01,0.04,6.05,8.53,44.8,0.4,BACK_UP,MOVING,NORMAL
39,4.23,2026-05-26 16:08:38,-6.45,0.01,5.39,8.40,50.1,0.2,LEFT_SIDE,MOVING,NORMAL
40,4.37,2026-05-26 16:08:38,-5.48,0.01,6.18,8.26,41.5,0.1,BACK_UP,MOVING,NORMAL
41,4.47,2026-05-26 16:08:38,-4.46,-0.11,7.99,9.15,29.1,-0.8,BACK_UP,MOVING,NORMAL
42,4.57,2026-05-26 16:08:38,-2.76,-0.12,8.45,8.89,18.1,-0.8,BACK_UP,MOVING,NORMAL
43,4.67,2026-05-26 16:08:38,-1.28,0.10,11.69,11.76,6.2,0.5,BACK_UP,MOVING,NORMAL
44,4.77,2026-05-26 16:08:38,-0.02,-0.29,9.66,9.66,0.1,-1.7,BACK_UP,MOVING,NORMAL
45,4.87,2026-05-26 16:08:38,1.21,-0.58,9.60,9.69,-7.2,-3.4,BACK_UP,MOVING,NORMAL
46,4.97,2026-05-26 16:08:38,3.03,-0.54,9.19,9.70,-18.2,-3.4,BACK_UP,MOVING,NORMAL
47,5.07,2026-05-26 16:08:39,4.80,-0.79,8.45,9.75,-29.5,-5.4,BACK_UP,MOVING,NORMAL
48,5.17,2026-05-26 16:08:39,5.81,-1.12,7.77,9.77,-36.5,-8.2,BACK_UP,MOVING,NORMAL
49,5.27,2026-05-26 16:08:39,6.39,-1.10,7.46,9.89,-40.3,-8.4,BACK_UP,MOVING,NORMAL
50,5.43,2026-05-26 16:08:39,5.85,-0.94,7.84,9.83,-36.5,-6.8,BACK_UP,MOVING,NORMAL
51,5.53,2026-05-26 16:08:39,4.92,-0.75,8.55,9.89,-29.8,-5.0,BACK_UP,MOVING,NORMAL
52,5.63,2026-05-26 16:08:39,3.27,-0.74,8.98,9.58,-19.9,-4.7,BACK_UP,MOVING,NORMAL
53,5.73,2026-05-26 16:08:39,1.52,-0.42,9.48,9.61,-9.1,-2.5,BACK_UP,MOVING,NORMAL
54,5.83,2026-05-26 16:08:39,0.18,-0.13,9.53,9.54,-1.1,-0.8,BACK_UP,MOVING,NORMAL
55,5.93,2026-05-26 16:08:39,-0.60,-0.43,9.84,9.87,3.5,-2.5,BACK_UP,MOVING,NORMAL
56,6.03,2026-05-26 16:08:40,-1.53,-0.38,9.67,9.80,9.0,-2.2,BACK_UP,MOVING,NORMAL
57,6.13,2026-05-26 16:08:40,-2.40,-0.24,9.72,10.02,13.9,-1.4,BACK_UP,MOVING,NORMAL
58,6.23,2026-05-26 16:08:40,-3.62,0.10,8.23,8.99,23.8,0.7,BACK_UP,MOVING,NORMAL
59,6.33,2026-05-26 16:08:40,-5.52,0.19,6.96,8.88,38.4,1.6,BACK_UP,MOVING,NORMAL
60,6.47,2026-05-26 16:08:40,-6.61,-0.00,5.11,8.35,52.3,-0.1,LEFT_SIDE,MOVING,NORMAL
61,6.57,2026-05-26 16:08:40,-6.73,-0.08,5.24,8.53,52.1,-0.9,LEFT_SIDE,MOVING,NORMAL
62,6.67,2026-05-26 16:08:40,-5.87,0.16,6.24,8.57,43.2,1.4,BACK_UP,MOVING,NORMAL
63,6.77,2026-05-26 16:08:40,-4.58,0.15,7.14,8.49,32.7,1.2,BACK_UP,MOVING,NORMAL
64,6.87,2026-05-26 16:08:40,-3.01,-0.07,8.14,8.68,20.3,-0.5,BACK_UP,MOVING,NORMAL
65,6.97,2026-05-26 16:08:40,-1.41,-0.13,10.52,10.61,7.6,-0.7,BACK_UP,MOVING,NORMAL
66,7.07,2026-05-26 16:08:41,-0.29,-0.40,9.70,9.71,1.7,-2.4,BACK_UP,MOVING,NORMAL
67,7.17,2026-05-26 16:08:41,0.41,-0.63,9.69,9.72,-2.4,-3.7,BACK_UP,MOVING,NORMAL
68,7.27,2026-05-26 16:08:41,1.43,-0.38,9.41,9.53,-8.7,-2.3,BACK_UP,MOVING,NORMAL
69,7.37,2026-05-26 16:08:41,2.43,-0.51,9.37,9.69,-14.6,-3.1,BACK_UP,MOVING,NORMAL
70,7.53,2026-05-26 16:08:41,3.90,-0.66,8.84,9.69,-23.7,-4.3,BACK_UP,MOVING,NORMAL
