#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,cspacitor
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 11:50:55
#file_id,/SS000008.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.19,2026-05-27 11:50:55,-0.46,-0.11,9.40,9.41,2.8,-0.6,BACK_UP,MOVING,NORMAL
2,0.29,2026-05-27 11:50:55,-0.47,-0.10,9.41,9.42,2.9,-0.6,BACK_UP,MOVING,NORMAL
3,0.39,2026-05-27 11:50:55,-0.42,-0.10,9.40,9.41,2.5,-0.6,BACK_UP,MOVING,NORMAL
4,0.49,2026-05-27 11:50:55,-0.47,-0.11,9.38,9.40,2.9,-0.7,BACK_UP,MOVING,NORMAL
5,0.59,2026-05-27 11:50:55,-0.45,-0.11,9.38,9.39,2.8,-0.6,BACK_UP,MOVING,NORMAL
6,0.69,2026-05-27 11:50:55,-0.45,-0.10,9.41,9.43,2.8,-0.6,BACK_UP,MOVING,NORMAL
7,0.79,2026-05-27 11:50:55,-0.46,-0.10,9.42,9.43,2.8,-0.6,BACK_UP,MOVING,NORMAL
8,0.89,2026-05-27 11:50:55,-0.47,-0.11,9.41,9.42,2.9,-0.7,BACK_UP,MOVING,NORMAL
9,0.99,2026-05-27 11:50:55,-0.47,-0.11,9.41,9.42,2.9,-0.7,BACK_UP,MOVING,NORMAL
10,1.09,2026-05-27 11:50:56,-0.49,-0.12,9.41,9.42,3.0,-0.7,BACK_UP,MOVING,NORMAL
11,1.19,2026-05-27 11:50:56,-0.46,-0.09,9.41,9.42,2.8,-0.6,BACK_UP,MOVING,NORMAL
12,1.29,2026-05-27 11:50:56,-0.45,-0.10,9.39,9.40,2.7,-0.6,BACK_UP,MOVING,NORMAL
13,1.39,2026-05-27 11:50:56,-0.47,-0.08,9.42,9.44,2.9,-0.5,BACK_UP,MOVING,NORMAL
14,1.49,2026-05-27 11:50:56,-0.46,-0.11,9.40,9.41,2.8,-0.7,BACK_UP,MOVING,NORMAL
