#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,cspacitor
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 11:49:51
#file_id,/SS000007.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.25,2026-05-27 11:49:51,-0.55,-0.12,9.37,9.39,3.3,-0.7,BACK_UP,MOVING,NORMAL
2,0.35,2026-05-27 11:49:51,-0.54,-0.11,9.41,9.42,3.3,-0.6,BACK_UP,MOVING,NORMAL
3,0.45,2026-05-27 11:49:51,-0.56,-0.12,9.40,9.41,3.4,-0.8,BACK_UP,MOVING,NORMAL
4,0.55,2026-05-27 11:49:51,-0.51,-0.11,9.29,9.31,3.1,-0.7,BACK_UP,MOVING,NORMAL
5,0.65,2026-05-27 11:49:51,-0.48,-0.10,9.50,9.51,2.9,-0.6,BACK_UP,MOVING,NORMAL
6,0.75,2026-05-27 11:49:51,-0.48,-0.09,9.47,9.48,2.9,-0.5,BACK_UP,MOVING,NORMAL
7,0.85,2026-05-27 11:49:51,-0.50,-0.10,9.42,9.43,3.0,-0.6,BACK_UP,MOVING,NORMAL
8,0.95,2026-05-27 11:49:51,-0.48,-0.10,9.42,9.43,2.9,-0.6,BACK_UP,MOVING,NORMAL
9,1.05,2026-05-27 11:49:52,-0.46,-0.10,9.40,9.41,2.8,-0.6,BACK_UP,MOVING,NORMAL
10,1.15,2026-05-27 11:49:52,-0.50,-0.11,9.38,9.39,3.1,-0.7,BACK_UP,MOVING,NORMAL
11,1.25,2026-05-27 11:49:52,-0.49,-0.10,9.41,9.42,3.0,-0.6,BACK_UP,MOVING,NORMAL
12,1.35,2026-05-27 11:49:52,-0.46,-0.08,9.39,9.41,2.8,-0.5,BACK_UP,MOVING,NORMAL
13,1.45,2026-05-27 11:49:52,-0.51,-0.10,9.39,9.41,3.1,-0.6,BACK_UP,MOVING,NORMAL
14,1.55,2026-05-27 11:49:52,-0.48,-0.09,9.40,9.41,2.9,-0.6,BACK_UP,MOVING,NORMAL
