#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,viito2
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 17:11:56
#file_id,/SS000016.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.26,2026-05-27 17:11:56,-0.14,0.05,9.42,9.42,0.8,0.3,BACK_UP,MOVING,NORMAL
2,0.36,2026-05-27 17:11:56,-0.10,0.02,9.41,9.41,0.6,0.1,BACK_UP,MOVING,NORMAL
3,0.46,2026-05-27 17:11:56,-0.19,-0.01,9.40,9.40,1.2,-0.1,BACK_UP,MOVING,NORMAL
4,0.56,2026-05-27 17:11:56,-0.08,0.01,9.40,9.40,0.5,0.1,BACK_UP,MOVING,NORMAL
5,0.66,2026-05-27 17:11:56,-0.18,0.03,9.39,9.39,1.1,0.2,BACK_UP,MOVING,NORMAL
6,0.76,2026-05-27 17:11:56,-0.11,0.00,9.39,9.40,0.7,0.0,BACK_UP,MOVING,NORMAL
7,0.86,2026-05-27 17:11:56,-0.14,0.01,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
8,0.96,2026-05-27 17:11:56,-0.16,0.01,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
9,1.06,2026-05-27 17:11:57,-0.12,0.02,9.42,9.42,0.7,0.1,BACK_UP,MOVING,NORMAL
10,1.16,2026-05-27 17:11:57,-0.16,0.04,9.39,9.39,1.0,0.2,BACK_UP,MOVING,NORMAL
11,1.26,2026-05-27 17:11:57,-0.16,-0.01,9.42,9.42,1.0,-0.0,BACK_UP,MOVING,NORMAL
12,1.36,2026-05-27 17:11:57,-0.13,0.01,9.38,9.38,0.8,0.1,BACK_UP,MOVING,NORMAL
13,1.46,2026-05-27 17:11:57,-0.17,0.01,9.39,9.40,1.1,0.1,BACK_UP,MOVING,NORMAL
14,1.56,2026-05-27 17:11:57,-0.14,0.04,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
15,1.66,2026-05-27 17:11:57,-0.16,0.02,9.39,9.39,1.0,0.1,BACK_UP,MOVING,NORMAL
16,1.76,2026-05-27 17:11:57,-0.17,0.01,9.40,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
17,1.86,2026-05-27 17:11:57,-0.15,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
18,1.96,2026-05-27 17:11:57,-0.14,0.02,9.40,9.41,0.8,0.1,BACK_UP,MOVING,NORMAL
19,2.06,2026-05-27 17:11:58,-0.14,0.00,9.40,9.40,0.9,0.0,BACK_UP,MOVING,NORMAL
20,2.16,2026-05-27 17:11:58,-0.14,0.01,9.42,9.42,0.8,0.1,BACK_UP,MOVING,NORMAL
21,2.26,2026-05-27 17:11:58,-0.15,0.02,9.39,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
22,2.36,2026-05-27 17:11:58,-0.16,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
23,2.46,2026-05-27 17:11:58,-0.14,0.01,9.40,9.40,0.8,0.1,BACK_UP,MOVING,NORMAL
24,2.56,2026-05-27 17:11:58,-0.12,0.03,9.42,9.42,0.8,0.2,BACK_UP,MOVING,NORMAL
25,2.66,2026-05-27 17:11:58,-0.15,0.02,9.37,9.37,0.9,0.1,BACK_UP,MOVING,NORMAL
26,2.76,2026-05-27 17:11:58,-0.14,0.01,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
27,2.86,2026-05-27 17:11:58,-0.13,0.02,9.40,9.40,0.8,0.1,BACK_UP,MOVING,NORMAL
28,2.96,2026-05-27 17:11:58,-0.14,0.02,9.38,9.38,0.9,0.1,BACK_UP,MOVING,NORMAL
29,3.06,2026-05-27 17:11:59,-0.14,0.02,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
30,3.32,2026-05-27 17:11:59,-0.13,0.03,9.42,9.42,0.8,0.2,BACK_UP,MOVING,NORMAL
31,3.42,2026-05-27 17:11:59,-0.15,-0.01,9.41,9.41,0.9,-0.1,BACK_UP,MOVING,NORMAL
32,3.52,2026-05-27 17:11:59,-0.15,0.04,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
33,3.62,2026-05-27 17:11:59,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
34,3.72,2026-05-27 17:11:59,-0.15,0.01,9.39,9.39,0.9,0.1,BACK_UP,MOVING,NORMAL
35,3.82,2026-05-27 17:11:59,-0.13,0.01,9.39,9.40,0.8,0.0,BACK_UP,MOVING,NORMAL
36,3.92,2026-05-27 17:11:59,-0.17,0.03,9.39,9.39,1.0,0.2,BACK_UP,MOVING,NORMAL
37,4.02,2026-05-27 17:12:00,-0.12,0.02,9.40,9.40,0.7,0.1,BACK_UP,MOVING,NORMAL
38,4.12,2026-05-27 17:12:00,-0.13,0.02,9.40,9.40,0.8,0.1,BACK_UP,MOVING,NORMAL
39,4.22,2026-05-27 17:12:00,-0.14,0.03,9.40,9.40,0.8,0.2,BACK_UP,MOVING,NORMAL
40,4.32,2026-05-27 17:12:00,-0.16,0.02,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
41,4.42,2026-05-27 17:12:00,-0.12,0.02,9.40,9.41,0.7,0.1,BACK_UP,MOVING,NORMAL
42,4.52,2026-05-27 17:12:00,-0.17,0.01,9.40,9.40,1.0,0.0,BACK_UP,MOVING,NORMAL
43,4.62,2026-05-27 17:12:00,-0.12,0.03,9.39,9.39,0.8,0.2,BACK_UP,MOVING,NORMAL
44,4.72,2026-05-27 17:12:00,-0.17,0.01,9.37,9.37,1.1,0.1,BACK_UP,MOVING,NORMAL
45,4.82,2026-05-27 17:12:00,-0.11,0.02,9.39,9.39,0.7,0.1,BACK_UP,MOVING,NORMAL
46,4.92,2026-05-27 17:12:00,-0.16,0.04,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
47,5.02,2026-05-27 17:12:01,-0.12,0.01,9.44,9.44,0.7,0.1,BACK_UP,MOVING,NORMAL
48,5.12,2026-05-27 17:12:01,-0.16,-0.00,9.40,9.40,1.0,-0.0,BACK_UP,MOVING,NORMAL
49,5.22,2026-05-27 17:12:01,-0.12,0.03,9.39,9.39,0.7,0.2,BACK_UP,MOVING,NORMAL
50,5.32,2026-05-27 17:12:01,-0.12,0.04,9.42,9.42,0.7,0.2,BACK_UP,MOVING,NORMAL
51,5.42,2026-05-27 17:12:01,-0.15,0.00,9.41,9.41,0.9,0.0,BACK_UP,MOVING,NORMAL
52,5.52,2026-05-27 17:12:01,-0.11,0.03,9.41,9.41,0.7,0.2,BACK_UP,MOVING,NORMAL
53,5.62,2026-05-27 17:12:01,-0.16,0.03,9.41,9.42,1.0,0.2,BACK_UP,MOVING,NORMAL
54,5.72,2026-05-27 17:12:01,-0.16,0.02,9.41,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
55,5.82,2026-05-27 17:12:01,-0.17,0.02,9.39,9.39,1.0,0.1,BACK_UP,MOVING,NORMAL
56,5.92,2026-05-27 17:12:01,-0.14,0.02,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
57,6.02,2026-05-27 17:12:02,-0.11,0.00,9.42,9.42,0.7,0.0,BACK_UP,MOVING,NORMAL
58,6.12,2026-05-27 17:12:02,-0.16,0.01,9.39,9.39,0.9,0.1,BACK_UP,MOVING,NORMAL
59,6.39,2026-05-27 17:12:02,-0.18,0.06,9.40,9.40,1.1,0.4,BACK_UP,MOVING,NORMAL
60,6.49,2026-05-27 17:12:02,-0.10,0.02,9.42,9.42,0.6,0.1,BACK_UP,MOVING,NORMAL
61,6.59,2026-05-27 17:12:02,-0.17,0.05,9.41,9.41,1.0,0.3,BACK_UP,MOVING,NORMAL
62,6.69,2026-05-27 17:12:02,-0.15,0.01,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
63,6.79,2026-05-27 17:12:02,-0.14,0.01,9.44,9.44,0.8,0.1,BACK_UP,MOVING,NORMAL
64,6.89,2026-05-27 17:12:02,-0.15,0.04,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
65,6.99,2026-05-27 17:12:02,-0.11,0.02,9.40,9.40,0.7,0.1,BACK_UP,MOVING,NORMAL
66,7.09,2026-05-27 17:12:03,-0.19,0.05,9.39,9.39,1.2,0.3,BACK_UP,MOVING,NORMAL
67,7.19,2026-05-27 17:12:03,-0.11,-0.00,9.40,9.40,0.7,-0.0,BACK_UP,MOVING,NORMAL
68,7.29,2026-05-27 17:12:03,-0.17,0.02,9.38,9.38,1.1,0.1,BACK_UP,MOVING,NORMAL
69,7.39,2026-05-27 17:12:03,-0.11,0.03,9.43,9.43,0.6,0.2,BACK_UP,MOVING,NORMAL
70,7.49,2026-05-27 17:12:03,-0.17,-0.00,9.40,9.40,1.0,-0.0,BACK_UP,MOVING,NORMAL
71,7.59,2026-05-27 17:12:03,-0.09,0.02,9.39,9.39,0.6,0.1,BACK_UP,MOVING,NORMAL
72,7.69,2026-05-27 17:12:03,-0.25,0.02,9.45,9.45,1.5,0.1,BACK_UP,MOVING,NORMAL
73,7.79,2026-05-27 17:12:03,-0.10,0.02,9.42,9.42,0.6,0.1,BACK_UP,MOVING,NORMAL
74,7.89,2026-05-27 17:12:03,-0.17,0.06,9.41,9.41,1.0,0.4,BACK_UP,MOVING,NORMAL
75,7.99,2026-05-27 17:12:03,-0.14,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
76,8.09,2026-05-27 17:12:04,-0.14,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
77,8.19,2026-05-27 17:12:04,-0.16,0.02,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
78,8.29,2026-05-27 17:12:04,-0.10,0.04,9.44,9.44,0.6,0.2,BACK_UP,MOVING,NORMAL
79,8.39,2026-05-27 17:12:04,-0.18,0.01,9.39,9.39,1.1,0.1,BACK_UP,MOVING,NORMAL
80,8.49,2026-05-27 17:12:04,-0.12,0.00,9.41,9.41,0.7,0.0,BACK_UP,MOVING,NORMAL
81,8.59,2026-05-27 17:12:04,-0.18,0.01,9.40,9.41,1.1,0.1,BACK_UP,MOVING,NORMAL
82,8.69,2026-05-27 17:12:04,-0.13,0.04,9.42,9.42,0.8,0.3,BACK_UP,MOVING,NORMAL
83,8.79,2026-05-27 17:12:04,-0.15,0.02,9.45,9.45,0.9,0.1,BACK_UP,MOVING,NORMAL
84,8.89,2026-05-27 17:12:04,-0.15,0.02,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
85,8.99,2026-05-27 17:12:04,-0.13,0.01,9.43,9.43,0.8,0.1,BACK_UP,MOVING,NORMAL
86,9.09,2026-05-27 17:12:05,-0.15,0.01,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
