#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,viito2
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 17:20:19
#file_id,/SS000023.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.28,2026-05-27 17:20:19,-0.17,0.03,9.45,9.45,1.1,0.2,BACK_UP,MOVING,NORMAL
2,0.38,2026-05-27 17:20:19,-0.16,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
3,0.48,2026-05-27 17:20:19,-0.15,0.02,9.44,9.44,0.9,0.1,BACK_UP,MOVING,NORMAL
4,0.58,2026-05-27 17:20:19,-0.14,0.03,9.45,9.45,0.9,0.2,BACK_UP,MOVING,NORMAL
5,0.68,2026-05-27 17:20:19,-0.14,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
6,0.78,2026-05-27 17:20:19,-0.16,0.03,9.42,9.42,1.0,0.2,BACK_UP,MOVING,NORMAL
7,0.88,2026-05-27 17:20:19,-0.16,0.03,9.44,9.44,1.0,0.2,BACK_UP,MOVING,NORMAL
8,0.98,2026-05-27 17:20:19,-0.15,0.02,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
9,1.08,2026-05-27 17:20:20,-0.16,0.03,9.45,9.45,1.0,0.2,BACK_UP,MOVING,NORMAL
10,1.18,2026-05-27 17:20:20,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
11,1.28,2026-05-27 17:20:20,-0.15,0.03,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
12,1.38,2026-05-27 17:20:20,-0.15,0.04,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
13,1.48,2026-05-27 17:20:20,-0.16,0.03,9.39,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
14,1.58,2026-05-27 17:20:20,-0.16,0.02,9.40,9.40,1.0,0.1,BACK_UP,MOVING,NORMAL
15,1.68,2026-05-27 17:20:20,-0.17,0.02,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
16,1.78,2026-05-27 17:20:20,-0.14,0.01,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
17,1.88,2026-05-27 17:20:20,-0.15,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
18,1.98,2026-05-27 17:20:20,-0.16,0.04,9.39,9.39,1.0,0.2,BACK_UP,MOVING,NORMAL
19,2.08,2026-05-27 17:20:21,-0.14,0.03,9.43,9.43,0.8,0.2,BACK_UP,MOVING,NORMAL
20,2.18,2026-05-27 17:20:21,-0.15,0.02,9.43,9.43,0.9,0.1,BACK_UP,MOVING,NORMAL
21,2.28,2026-05-27 17:20:21,-0.17,0.02,9.40,9.40,1.0,0.1,BACK_UP,MOVING,NORMAL
22,2.38,2026-05-27 17:20:21,-0.15,0.04,9.39,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
23,2.48,2026-05-27 17:20:21,-0.16,0.04,9.40,9.41,1.0,0.2,BACK_UP,MOVING,NORMAL
24,2.58,2026-05-27 17:20:21,-0.17,0.00,9.42,9.42,1.0,0.0,BACK_UP,MOVING,NORMAL
25,2.68,2026-05-27 17:20:21,-0.16,0.02,9.43,9.43,1.0,0.1,BACK_UP,MOVING,NORMAL
26,2.78,2026-05-27 17:20:21,-0.17,0.05,9.39,9.39,1.0,0.3,BACK_UP,MOVING,NORMAL
27,2.88,2026-05-27 17:20:21,-0.16,0.01,9.42,9.42,1.0,0.1,BACK_UP,MOVING,NORMAL
28,2.98,2026-05-27 17:20:21,-0.15,0.01,9.41,9.41,0.9,0.1,BACK_UP,MOVING,NORMAL
29,3.08,2026-05-27 17:20:22,-0.16,0.03,9.41,9.41,1.0,0.2,BACK_UP,MOVING,NORMAL
30,3.34,2026-05-27 17:20:22,-0.16,0.04,9.37,9.37,1.0,0.3,BACK_UP,MOVING,NORMAL
31,3.44,2026-05-27 17:20:22,-0.16,0.02,9.43,9.43,1.0,0.1,BACK_UP,MOVING,NORMAL
32,3.54,2026-05-27 17:20:22,-0.17,0.02,9.39,9.39,1.1,0.1,BACK_UP,MOVING,NORMAL
33,3.64,2026-05-27 17:20:22,-0.15,0.02,9.39,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
34,3.74,2026-05-27 17:20:22,-0.16,0.02,9.42,9.42,1.0,0.1,BACK_UP,MOVING,NORMAL
35,3.84,2026-05-27 17:20:22,-0.17,0.02,9.40,9.40,1.0,0.1,BACK_UP,MOVING,NORMAL
36,3.94,2026-05-27 17:20:22,-0.17,0.02,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
37,4.04,2026-05-27 17:20:23,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
38,4.14,2026-05-27 17:20:23,-0.13,0.05,9.42,9.42,0.8,0.3,BACK_UP,MOVING,NORMAL
39,4.24,2026-05-27 17:20:23,-0.16,0.03,9.42,9.42,1.0,0.2,BACK_UP,MOVING,NORMAL
40,4.34,2026-05-27 17:20:23,-0.16,0.03,9.42,9.42,1.0,0.2,BACK_UP,MOVING,NORMAL
41,4.44,2026-05-27 17:20:23,-0.16,0.03,9.42,9.42,1.0,0.2,BACK_UP,MOVING,NORMAL
42,4.54,2026-05-27 17:20:23,-0.14,0.03,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
43,4.64,2026-05-27 17:20:23,-0.15,0.04,9.43,9.43,0.9,0.2,BACK_UP,MOVING,NORMAL
44,4.74,2026-05-27 17:20:23,-0.16,0.02,9.43,9.43,1.0,0.1,BACK_UP,MOVING,NORMAL
45,4.84,2026-05-27 17:20:23,-0.15,0.02,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
46,4.94,2026-05-27 17:20:23,-0.14,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
47,5.04,2026-05-27 17:20:24,-0.17,0.00,9.39,9.39,1.0,0.0,BACK_UP,MOVING,NORMAL
48,5.14,2026-05-27 17:20:24,-0.17,0.03,9.42,9.43,1.0,0.2,BACK_UP,MOVING,NORMAL
49,5.24,2026-05-27 17:20:24,-0.15,0.04,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
50,5.34,2026-05-27 17:20:24,-0.17,0.02,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
51,5.44,2026-05-27 17:20:24,-0.15,0.04,9.41,9.41,0.9,0.3,BACK_UP,MOVING,NORMAL
52,5.54,2026-05-27 17:20:24,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
53,5.64,2026-05-27 17:20:24,-0.16,0.02,9.45,9.45,1.0,0.1,BACK_UP,MOVING,NORMAL
54,5.74,2026-05-27 17:20:24,-0.17,0.04,9.42,9.43,1.0,0.2,BACK_UP,MOVING,NORMAL
55,5.84,2026-05-27 17:20:24,-0.16,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
56,5.94,2026-05-27 17:20:24,-0.15,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
57,6.04,2026-05-27 17:20:25,-0.16,0.04,9.43,9.43,1.0,0.2,BACK_UP,MOVING,NORMAL
58,6.14,2026-05-27 17:20:25,-0.15,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
59,6.41,2026-05-27 17:20:25,-0.12,0.02,9.39,9.40,0.8,0.1,BACK_UP,MOVING,NORMAL
60,6.51,2026-05-27 17:20:25,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
61,6.61,2026-05-27 17:20:25,-0.15,0.04,9.42,9.42,0.9,0.3,BACK_UP,MOVING,NORMAL
62,6.71,2026-05-27 17:20:25,-0.16,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
63,6.81,2026-05-27 17:20:25,-0.15,0.01,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
64,6.91,2026-05-27 17:20:25,-0.14,0.04,9.41,9.41,0.8,0.3,BACK_UP,MOVING,NORMAL
65,7.01,2026-05-27 17:20:26,-0.15,0.03,9.41,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
66,7.11,2026-05-27 17:20:26,-0.14,0.02,9.41,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
67,7.21,2026-05-27 17:20:26,-0.13,0.02,9.43,9.43,0.8,0.1,BACK_UP,MOVING,NORMAL
68,7.31,2026-05-27 17:20:26,-0.15,0.01,9.41,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
69,7.41,2026-05-27 17:20:26,-0.16,0.04,9.40,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
70,7.51,2026-05-27 17:20:26,-0.17,1.22,-0.62,1.38,6.9,116.8,NO_SENSOR,MOVING,NORMAL
71,7.61,2026-05-27 17:20:26,-0.15,0.03,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
72,7.71,2026-05-27 17:20:26,-0.16,0.02,9.40,9.40,0.9,0.1,BACK_UP,MOVING,NORMAL
73,7.81,2026-05-27 17:20:26,-0.15,0.02,9.42,9.42,0.9,0.1,BACK_UP,MOVING,NORMAL
74,7.91,2026-05-27 17:20:26,-0.15,0.03,9.42,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
75,8.01,2026-05-27 17:20:27,-0.17,0.03,9.44,9.44,1.1,0.2,BACK_UP,MOVING,NORMAL
76,8.11,2026-05-27 17:20:27,-0.17,0.03,9.42,9.43,1.0,0.2,BACK_UP,MOVING,NORMAL
77,8.21,2026-05-27 17:20:27,-0.15,0.04,9.40,9.40,0.9,0.2,BACK_UP,MOVING,NORMAL
78,8.31,2026-05-27 17:20:27,-0.18,0.03,9.43,9.43,1.1,0.2,BACK_UP,MOVING,NORMAL
79,8.41,2026-05-27 17:20:27,-0.15,0.03,9.41,9.41,0.9,0.2,BACK_UP,MOVING,NORMAL
80,8.51,2026-05-27 17:20:27,-0.16,0.01,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
81,8.61,2026-05-27 17:20:27,-0.15,0.04,9.43,9.43,0.9,0.2,BACK_UP,MOVING,NORMAL
82,8.71,2026-05-27 17:20:27,-0.16,0.02,9.42,9.42,1.0,0.1,BACK_UP,MOVING,NORMAL
83,8.81,2026-05-27 17:20:27,-0.15,0.02,9.43,9.43,0.9,0.1,BACK_UP,MOVING,NORMAL
84,8.91,2026-05-27 17:20:27,-0.16,0.02,9.42,9.43,1.0,0.1,BACK_UP,MOVING,NORMAL
85,9.01,2026-05-27 17:20:28,-0.15,0.03,9.46,9.46,0.9,0.2,BACK_UP,MOVING,NORMAL
86,9.11,2026-05-27 17:20:28,-0.16,0.03,9.41,9.41,1.0,0.2,BACK_UP,MOVING,NORMAL
87,9.21,2026-05-27 17:20:28,-0.16,0.02,9.41,9.41,1.0,0.1,BACK_UP,MOVING,NORMAL
88,9.48,2026-05-27 17:20:28,-0.15,0.03,9.41,9.42,0.9,0.2,BACK_UP,MOVING,NORMAL
