#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-034
#user,sali a caminar
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 09:41:51
#file_id,/SS000016.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.27,2026-05-27 09:41:51,-2.94,-9.30,-0.67,9.78,17.5,-94.1,BACKWARD_TILT,NO_ADVANCE,NORMAL
2,0.37,2026-05-27 09:41:51,-2.95,-9.33,-0.73,9.81,17.5,-94.5,BACKWARD_TILT,NO_ADVANCE,NORMAL
3,0.47,2026-05-27 09:41:51,-2.95,-9.32,-0.75,9.80,17.5,-94.6,BACKWARD_TILT,NO_ADVANCE,NORMAL
4,0.57,2026-05-27 09:41:51,-2.99,-9.28,-0.74,9.77,17.8,-94.6,BACKWARD_TILT,NO_ADVANCE,NORMAL
5,0.67,2026-05-27 09:41:51,-5.80,-18.71,-1.47,19.65,17.2,-94.5,BACKWARD_TILT,MOVING,NORMAL
6,0.77,2026-05-27 09:41:51,-3.03,-9.31,-0.73,9.82,18.0,-94.5,BACKWARD_TILT,MOVING,NORMAL
7,0.87,2026-05-27 09:41:51,-2.94,-9.34,-0.69,9.81,17.4,-94.2,BACKWARD_TILT,MOVING,NORMAL
8,0.97,2026-05-27 09:41:51,-3.05,-9.32,-0.75,9.84,18.1,-94.6,BACKWARD_TILT,MOVING,NORMAL
9,1.07,2026-05-27 09:41:52,-3.10,-9.34,-0.72,9.86,18.3,-94.4,BACKWARD_TILT,MOVING,NORMAL
10,1.24,2026-05-27 09:41:52,-2.97,-9.31,-0.73,9.80,17.7,-94.5,BACKWARD_TILT,MOVING,NORMAL
11,1.34,2026-05-27 09:41:52,-3.05,-9.29,-0.71,9.80,18.1,-94.4,BACKWARD_TILT,MOVING,NORMAL
12,1.44,2026-05-27 09:41:52,-2.95,-9.33,-0.59,9.80,17.5,-93.6,BACKWARD_TILT,MOVING,NORMAL
13,1.54,2026-05-27 09:41:52,-2.87,-9.34,-0.61,9.79,17.0,-93.7,BACKWARD_TILT,MOVING,NORMAL
14,1.64,2026-05-27 09:41:52,-2.91,-9.37,-0.45,9.82,17.3,-92.8,BACKWARD_TILT,MOVING,NORMAL
15,1.74,2026-05-27 09:41:52,-2.97,-9.33,0.42,9.80,17.7,-87.4,BACKWARD_TILT,MOVING,NORMAL
16,1.84,2026-05-27 09:41:52,-3.19,-10.07,1.21,10.63,17.5,-83.1,BACKWARD_TILT,MOVING,NORMAL
17,1.94,2026-05-27 09:41:52,-2.03,-10.21,1.94,10.59,11.1,-79.2,BACKWARD_TILT,MOVING,NORMAL
18,2.04,2026-05-27 09:41:53,-0.49,-9.14,0.81,9.19,3.1,-85.0,BACKWARD_TILT,MOVING,NORMAL
19,2.14,2026-05-27 09:41:53,-0.60,-8.48,1.27,8.59,4.0,-81.5,BACKWARD_TILT,MOVING,NORMAL
20,2.30,2026-05-27 09:41:53,-0.93,-9.45,1.70,9.65,5.5,-79.8,BACKWARD_TILT,MOVING,NORMAL
21,2.40,2026-05-27 09:41:53,-1.15,-9.92,2.73,10.36,6.4,-74.6,BACKWARD_TILT,MOVING,NORMAL
22,2.50,2026-05-27 09:41:53,-1.14,-10.15,2.86,10.60,6.2,-74.3,BACKWARD_TILT,MOVING,NORMAL
23,2.60,2026-05-27 09:41:53,-2.42,-10.03,0.53,10.34,13.5,-87.0,BACKWARD_TILT,MOVING,NORMAL
24,2.70,2026-05-27 09:41:53,-2.26,-9.31,-0.52,9.60,13.7,-93.2,BACKWARD_TILT,MOVING,NORMAL
25,2.80,2026-05-27 09:41:53,-3.65,-8.85,-0.66,9.59,22.4,-94.3,BACKWARD_TILT,MOVING,NORMAL
26,2.90,2026-05-27 09:41:53,-2.50,-9.61,-0.73,9.95,14.5,-94.3,BACKWARD_TILT,MOVING,NORMAL
27,3.00,2026-05-27 09:41:53,-1.63,-9.73,-1.43,9.97,9.4,-98.4,BACKWARD_TILT,MOVING,NORMAL
28,3.10,2026-05-27 09:41:54,-2.99,-9.45,-1.50,10.03,17.3,-99.0,BACKWARD_TILT,MOVING,NORMAL
29,3.20,2026-05-27 09:41:54,-2.99,-9.21,-0.28,9.69,18.0,-91.8,BACKWARD_TILT,MOVING,NORMAL
30,3.37,2026-05-27 09:41:54,-2.74,-9.18,-0.90,9.63,16.5,-95.6,BACKWARD_TILT,MOVING,NORMAL
31,3.47,2026-05-27 09:41:54,-3.27,-9.41,-0.58,9.98,19.1,-93.5,BACKWARD_TILT,MOVING,NORMAL
32,3.57,2026-05-27 09:41:54,-2.49,-11.18,-0.72,11.47,12.6,-93.7,BACKWARD_TILT,MOVING,NORMAL
33,3.67,2026-05-27 09:41:54,-4.50,-8.64,0.64,9.76,27.4,-85.8,BACKWARD_TILT,MOVING,NORMAL
34,3.77,2026-05-27 09:41:54,-4.02,-9.01,-1.39,9.96,23.8,-98.7,BACKWARD_TILT,MOVING,NORMAL
35,3.87,2026-05-27 09:41:54,-2.86,-8.64,0.93,9.14,18.2,-83.9,BACKWARD_TILT,MOVING,NORMAL
36,3.97,2026-05-27 09:41:54,-2.67,-8.93,0.04,9.32,16.6,-89.8,BACKWARD_TILT,MOVING,NORMAL
37,4.07,2026-05-27 09:41:55,-2.55,-9.30,1.01,9.70,15.2,-83.8,BACKWARD_TILT,MOVING,NORMAL
38,4.17,2026-05-27 09:41:55,-4.61,-11.06,-1.29,12.05,22.5,-96.6,BACKWARD_TILT,MOVING,NORMAL
39,4.27,2026-05-27 09:41:55,-2.28,-9.45,-0.20,9.73,13.6,-91.2,BACKWARD_TILT,MOVING,NORMAL
40,4.44,2026-05-27 09:41:55,-3.26,-8.87,-0.30,9.45,20.2,-91.9,BACKWARD_TILT,MOVING,NORMAL
41,4.54,2026-05-27 09:41:55,-2.84,-9.49,-0.17,9.91,16.7,-91.0,BACKWARD_TILT,MOVING,NORMAL
42,4.63,2026-05-27 09:41:55,-2.55,-9.50,-0.66,9.86,15.0,-94.0,BACKWARD_TILT,MOVING,NORMAL
43,4.74,2026-05-27 09:41:55,-2.74,-9.52,-0.47,9.92,16.1,-92.8,BACKWARD_TILT,MOVING,NORMAL
44,4.83,2026-05-27 09:41:55,-2.48,-9.50,-0.55,9.83,14.6,-93.3,BACKWARD_TILT,MOVING,NORMAL
45,4.93,2026-05-27 09:41:55,-3.01,-9.42,-0.62,9.91,17.7,-93.7,BACKWARD_TILT,MOVING,NORMAL
46,5.04,2026-05-27 09:41:56,-3.10,-9.17,-0.34,9.69,18.7,-92.2,BACKWARD_TILT,MOVING,NORMAL
47,5.13,2026-05-27 09:41:56,-3.48,-9.20,-0.46,9.85,20.7,-92.9,BACKWARD_TILT,MOVING,NORMAL
48,5.24,2026-05-27 09:41:56,-3.14,-9.18,-0.44,9.71,18.9,-92.7,BACKWARD_TILT,MOVING,NORMAL
49,5.33,2026-05-27 09:41:56,-3.27,-9.12,0.47,9.70,19.7,-87.0,BACKWARD_TILT,MOVING,NORMAL
50,5.51,2026-05-27 09:41:56,-3.07,-9.20,0.70,9.73,18.4,-85.7,BACKWARD_TILT,MOVING,NORMAL
51,5.61,2026-05-27 09:41:56,-2.83,-9.13,0.93,9.60,17.2,-84.2,BACKWARD_TILT,MOVING,NORMAL
52,5.70,2026-05-27 09:41:56,-2.86,-8.99,0.94,9.48,17.5,-84.1,BACKWARD_TILT,MOVING,NORMAL
53,5.80,2026-05-27 09:41:56,-3.09,-9.08,1.30,9.68,18.6,-81.9,BACKWARD_TILT,MOVING,NORMAL
54,5.91,2026-05-27 09:41:56,-2.99,-9.14,0.98,9.66,18.0,-83.9,BACKWARD_TILT,MOVING,NORMAL
55,6.00,2026-05-27 09:41:57,-2.73,-9.27,0.75,9.69,16.4,-85.4,BACKWARD_TILT,MOVING,NORMAL
56,6.11,2026-05-27 09:41:57,-3.19,-9.17,0.35,9.71,19.2,-87.8,BACKWARD_TILT,MOVING,NORMAL
57,6.20,2026-05-27 09:41:57,-3.67,-9.00,0.51,9.73,22.2,-86.7,BACKWARD_TILT,MOVING,NORMAL
58,6.30,2026-05-27 09:41:57,-4.28,-8.94,0.75,9.94,25.5,-85.2,BACKWARD_TILT,MOVING,NORMAL
59,6.41,2026-05-27 09:41:57,-3.22,-9.13,-0.16,9.68,19.4,-91.0,BACKWARD_TILT,MOVING,NORMAL
60,6.59,2026-05-27 09:41:57,-2.63,-9.29,0.68,9.68,15.8,-85.8,BACKWARD_TILT,MOVING,NORMAL
61,6.69,2026-05-27 09:41:57,-2.42,-9.39,0.19,9.70,14.4,-88.8,BACKWARD_TILT,MOVING,NORMAL
62,6.79,2026-05-27 09:41:57,-3.21,-9.24,0.33,9.79,19.1,-87.9,BACKWARD_TILT,MOVING,NORMAL
63,6.89,2026-05-27 09:41:57,-3.43,-9.15,0.27,9.77,20.5,-88.3,BACKWARD_TILT,MOVING,NORMAL
64,6.99,2026-05-27 09:41:57,-3.68,-9.73,0.53,10.42,20.7,-86.9,BACKWARD_TILT,MOVING,NORMAL
65,7.09,2026-05-27 09:41:58,-1.64,-9.81,0.42,9.95,9.5,-87.5,BACKWARD_TILT,MOVING,NORMAL
66,7.19,2026-05-27 09:41:58,-5.59,-8.27,0.40,9.99,34.0,-87.2,BACKWARD_TILT,MOVING,NORMAL
67,7.29,2026-05-27 09:41:58,-1.88,-9.25,0.75,9.47,11.5,-85.3,BACKWARD_TILT,MOVING,NORMAL
68,7.39,2026-05-27 09:41:58,-2.61,-9.42,1.86,9.95,15.2,-78.9,BACKWARD_TILT,MOVING,NORMAL
69,7.49,2026-05-27 09:41:58,-5.35,-8.02,-1.23,9.72,33.4,-98.7,BACKWARD_TILT,MOVING,NORMAL
70,7.67,2026-05-27 09:41:58,-0.13,-10.86,-0.84,10.90,0.7,-94.4,BACKWARD_TILT,MOVING,NORMAL
71,7.77,2026-05-27 09:41:58,-3.40,-9.61,-1.86,10.36,19.1,-100.9,BACKWARD_TILT,LOW_MOTION,NORMAL
72,7.87,2026-05-27 09:41:58,-0.79,-9.38,-2.58,9.76,4.7,-105.4,BACKWARD_TILT,LOW_MOTION,NORMAL
73,7.97,2026-05-27 09:41:58,-1.69,-10.17,-1.42,10.41,9.4,-98.0,BACKWARD_TILT,LOW_MOTION,NORMAL
74,8.07,2026-05-27 09:41:59,-5.59,-8.58,-0.06,10.24,33.1,-90.4,BACKWARD_TILT,MOVING,NORMAL
75,8.17,2026-05-27 09:41:59,-5.65,-7.92,-0.08,9.72,35.5,-90.6,BACKWARD_TILT,MOVING,NORMAL
76,8.27,2026-05-27 09:41:59,-5.02,-8.44,0.67,9.85,30.6,-85.5,BACKWARD_TILT,MOVING,NORMAL
77,8.37,2026-05-27 09:41:59,-6.92,-8.07,0.59,10.65,40.6,-85.8,BACKWARD_TILT,MOVING,NORMAL
78,8.47,2026-05-27 09:41:59,-6.81,-8.21,0.48,10.68,39.6,-86.6,BACKWARD_TILT,MOVING,NORMAL
79,8.57,2026-05-27 09:41:59,-5.78,-6.88,-0.13,8.99,40.0,-91.1,BACKWARD_TILT,MOVING,NORMAL
80,8.74,2026-05-27 09:41:59,-5.13,-7.47,-0.22,9.06,34.5,-91.7,BACKWARD_TILT,MOVING,NORMAL
81,8.84,2026-05-27 09:41:59,-5.86,-7.36,0.05,9.41,38.5,-89.6,BACKWARD_TILT,MOVING,NORMAL
82,8.94,2026-05-27 09:41:59,-5.61,-7.52,0.18,9.39,36.7,-88.6,BACKWARD_TILT,MOVING,NORMAL
83,9.04,2026-05-27 09:42:00,-5.02,-8.41,0.80,9.82,30.7,-84.6,BACKWARD_TILT,MOVING,NORMAL
84,9.14,2026-05-27 09:42:00,-5.38,-7.80,0.64,9.49,34.5,-85.3,BACKWARD_TILT,MOVING,NORMAL
85,9.24,2026-05-27 09:42:00,-5.20,-7.53,0.39,9.15,34.6,-87.0,BACKWARD_TILT,MOVING,NORMAL
86,9.34,2026-05-27 09:42:00,-5.49,-7.60,0.42,9.39,35.8,-86.8,BACKWARD_TILT,MOVING,NORMAL
87,9.44,2026-05-27 09:42:00,-5.84,-7.43,-0.11,9.46,38.2,-90.8,BACKWARD_TILT,MOVING,NORMAL
88,9.54,2026-05-27 09:42:00,-6.04,-8.16,0.10,10.15,36.5,-89.3,BACKWARD_TILT,MOVING,NORMAL
89,9.64,2026-05-27 09:42:00,-5.34,-6.89,0.21,8.71,37.8,-88.3,BACKWARD_TILT,MOVING,NORMAL
90,9.87,2026-05-27 09:42:00,-5.75,-7.81,0.74,9.72,36.2,-84.6,BACKWARD_TILT,MOVING,NORMAL
91,9.97,2026-05-27 09:42:00,-5.83,-7.71,0.75,9.70,37.0,-84.4,BACKWARD_TILT,MOVING,NORMAL
92,10.07,2026-05-27 09:42:01,-5.21,-7.54,0.86,9.21,34.4,-83.5,BACKWARD_TILT,MOVING,NORMAL
93,10.17,2026-05-27 09:42:01,-4.22,-8.35,1.19,9.43,26.6,-81.9,BACKWARD_TILT,MOVING,NORMAL
94,10.27,2026-05-27 09:42:01,-4.20,-11.16,4.32,12.68,19.4,-68.8,BACKWARD_TILT,MOVING,NORMAL
95,10.37,2026-05-27 09:42:01,-5.64,-6.71,1.62,8.92,39.3,-76.4,BACKWARD_TILT,MOVING,NORMAL
96,10.47,2026-05-27 09:42:01,0.88,-10.64,-2.87,11.05,-4.6,-105.1,BACKWARD_TILT,MOVING,NORMAL
97,10.57,2026-05-27 09:42:01,-3.07,-10.11,-0.27,10.57,16.9,-91.5,BACKWARD_TILT,MOVING,NORMAL
98,10.67,2026-05-27 09:42:01,-2.04,-9.36,-1.31,9.67,12.2,-98.0,BACKWARD_TILT,MOVING,NORMAL
99,10.83,2026-05-27 09:42:01,-2.49,-10.18,-0.10,10.48,13.8,-90.6,BACKWARD_TILT,MOVING,NORMAL
100,10.93,2026-05-27 09:42:01,-2.38,-9.27,-0.20,9.57,14.4,-91.2,BACKWARD_TILT,MOVING,NORMAL
101,11.03,2026-05-27 09:42:02,-2.35,-9.01,-1.26,9.39,14.5,-98.0,BACKWARD_TILT,MOVING,NORMAL
102,11.13,2026-05-27 09:42:02,-2.32,-9.33,-0.89,9.65,13.9,-95.4,BACKWARD_TILT,MOVING,NORMAL
103,11.23,2026-05-27 09:42:02,-3.19,-10.93,0.58,11.40,16.2,-86.9,BACKWARD_TILT,MOVING,NORMAL
104,11.33,2026-05-27 09:42:02,-3.06,-9.69,0.50,10.18,17.5,-87.0,BACKWARD_TILT,MOVING,NORMAL
105,11.43,2026-05-27 09:42:02,-4.23,-10.46,-6.22,12.88,19.2,-120.7,BACKWARD_TILT,MOVING,NORMAL
106,11.53,2026-05-27 09:42:02,-1.38,-9.90,2.25,10.25,7.8,-77.2,BACKWARD_TILT,MOVING,NORMAL
107,11.63,2026-05-27 09:42:02,-2.63,-8.88,-0.32,9.26,16.5,-92.0,BACKWARD_TILT,MOVING,NORMAL
108,11.73,2026-05-27 09:42:02,-0.48,-5.31,-2.55,5.91,4.6,-115.6,BACKWARD_TILT,MOVING,NORMAL
109,11.90,2026-05-27 09:42:02,-4.08,-7.63,-0.67,8.67,28.0,-95.0,BACKWARD_TILT,MOVING,NORMAL
110,12.00,2026-05-27 09:42:03,-2.89,-9.80,-0.96,10.26,16.3,-95.6,BACKWARD_TILT,MOVING,NORMAL
111,12.10,2026-05-27 09:42:03,-1.02,-8.05,-3.38,8.79,6.6,-112.8,BACKWARD_TILT,MOVING,NORMAL
112,12.20,2026-05-27 09:42:03,-2.43,-9.27,1.38,9.68,14.5,-81.5,BACKWARD_TILT,MOVING,NORMAL
113,12.30,2026-05-27 09:42:03,-0.80,-10.05,-3.32,10.62,4.3,-108.3,BACKWARD_TILT,MOVING,NORMAL
114,12.40,2026-05-27 09:42:03,-4.02,-9.52,-0.75,10.36,22.8,-94.5,BACKWARD_TILT,MOVING,NORMAL
115,12.50,2026-05-27 09:42:03,-1.28,-11.28,1.49,11.45,6.4,-82.5,BACKWARD_TILT,MOVING,NORMAL
116,12.60,2026-05-27 09:42:03,-0.01,-8.13,2.23,8.43,0.1,-74.6,BACKWARD_TILT,MOVING,NORMAL
117,12.70,2026-05-27 09:42:03,-2.04,-7.70,-0.91,8.01,14.7,-96.8,BACKWARD_TILT,MOVING,NORMAL
118,12.80,2026-05-27 09:42:03,-1.14,-11.62,1.98,11.84,5.5,-80.3,BACKWARD_TILT,MOVING,NORMAL
119,12.98,2026-05-27 09:42:03,-3.00,-9.49,-1.66,10.09,17.3,-99.9,BACKWARD_TILT,MOVING,NORMAL
