#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-035
#user,V35 prueba2
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 10:21:47
#file_id,/SS000018.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.29,2026-05-27 10:21:47,-0.11,-0.28,9.41,9.42,0.6,-1.7,BACK_UP,MOVING,NORMAL
2,0.39,2026-05-27 10:21:47,-0.15,-0.32,9.43,9.44,0.9,-2.0,BACK_UP,MOVING,NORMAL
3,0.49,2026-05-27 10:21:47,-0.15,-0.33,9.43,9.43,0.9,-2.0,BACK_UP,MOVING,NORMAL
4,0.58,2026-05-27 10:21:47,-0.12,-0.29,9.43,9.43,0.7,-1.7,BACK_UP,MOVING,NORMAL
5,0.69,2026-05-27 10:21:47,-0.13,-0.29,9.42,9.43,0.8,-1.8,BACK_UP,MOVING,NORMAL
6,0.79,2026-05-27 10:21:47,-0.11,-0.30,9.45,9.46,0.7,-1.8,BACK_UP,MOVING,NORMAL
7,0.89,2026-05-27 10:21:47,-0.15,-0.29,9.44,9.45,0.9,-1.8,BACK_UP,MOVING,NORMAL
8,0.99,2026-05-27 10:21:47,-0.14,-0.31,9.41,9.42,0.8,-1.9,BACK_UP,MOVING,NORMAL
9,1.08,2026-05-27 10:21:48,-0.13,-0.30,9.46,9.47,0.8,-1.8,BACK_UP,MOVING,NORMAL
10,1.23,2026-05-27 10:21:48,-0.11,-0.29,9.45,9.46,0.7,-1.8,BACK_UP,MOVING,NORMAL
11,1.33,2026-05-27 10:21:48,-0.14,-0.32,9.43,9.44,0.9,-1.9,BACK_UP,MOVING,NORMAL
12,1.43,2026-05-27 10:21:48,-0.17,-0.30,9.43,9.43,1.0,-1.8,BACK_UP,MOVING,NORMAL
13,1.53,2026-05-27 10:21:48,-0.10,-0.27,9.40,9.41,0.6,-1.6,BACK_UP,MOVING,NORMAL
14,1.63,2026-05-27 10:21:48,-0.10,-0.27,9.43,9.44,0.6,-1.6,BACK_UP,MOVING,NORMAL
15,1.73,2026-05-27 10:21:48,-0.13,-0.31,9.42,9.42,0.8,-1.9,BACK_UP,MOVING,NORMAL
16,1.83,2026-05-27 10:21:48,-0.16,-0.32,9.43,9.44,1.0,-1.9,BACK_UP,MOVING,NORMAL
17,1.93,2026-05-27 10:21:48,-0.15,-0.33,9.41,9.42,0.9,-2.0,BACK_UP,MOVING,NORMAL
18,2.03,2026-05-27 10:21:49,-0.13,-0.30,9.44,9.44,0.8,-1.8,BACK_UP,MOVING,NORMAL
19,2.13,2026-05-27 10:21:49,-0.13,-0.30,9.45,9.46,0.8,-1.8,BACK_UP,MOVING,NORMAL
20,2.31,2026-05-27 10:21:49,-0.16,-0.30,9.42,9.42,1.0,-1.8,BACK_UP,MOVING,NORMAL
21,2.41,2026-05-27 10:21:49,-0.11,-0.29,9.46,9.46,0.7,-1.8,BACK_UP,MOVING,NORMAL
22,2.51,2026-05-27 10:21:49,-0.13,-0.29,9.42,9.43,0.8,-1.8,BACK_UP,MOVING,NORMAL
23,2.61,2026-05-27 10:21:49,-0.20,-0.40,9.41,9.42,1.2,-2.4,BACK_UP,MOVING,NORMAL
24,2.71,2026-05-27 10:21:49,-0.20,-0.36,9.37,9.38,1.2,-2.2,BACK_UP,MOVING,NORMAL
25,2.81,2026-05-27 10:21:49,-0.07,-0.24,9.45,9.45,0.4,-1.5,BACK_UP,MOVING,NORMAL
26,2.91,2026-05-27 10:21:49,-0.08,-0.24,9.44,9.44,0.5,-1.5,BACK_UP,MOVING,NORMAL
27,3.01,2026-05-27 10:21:50,-0.21,-0.35,9.41,9.42,1.3,-2.1,BACK_UP,MOVING,NORMAL
28,3.11,2026-05-27 10:21:50,-0.13,-0.32,9.45,9.45,0.8,-1.9,BACK_UP,MOVING,NORMAL
29,3.21,2026-05-27 10:21:50,-0.14,-0.26,9.42,9.43,0.9,-1.6,BACK_UP,MOVING,NORMAL
30,3.37,2026-05-27 10:21:50,-0.55,-0.36,9.36,9.38,3.4,-2.2,BACK_UP,MOVING,NORMAL
31,3.47,2026-05-27 10:21:50,-1.93,-0.44,9.39,9.60,11.6,-2.7,BACK_UP,MOVING,NORMAL
32,3.57,2026-05-27 10:21:50,-1.88,-0.27,8.23,8.45,12.9,-1.8,BACK_UP,MOVING,NORMAL
33,3.67,2026-05-27 10:21:50,-1.98,-0.34,9.27,9.48,12.1,-2.1,BACK_UP,MOVING,NORMAL
34,3.77,2026-05-27 10:21:50,-2.10,-1.16,8.88,9.20,13.2,-7.4,BACK_UP,MOVING,NORMAL
35,3.87,2026-05-27 10:21:50,-1.32,-0.71,9.03,9.16,8.3,-4.5,BACK_UP,MOVING,NORMAL
36,3.97,2026-05-27 10:21:50,-0.60,-0.36,9.43,9.45,3.6,-2.2,BACK_UP,MOVING,NORMAL
37,4.07,2026-05-27 10:21:51,0.60,-0.61,9.52,9.56,-3.6,-3.7,BACK_UP,MOVING,NORMAL
38,4.17,2026-05-27 10:21:51,1.08,-0.51,9.47,9.55,-6.5,-3.1,BACK_UP,MOVING,NORMAL
39,4.27,2026-05-27 10:21:51,1.98,-0.47,9.23,9.45,-12.1,-2.9,BACK_UP,MOVING,NORMAL
40,4.42,2026-05-27 10:21:51,1.22,-0.58,9.38,9.47,-7.4,-3.5,BACK_UP,MOVING,NORMAL
41,4.52,2026-05-27 10:21:51,1.09,-0.56,9.42,9.50,-6.6,-3.4,BACK_UP,MOVING,NORMAL
42,4.62,2026-05-27 10:21:51,-0.31,-0.48,9.61,9.62,1.9,-2.9,BACK_UP,MOVING,NORMAL
43,4.72,2026-05-27 10:21:51,-1.30,-0.47,9.44,9.54,7.8,-2.8,BACK_UP,MOVING,NORMAL
44,4.82,2026-05-27 10:21:51,-2.23,-0.17,8.71,8.99,14.4,-1.1,BACK_UP,MOVING,NORMAL
45,4.92,2026-05-27 10:21:51,-3.80,-0.19,8.01,8.87,25.3,-1.4,BACK_UP,MOVING,NORMAL
46,5.02,2026-05-27 10:21:52,-4.23,-0.12,7.53,8.64,29.3,-0.9,BACK_UP,MOVING,NORMAL
47,5.12,2026-05-27 10:21:52,-4.81,-0.19,6.51,8.10,36.5,-1.7,BACK_UP,MOVING,NORMAL
48,5.22,2026-05-27 10:21:52,-4.31,-0.15,8.16,9.23,27.8,-1.0,BACK_UP,MOVING,NORMAL
49,5.32,2026-05-27 10:21:52,-3.35,-0.22,9.01,9.61,20.4,-1.4,BACK_UP,MOVING,NORMAL
50,5.49,2026-05-27 10:21:52,-1.42,-0.49,10.08,10.19,8.0,-2.8,BACK_UP,MOVING,NORMAL
51,5.59,2026-05-27 10:21:52,-0.61,-0.56,10.32,10.35,3.4,-3.1,BACK_UP,MOVING,NORMAL
52,5.69,2026-05-27 10:21:52,-0.24,-0.30,9.58,9.59,1.4,-1.8,BACK_UP,MOVING,NORMAL
53,5.79,2026-05-27 10:21:52,-0.07,-0.34,9.52,9.53,0.4,-2.1,BACK_UP,MOVING,NORMAL
54,5.89,2026-05-27 10:21:52,0.58,-0.41,9.59,9.62,-3.5,-2.5,BACK_UP,MOVING,NORMAL
55,5.99,2026-05-27 10:21:52,-0.51,0.19,9.88,9.90,2.9,1.1,BACK_UP,MOVING,NORMAL
56,6.09,2026-05-27 10:21:53,1.00,-0.44,9.69,9.75,-5.9,-2.6,BACK_UP,MOVING,NORMAL
57,6.19,2026-05-27 10:21:53,1.97,-0.46,9.17,9.40,-12.1,-2.9,BACK_UP,MOVING,NORMAL
58,6.29,2026-05-27 10:21:53,0.92,-0.43,9.35,9.40,-5.6,-2.6,BACK_UP,MOVING,NORMAL
59,6.39,2026-05-27 10:21:53,-0.28,-0.26,9.49,9.50,1.7,-1.6,BACK_UP,MOVING,NORMAL
60,6.54,2026-05-27 10:21:53,-1.31,-0.63,8.35,8.47,8.9,-4.3,BACK_UP,MOVING,NORMAL
