#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-035
#user,v35 prueba 3
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 10:30:43
#file_id,/SS000020.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.33,2026-05-27 10:30:43,-0.21,-0.32,9.41,9.41,1.3,-1.9,BACK_UP,MOVING,NORMAL
2,0.43,2026-05-27 10:30:43,-0.27,-0.30,9.40,9.41,1.7,-1.8,BACK_UP,MOVING,NORMAL
3,0.53,2026-05-27 10:30:43,-0.28,-0.33,9.41,9.42,1.7,-2.0,BACK_UP,MOVING,NORMAL
4,0.63,2026-05-27 10:30:43,-0.24,-0.29,9.42,9.43,1.4,-1.8,BACK_UP,MOVING,NORMAL
5,0.73,2026-05-27 10:30:43,-0.14,-0.31,9.42,9.43,0.8,-1.9,BACK_UP,MOVING,NORMAL
6,0.83,2026-05-27 10:30:43,-0.28,-0.31,9.42,9.43,1.7,-1.9,BACK_UP,MOVING,NORMAL
7,0.93,2026-05-27 10:30:43,-0.29,-0.30,9.41,9.42,1.8,-1.8,BACK_UP,MOVING,NORMAL
8,1.03,2026-05-27 10:30:44,-0.18,-0.32,9.42,9.42,1.1,-2.0,BACK_UP,MOVING,NORMAL
9,1.18,2026-05-27 10:30:44,-0.25,-0.32,9.40,9.41,1.5,-1.9,BACK_UP,MOVING,NORMAL
10,1.28,2026-05-27 10:30:44,-0.24,-0.31,9.42,9.43,1.5,-1.9,BACK_UP,MOVING,NORMAL
11,1.38,2026-05-27 10:30:44,-0.23,-0.33,9.43,9.43,1.4,-2.0,BACK_UP,MOVING,NORMAL
12,1.48,2026-05-27 10:30:44,-0.25,-0.30,9.39,9.39,1.5,-1.8,BACK_UP,MOVING,NORMAL
13,1.58,2026-05-27 10:30:44,-0.22,-0.30,9.41,9.42,1.4,-1.9,BACK_UP,MOVING,NORMAL
14,1.68,2026-05-27 10:30:44,-0.24,-0.29,9.41,9.42,1.5,-1.8,BACK_UP,MOVING,NORMAL
15,1.78,2026-05-27 10:30:44,-0.28,-0.31,9.41,9.42,1.7,-1.9,BACK_UP,MOVING,NORMAL
16,1.88,2026-05-27 10:30:44,-0.24,-0.33,9.42,9.43,1.5,-2.0,BACK_UP,MOVING,NORMAL
17,1.98,2026-05-27 10:30:44,-0.26,-0.28,9.44,9.44,1.6,-1.7,BACK_UP,MOVING,NORMAL
18,2.08,2026-05-27 10:30:45,-0.23,-0.31,9.39,9.40,1.4,-1.9,BACK_UP,MOVING,NORMAL
19,2.25,2026-05-27 10:30:45,-0.23,-0.29,9.42,9.43,1.4,-1.8,BACK_UP,MOVING,NORMAL
20,2.35,2026-05-27 10:30:45,-0.26,-0.37,9.42,9.43,1.6,-2.2,BACK_UP,MOVING,NORMAL
