#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-035
#user,prueba a4
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 10:36:54
#file_id,/SS000021.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.30,2026-05-27 10:36:54,-0.13,-0.28,9.43,9.44,0.8,-1.7,BACK_UP,MOVING,NORMAL
2,0.40,2026-05-27 10:36:54,-0.15,-0.27,9.44,9.45,0.9,-1.6,BACK_UP,MOVING,NORMAL
3,0.50,2026-05-27 10:36:54,-0.13,-0.30,9.40,9.41,0.8,-1.8,BACK_UP,MOVING,NORMAL
4,0.60,2026-05-27 10:36:54,-0.16,-0.28,9.41,9.42,0.9,-1.7,BACK_UP,MOVING,NORMAL
5,0.70,2026-05-27 10:36:54,-0.14,-0.30,9.43,9.43,0.8,-1.8,BACK_UP,MOVING,NORMAL
6,0.80,2026-05-27 10:36:54,-0.15,-0.33,9.45,9.46,0.9,-2.0,BACK_UP,MOVING,NORMAL
7,0.90,2026-05-27 10:36:54,-0.14,-0.31,9.38,9.38,0.9,-1.9,BACK_UP,MOVING,NORMAL
8,1.00,2026-05-27 10:36:54,-0.16,-0.30,9.46,9.47,1.0,-1.8,BACK_UP,MOVING,NORMAL
9,1.10,2026-05-27 10:36:55,-0.15,-0.25,9.46,9.46,0.9,-1.5,BACK_UP,MOVING,NORMAL
10,1.25,2026-05-27 10:36:55,-0.17,-0.15,9.38,9.38,1.1,-0.9,BACK_UP,MOVING,NORMAL
11,1.35,2026-05-27 10:36:55,-0.20,-0.23,9.38,9.38,1.2,-1.4,BACK_UP,MOVING,NORMAL
12,1.45,2026-05-27 10:36:55,0.05,0.20,9.28,9.28,-0.3,1.2,BACK_UP,MOVING,NORMAL
13,1.55,2026-05-27 10:36:55,-0.80,-0.96,9.56,9.64,4.8,-5.8,BACK_UP,MOVING,NORMAL
14,1.65,2026-05-27 10:36:55,-0.70,-0.58,9.39,9.43,4.2,-3.5,BACK_UP,MOVING,NORMAL
15,1.75,2026-05-27 10:36:55,-0.79,-0.56,9.21,9.26,4.9,-3.5,BACK_UP,MOVING,NORMAL
16,1.85,2026-05-27 10:36:55,-0.26,-0.05,8.98,8.98,1.6,-0.3,BACK_UP,MOVING,NORMAL
17,1.95,2026-05-27 10:36:55,0.69,0.63,9.48,9.52,-4.1,3.8,BACK_UP,MOVING,NORMAL
18,2.05,2026-05-27 10:36:56,-0.51,-0.44,9.23,9.26,3.2,-2.7,BACK_UP,MOVING,NORMAL
19,2.15,2026-05-27 10:36:56,-0.42,-0.26,9.52,9.53,2.5,-1.6,BACK_UP,MOVING,NORMAL
20,2.33,2026-05-27 10:36:56,-0.42,-0.35,9.41,9.42,2.6,-2.2,BACK_UP,MOVING,NORMAL
21,2.43,2026-05-27 10:36:56,-0.43,-0.33,9.15,9.17,2.7,-2.1,BACK_UP,MOVING,NORMAL
22,2.53,2026-05-27 10:36:56,-0.36,-0.28,9.40,9.41,2.2,-1.7,BACK_UP,MOVING,NORMAL
23,2.63,2026-05-27 10:36:56,-0.41,-0.34,9.39,9.41,2.5,-2.1,BACK_UP,MOVING,NORMAL
24,2.73,2026-05-27 10:36:56,-0.37,-0.31,9.40,9.41,2.3,-1.9,BACK_UP,MOVING,NORMAL
25,2.83,2026-05-27 10:36:56,-0.37,-0.30,9.43,9.44,2.3,-1.8,BACK_UP,MOVING,NORMAL
26,2.93,2026-05-27 10:36:56,-0.37,-0.32,9.39,9.41,2.3,-1.9,BACK_UP,MOVING,NORMAL
27,3.03,2026-05-27 10:36:57,-0.34,-0.32,9.43,9.44,2.0,-2.0,BACK_UP,MOVING,NORMAL
28,3.13,2026-05-27 10:36:57,-0.37,-0.32,9.41,9.42,2.3,-1.9,BACK_UP,MOVING,NORMAL
29,3.23,2026-05-27 10:36:57,-0.34,-0.31,9.41,9.42,2.1,-1.9,BACK_UP,MOVING,NORMAL
30,3.40,2026-05-27 10:36:57,-0.33,-0.29,9.36,9.37,2.0,-1.8,BACK_UP,MOVING,NORMAL
31,3.50,2026-05-27 10:36:57,-0.38,-0.33,9.39,9.41,2.3,-2.0,BACK_UP,MOVING,NORMAL
32,3.60,2026-05-27 10:36:57,-0.34,-0.31,9.37,9.38,2.1,-1.9,BACK_UP,MOVING,NORMAL
33,3.70,2026-05-27 10:36:57,-0.35,-0.33,9.43,9.44,2.1,-2.0,BACK_UP,MOVING,NORMAL
