#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,prueba
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 11:36:40
#file_id,/SS000001.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.25,2026-05-27 11:36:40,-0.28,-0.09,9.43,9.43,1.7,-0.6,BACK_UP,MOVING,NORMAL
2,0.35,2026-05-27 11:36:40,-0.29,-0.09,9.43,9.43,1.8,-0.6,BACK_UP,MOVING,NORMAL
3,0.45,2026-05-27 11:36:40,-0.26,-0.10,9.43,9.43,1.6,-0.6,BACK_UP,MOVING,NORMAL
4,0.55,2026-05-27 11:36:40,-0.27,-0.11,9.42,9.43,1.6,-0.7,BACK_UP,MOVING,NORMAL
5,0.65,2026-05-27 11:36:40,-0.27,-0.11,9.44,9.44,1.7,-0.6,BACK_UP,MOVING,NORMAL
6,0.75,2026-05-27 11:36:40,-0.28,-0.12,9.43,9.43,1.7,-0.7,BACK_UP,MOVING,NORMAL
7,0.85,2026-05-27 11:36:40,-0.26,-0.10,9.41,9.41,1.6,-0.6,BACK_UP,MOVING,NORMAL
8,0.95,2026-05-27 11:36:40,-0.29,-0.11,9.43,9.43,1.8,-0.7,BACK_UP,MOVING,NORMAL
9,1.05,2026-05-27 11:36:41,-0.29,-0.08,9.41,9.41,1.8,-0.5,BACK_UP,MOVING,NORMAL
10,1.15,2026-05-27 11:36:41,-0.28,-0.10,9.41,9.42,1.7,-0.6,BACK_UP,MOVING,NORMAL
11,1.25,2026-05-27 11:36:41,-0.29,-0.11,9.42,9.42,1.8,-0.7,BACK_UP,MOVING,NORMAL
12,1.35,2026-05-27 11:36:41,-0.27,-0.11,9.42,9.42,1.6,-0.7,BACK_UP,MOVING,NORMAL
13,1.45,2026-05-27 11:36:41,-0.27,-0.11,9.43,9.44,1.7,-0.7,BACK_UP,MOVING,NORMAL
14,1.55,2026-05-27 11:36:41,-0.29,-0.13,9.42,9.42,1.8,-0.8,BACK_UP,MOVING,NORMAL
15,1.65,2026-05-27 11:36:41,-0.29,-0.11,9.41,9.41,1.8,-0.7,BACK_UP,MOVING,NORMAL
16,1.75,2026-05-27 11:36:41,-0.26,-0.08,9.39,9.40,1.6,-0.5,BACK_UP,MOVING,NORMAL
17,1.85,2026-05-27 11:36:41,-0.30,-0.09,9.42,9.43,1.8,-0.5,BACK_UP,MOVING,NORMAL
18,1.95,2026-05-27 11:36:41,-0.28,-0.13,9.42,9.42,1.7,-0.8,BACK_UP,MOVING,NORMAL
19,2.05,2026-05-27 11:36:42,-0.28,-0.10,9.40,9.41,1.7,-0.6,BACK_UP,MOVING,NORMAL
20,2.15,2026-05-27 11:36:42,-0.27,-0.11,9.44,9.44,1.6,-0.7,BACK_UP,MOVING,NORMAL
21,2.25,2026-05-27 11:36:42,-0.29,-0.11,9.41,9.41,1.7,-0.6,BACK_UP,MOVING,NORMAL
22,2.35,2026-05-27 11:36:42,-0.28,-0.11,9.40,9.41,1.7,-0.7,BACK_UP,MOVING,NORMAL
23,2.45,2026-05-27 11:36:42,-0.29,-0.09,9.42,9.43,1.8,-0.6,BACK_UP,MOVING,NORMAL
24,2.55,2026-05-27 11:36:42,-0.24,-0.10,9.42,9.42,1.5,-0.6,BACK_UP,MOVING,NORMAL
25,2.65,2026-05-27 11:36:42,-0.25,-0.10,9.42,9.43,1.5,-0.6,BACK_UP,MOVING,NORMAL
26,2.75,2026-05-27 11:36:42,-0.29,-0.11,9.39,9.39,1.8,-0.7,BACK_UP,MOVING,NORMAL
27,2.85,2026-05-27 11:36:42,-0.28,-0.11,9.43,9.44,1.7,-0.7,BACK_UP,MOVING,NORMAL
28,2.95,2026-05-27 11:36:42,-0.27,-0.09,9.40,9.41,1.7,-0.6,BACK_UP,MOVING,NORMAL
29,3.05,2026-05-27 11:36:43,-0.29,-0.10,9.44,9.45,1.8,-0.6,BACK_UP,MOVING,NORMAL
30,3.27,2026-05-27 11:36:43,-0.27,-0.08,9.43,9.44,1.7,-0.5,BACK_UP,MOVING,NORMAL
31,3.36,2026-05-27 11:36:43,-0.28,-0.12,9.47,9.47,1.7,-0.7,BACK_UP,MOVING,NORMAL
32,3.46,2026-05-27 11:36:43,-0.29,-0.10,9.40,9.41,1.7,-0.6,BACK_UP,MOVING,NORMAL
33,3.56,2026-05-27 11:36:43,-0.27,-0.10,9.41,9.42,1.6,-0.6,BACK_UP,MOVING,NORMAL
34,3.66,2026-05-27 11:36:43,-0.27,-0.11,9.41,9.41,1.6,-0.6,BACK_UP,MOVING,NORMAL
35,3.76,2026-05-27 11:36:43,-0.28,-0.11,9.44,9.44,1.7,-0.7,BACK_UP,MOVING,NORMAL
36,3.86,2026-05-27 11:36:43,-0.27,-0.10,9.46,9.46,1.6,-0.6,BACK_UP,MOVING,NORMAL
37,3.96,2026-05-27 11:36:43,-0.28,-0.11,9.42,9.42,1.7,-0.6,BACK_UP,MOVING,NORMAL
38,4.06,2026-05-27 11:36:44,-0.25,-0.11,9.42,9.43,1.5,-0.7,BACK_UP,MOVING,NORMAL
39,4.16,2026-05-27 11:36:44,-0.28,-0.10,9.41,9.42,1.7,-0.6,BACK_UP,MOVING,NORMAL
40,4.26,2026-05-27 11:36:44,-0.28,-0.11,9.42,9.42,1.7,-0.7,BACK_UP,MOVING,NORMAL
41,4.36,2026-05-27 11:36:44,-0.28,-0.09,9.40,9.40,1.7,-0.5,BACK_UP,MOVING,NORMAL
42,4.46,2026-05-27 11:36:44,-0.28,-0.11,9.42,9.43,1.7,-0.7,BACK_UP,MOVING,NORMAL
43,4.56,2026-05-27 11:36:44,-0.27,-0.10,9.44,9.45,1.6,-0.6,BACK_UP,MOVING,NORMAL
44,4.66,2026-05-27 11:36:44,-0.28,-0.11,9.39,9.39,1.7,-0.7,BACK_UP,MOVING,NORMAL
45,4.76,2026-05-27 11:36:44,-0.27,-0.10,9.41,9.42,1.7,-0.6,BACK_UP,MOVING,NORMAL
46,4.86,2026-05-27 11:36:44,-0.29,-0.10,9.44,9.44,1.7,-0.6,BACK_UP,MOVING,NORMAL
47,4.96,2026-05-27 11:36:44,-0.28,-0.09,9.44,9.44,1.7,-0.5,BACK_UP,MOVING,NORMAL
48,5.06,2026-05-27 11:36:45,-0.27,-0.11,9.42,9.42,1.6,-0.6,BACK_UP,MOVING,NORMAL
49,5.16,2026-05-27 11:36:45,-0.26,-0.12,9.45,9.45,1.6,-0.7,BACK_UP,MOVING,NORMAL
50,5.26,2026-05-27 11:36:45,1.46,0.11,1.46,2.06,-44.9,4.5,BACK_UP,MOVING,NORMAL
51,5.36,2026-05-27 11:36:45,-0.29,-0.09,9.41,9.41,1.7,-0.5,BACK_UP,MOVING,NORMAL
52,5.46,2026-05-27 11:36:45,-0.27,-0.10,9.44,9.44,1.7,-0.6,BACK_UP,MOVING,NORMAL
53,5.56,2026-05-27 11:36:45,-0.28,-0.08,9.41,9.42,1.7,-0.5,BACK_UP,MOVING,NORMAL
54,5.66,2026-05-27 11:36:45,-0.27,-0.12,9.44,9.44,1.6,-0.7,BACK_UP,MOVING,NORMAL
