#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,vitto
#age,47
#height_m,180.00
#weight_kg,97.00
#mode,TEST
#start_local,2026-05-27 15:47:50
#file_id,/SS000009.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.20,2026-05-27 15:47:50,-0.45,-0.06,9.37,9.38,2.8,-0.4,BACK_UP,MOVING,NORMAL
2,0.30,2026-05-27 15:47:50,-0.45,-0.04,9.39,9.40,2.8,-0.2,BACK_UP,MOVING,NORMAL
3,0.40,2026-05-27 15:47:50,-0.47,-0.05,9.37,9.38,2.9,-0.3,BACK_UP,MOVING,NORMAL
4,0.50,2026-05-27 15:47:50,-0.43,-0.04,9.37,9.38,2.6,-0.2,BACK_UP,MOVING,NORMAL
5,0.60,2026-05-27 15:47:50,-0.43,-0.03,9.38,9.39,2.6,-0.2,BACK_UP,MOVING,NORMAL
6,0.70,2026-05-27 15:47:50,-0.45,-0.06,9.37,9.38,2.8,-0.4,BACK_UP,MOVING,NORMAL
7,0.80,2026-05-27 15:47:50,-0.45,-0.04,9.37,9.38,2.8,-0.2,BACK_UP,MOVING,NORMAL
8,0.90,2026-05-27 15:47:50,-0.45,-0.05,9.38,9.39,2.7,-0.3,BACK_UP,MOVING,NORMAL
9,1.00,2026-05-27 15:47:51,-0.45,-0.06,9.39,9.40,2.8,-0.3,BACK_UP,MOVING,NORMAL
10,1.10,2026-05-27 15:47:51,-0.45,-0.04,9.39,9.40,2.7,-0.2,BACK_UP,MOVING,NORMAL
11,1.20,2026-05-27 15:47:51,-0.46,-0.07,9.37,9.38,2.8,-0.4,BACK_UP,MOVING,NORMAL
12,1.30,2026-05-27 15:47:51,-0.46,-0.05,9.37,9.38,2.8,-0.3,BACK_UP,MOVING,NORMAL
13,1.40,2026-05-27 15:47:51,-0.46,-0.04,9.33,9.35,2.8,-0.3,BACK_UP,MOVING,NORMAL
14,1.50,2026-05-27 15:47:51,-0.44,-0.05,9.37,9.38,2.7,-0.3,BACK_UP,MOVING,NORMAL
15,1.60,2026-05-27 15:47:51,-0.45,-0.04,9.37,9.38,2.7,-0.2,BACK_UP,MOVING,NORMAL
16,1.70,2026-05-27 15:47:51,-0.43,-0.04,9.39,9.40,2.6,-0.2,BACK_UP,MOVING,NORMAL
17,1.80,2026-05-27 15:47:51,-0.46,-0.05,9.39,9.40,2.8,-0.3,BACK_UP,MOVING,NORMAL
18,1.90,2026-05-27 15:47:51,-0.45,-0.04,9.40,9.41,2.7,-0.2,BACK_UP,MOVING,NORMAL
19,2.00,2026-05-27 15:47:52,-0.44,-0.05,9.40,9.41,2.7,-0.3,BACK_UP,MOVING,NORMAL
20,2.10,2026-05-27 15:47:52,-0.45,-0.05,9.39,9.41,2.8,-0.3,BACK_UP,MOVING,NORMAL
21,2.20,2026-05-27 15:47:52,-0.45,-0.04,9.37,9.38,2.7,-0.2,BACK_UP,MOVING,NORMAL
22,2.30,2026-05-27 15:47:52,-0.45,-0.03,9.42,9.43,2.8,-0.2,BACK_UP,MOVING,NORMAL
23,2.40,2026-05-27 15:47:52,-0.46,-0.04,9.38,9.39,2.8,-0.3,BACK_UP,MOVING,NORMAL
24,2.50,2026-05-27 15:47:52,-0.45,-0.04,9.39,9.41,2.7,-0.2,BACK_UP,MOVING,NORMAL
25,2.60,2026-05-27 15:47:52,-0.45,-0.03,9.38,9.39,2.8,-0.2,BACK_UP,MOVING,NORMAL
26,2.70,2026-05-27 15:47:52,-0.46,-0.03,9.39,9.40,2.8,-0.2,BACK_UP,MOVING,NORMAL
27,2.80,2026-05-27 15:47:52,-0.48,-0.04,9.39,9.40,2.9,-0.3,BACK_UP,MOVING,NORMAL
28,2.90,2026-05-27 15:47:52,-0.45,-0.02,9.39,9.40,2.7,-0.1,BACK_UP,MOVING,NORMAL
29,3.00,2026-05-27 15:47:53,-0.45,-0.04,9.38,9.39,2.7,-0.3,BACK_UP,MOVING,NORMAL
30,3.22,2026-05-27 15:47:53,-0.45,-0.03,9.39,9.40,2.8,-0.2,BACK_UP,MOVING,NORMAL
31,3.32,2026-05-27 15:47:53,-0.46,-0.06,9.39,9.40,2.8,-0.4,BACK_UP,MOVING,NORMAL
32,3.42,2026-05-27 15:47:53,-0.46,-0.05,9.37,9.38,2.8,-0.3,BACK_UP,MOVING,NORMAL
33,3.52,2026-05-27 15:47:53,-0.45,-0.03,9.38,9.39,2.7,-0.2,BACK_UP,MOVING,NORMAL
34,3.62,2026-05-27 15:47:53,-0.46,-0.04,9.38,9.39,2.8,-0.2,BACK_UP,MOVING,NORMAL
35,3.72,2026-05-27 15:47:53,-0.44,-0.03,9.40,9.41,2.7,-0.2,BACK_UP,MOVING,NORMAL
36,3.82,2026-05-27 15:47:53,-0.44,-0.06,9.37,9.38,2.7,-0.4,BACK_UP,MOVING,NORMAL
37,3.92,2026-05-27 15:47:53,-0.44,-0.05,9.42,9.43,2.7,-0.3,BACK_UP,MOVING,NORMAL
38,4.02,2026-05-27 15:47:54,-0.44,-0.04,9.38,9.39,2.7,-0.2,BACK_UP,MOVING,NORMAL
39,4.12,2026-05-27 15:47:54,-0.45,-0.05,9.38,9.39,2.7,-0.3,BACK_UP,MOVING,NORMAL
40,4.22,2026-05-27 15:47:54,-0.45,-0.06,9.40,9.41,2.8,-0.4,BACK_UP,MOVING,NORMAL
41,4.32,2026-05-27 15:47:54,-0.45,-0.04,9.39,9.40,2.7,-0.2,BACK_UP,MOVING,NORMAL
42,4.42,2026-05-27 15:47:54,-0.44,-0.04,9.42,9.43,2.7,-0.3,BACK_UP,MOVING,NORMAL
43,4.52,2026-05-27 15:47:54,-0.49,-0.05,9.37,9.39,3.0,-0.3,BACK_UP,MOVING,NORMAL
44,4.62,2026-05-27 15:47:54,-0.46,-0.06,9.36,9.37,2.8,-0.3,BACK_UP,MOVING,NORMAL
45,4.72,2026-05-27 15:47:54,-0.46,-0.03,9.35,9.36,2.8,-0.2,BACK_UP,MOVING,NORMAL
46,4.82,2026-05-27 15:47:54,-0.44,-0.06,9.46,9.47,2.6,-0.3,BACK_UP,MOVING,NORMAL
47,4.92,2026-05-27 15:47:54,-0.49,-0.06,9.36,9.37,3.0,-0.4,BACK_UP,MOVING,NORMAL
48,5.02,2026-05-27 15:47:55,-0.45,-0.01,9.40,9.41,2.7,-0.1,BACK_UP,MOVING,NORMAL
49,5.12,2026-05-27 15:47:55,-0.43,-0.06,9.38,9.39,2.6,-0.3,BACK_UP,MOVING,NORMAL
50,5.22,2026-05-27 15:47:55,-0.42,-0.06,9.38,9.39,2.6,-0.3,BACK_UP,MOVING,NORMAL
51,5.32,2026-05-27 15:47:55,-0.47,-0.04,9.37,9.38,2.9,-0.2,BACK_UP,MOVING,NORMAL
52,5.42,2026-05-27 15:47:55,-0.45,-0.06,9.40,9.42,2.8,-0.4,BACK_UP,MOVING,NORMAL
