#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-036
#user,vitto3
#age,47
#height_m,180.00
#weight_kg,97.00
#mode,TEST
#start_local,2026-05-27 15:51:29
#file_id,/SS000012.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.26,2026-05-27 15:51:29,-0.45,-0.08,9.39,9.41,2.8,-0.5,BACK_UP,MOVING,NORMAL
2,0.36,2026-05-27 15:51:29,-0.44,-0.10,9.39,9.40,2.7,-0.6,BACK_UP,MOVING,NORMAL
3,0.46,2026-05-27 15:51:29,-0.47,-0.11,9.39,9.40,2.9,-0.7,BACK_UP,MOVING,NORMAL
4,0.56,2026-05-27 15:51:29,-0.45,-0.11,9.38,9.39,2.7,-0.6,BACK_UP,MOVING,NORMAL
5,0.66,2026-05-27 15:51:29,-0.43,-0.10,9.38,9.39,2.6,-0.6,BACK_UP,MOVING,NORMAL
6,0.76,2026-05-27 15:51:29,-0.44,-0.09,9.40,9.42,2.7,-0.5,BACK_UP,MOVING,NORMAL
7,0.86,2026-05-27 15:51:29,-0.45,-0.09,9.39,9.41,2.7,-0.5,BACK_UP,MOVING,NORMAL
8,0.96,2026-05-27 15:51:29,-0.45,-0.09,9.37,9.38,2.7,-0.6,BACK_UP,MOVING,NORMAL
9,1.06,2026-05-27 15:51:30,-0.46,-0.10,9.39,9.40,2.8,-0.6,BACK_UP,MOVING,NORMAL
10,1.16,2026-05-27 15:51:30,-0.44,-0.06,9.38,9.39,2.7,-0.4,BACK_UP,MOVING,NORMAL
11,1.26,2026-05-27 15:51:30,-0.44,-0.09,9.40,9.41,2.7,-0.6,BACK_UP,MOVING,NORMAL
12,1.36,2026-05-27 15:51:30,-0.45,-0.11,9.37,9.38,2.7,-0.7,BACK_UP,MOVING,NORMAL
13,1.46,2026-05-27 15:51:30,-0.44,-0.09,9.37,9.38,2.7,-0.6,BACK_UP,MOVING,NORMAL
14,1.56,2026-05-27 15:51:30,-0.46,-0.08,9.41,9.42,2.8,-0.5,BACK_UP,MOVING,NORMAL
15,1.66,2026-05-27 15:51:30,-0.45,-0.10,9.41,9.42,2.7,-0.6,BACK_UP,MOVING,NORMAL
16,1.76,2026-05-27 15:51:30,-0.45,-0.11,9.39,9.40,2.7,-0.7,BACK_UP,MOVING,NORMAL
