#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-037
#user,v37
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 17:37:51
#file_id,/SS000024.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.27,2026-05-27 17:37:51,-0.40,-0.23,9.39,9.40,2.4,-1.4,BACK_UP,MOVING,NORMAL
2,0.37,2026-05-27 17:37:51,-0.39,-0.22,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
3,0.47,2026-05-27 17:37:51,-0.38,-0.22,9.43,9.44,2.3,-1.3,BACK_UP,MOVING,NORMAL
4,0.57,2026-05-27 17:37:51,-0.41,-0.21,9.40,9.41,2.5,-1.3,BACK_UP,MOVING,NORMAL
5,0.67,2026-05-27 17:37:51,-0.41,-0.22,9.38,9.39,2.5,-1.4,BACK_UP,MOVING,NORMAL
6,0.77,2026-05-27 17:37:51,-0.40,-0.22,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
7,0.87,2026-05-27 17:37:51,-0.38,-0.21,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
8,0.97,2026-05-27 17:37:51,-0.39,-0.21,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
9,1.07,2026-05-27 17:37:52,-0.40,-0.20,9.39,9.40,2.5,-1.2,BACK_UP,MOVING,NORMAL
10,1.17,2026-05-27 17:37:52,-0.39,-0.21,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
11,1.27,2026-05-27 17:37:52,-0.41,-0.20,9.39,9.40,2.5,-1.2,BACK_UP,MOVING,NORMAL
12,1.37,2026-05-27 17:37:52,-0.40,-0.20,9.41,9.42,2.4,-1.2,BACK_UP,MOVING,NORMAL
13,1.47,2026-05-27 17:37:52,-0.37,-0.22,9.39,9.40,2.3,-1.4,BACK_UP,MOVING,NORMAL
14,1.57,2026-05-27 17:37:52,-0.39,-0.22,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
15,1.67,2026-05-27 17:37:52,-0.39,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
16,1.77,2026-05-27 17:37:52,-0.40,-0.22,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
17,1.87,2026-05-27 17:37:52,-0.39,-0.22,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
18,1.97,2026-05-27 17:37:52,-0.40,-0.21,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
19,2.07,2026-05-27 17:37:53,-0.37,-0.21,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
20,2.17,2026-05-27 17:37:53,-0.39,-0.19,9.38,9.39,2.4,-1.2,BACK_UP,MOVING,NORMAL
21,2.27,2026-05-27 17:37:53,-0.37,-0.22,9.39,9.40,2.3,-1.4,BACK_UP,MOVING,NORMAL
22,2.37,2026-05-27 17:37:53,-0.39,-0.19,9.39,9.40,2.4,-1.1,BACK_UP,MOVING,NORMAL
23,2.47,2026-05-27 17:37:53,-0.39,-0.21,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
24,2.57,2026-05-27 17:37:53,-0.40,-0.20,9.38,9.39,2.5,-1.2,BACK_UP,MOVING,NORMAL
25,2.67,2026-05-27 17:37:53,-0.37,-0.20,9.40,9.41,2.2,-1.2,BACK_UP,MOVING,NORMAL
26,2.77,2026-05-27 17:37:53,-0.38,-0.20,9.38,9.39,2.3,-1.2,BACK_UP,MOVING,NORMAL
27,2.87,2026-05-27 17:37:53,-0.39,-0.21,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
28,2.97,2026-05-27 17:37:53,-0.40,-0.22,9.36,9.37,2.4,-1.4,BACK_UP,MOVING,NORMAL
29,3.07,2026-05-27 17:37:54,-0.39,-0.20,9.40,9.41,2.4,-1.2,BACK_UP,MOVING,NORMAL
30,3.17,2026-05-27 17:37:54,-0.39,-0.19,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
31,3.27,2026-05-27 17:37:54,-0.39,-0.22,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
32,3.37,2026-05-27 17:37:54,-0.38,-0.22,9.40,9.41,2.3,-1.4,BACK_UP,MOVING,NORMAL
33,3.47,2026-05-27 17:37:54,-0.37,-0.22,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
34,3.57,2026-05-27 17:37:54,-0.39,-0.20,9.40,9.41,2.4,-1.2,BACK_UP,MOVING,NORMAL
35,3.67,2026-05-27 17:37:54,-0.38,-0.23,9.37,9.38,2.3,-1.4,BACK_UP,MOVING,NORMAL
36,3.77,2026-05-27 17:37:54,-0.40,-0.23,9.40,9.41,2.4,-1.4,BACK_UP,MOVING,NORMAL
37,3.87,2026-05-27 17:37:54,-0.38,-0.21,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
38,3.97,2026-05-27 17:37:54,-0.39,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
39,4.07,2026-05-27 17:37:55,-0.37,-0.21,9.38,9.39,2.3,-1.3,BACK_UP,MOVING,NORMAL
40,4.17,2026-05-27 17:37:55,-0.41,-0.21,9.39,9.40,2.5,-1.3,BACK_UP,MOVING,NORMAL
41,4.27,2026-05-27 17:37:55,-0.37,-0.21,9.40,9.41,2.3,-1.3,BACK_UP,MOVING,NORMAL
42,4.37,2026-05-27 17:37:55,-0.41,-0.21,9.40,9.41,2.5,-1.3,BACK_UP,MOVING,NORMAL
43,4.47,2026-05-27 17:37:55,-0.38,-0.20,9.41,9.42,2.3,-1.2,BACK_UP,MOVING,NORMAL
44,4.57,2026-05-27 17:37:55,-0.39,-0.21,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
45,4.67,2026-05-27 17:37:55,-0.39,-0.21,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
46,4.77,2026-05-27 17:37:55,-0.40,-0.20,9.41,9.42,2.4,-1.2,BACK_UP,MOVING,NORMAL
47,4.87,2026-05-27 17:37:55,-0.40,-0.22,9.40,9.41,2.5,-1.3,BACK_UP,MOVING,NORMAL
48,4.97,2026-05-27 17:37:55,-0.38,-0.21,9.40,9.41,2.3,-1.3,BACK_UP,MOVING,NORMAL
49,5.07,2026-05-27 17:37:56,-0.39,-0.22,9.40,9.41,2.4,-1.4,BACK_UP,MOVING,NORMAL
50,5.17,2026-05-27 17:37:56,-0.38,-0.23,9.39,9.40,2.3,-1.4,BACK_UP,MOVING,NORMAL
51,5.27,2026-05-27 17:37:56,-0.39,-0.20,9.40,9.41,2.4,-1.2,BACK_UP,MOVING,NORMAL
52,5.37,2026-05-27 17:37:56,-0.40,-0.21,9.40,9.42,2.4,-1.3,BACK_UP,MOVING,NORMAL
53,5.47,2026-05-27 17:37:56,-0.38,-0.19,9.40,9.41,2.3,-1.2,BACK_UP,MOVING,NORMAL
54,5.57,2026-05-27 17:37:56,-0.40,-0.22,9.42,9.43,2.4,-1.3,BACK_UP,MOVING,NORMAL
55,5.67,2026-05-27 17:37:56,-0.39,-0.20,9.40,9.41,2.3,-1.2,BACK_UP,MOVING,NORMAL
56,5.77,2026-05-27 17:37:56,-0.39,-0.21,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
57,5.87,2026-05-27 17:37:56,-0.40,-0.21,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
58,5.97,2026-05-27 17:37:56,-0.39,-0.22,9.35,9.36,2.4,-1.3,BACK_UP,MOVING,NORMAL
59,6.07,2026-05-27 17:37:57,-0.39,-0.22,9.39,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
60,6.17,2026-05-27 17:37:57,-0.38,-0.21,9.38,9.39,2.3,-1.3,BACK_UP,MOVING,NORMAL
61,6.27,2026-05-27 17:37:57,-0.39,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
62,6.37,2026-05-27 17:37:57,-0.39,-0.21,9.37,9.38,2.4,-1.3,BACK_UP,MOVING,NORMAL
63,6.47,2026-05-27 17:37:57,-0.39,-0.21,9.37,9.38,2.4,-1.3,BACK_UP,MOVING,NORMAL
64,6.57,2026-05-27 17:37:57,-0.40,-0.19,9.42,9.43,2.4,-1.2,BACK_UP,MOVING,NORMAL
65,6.67,2026-05-27 17:37:57,-0.37,-0.21,9.39,9.39,2.3,-1.3,BACK_UP,MOVING,NORMAL
66,6.77,2026-05-27 17:37:57,-0.39,-0.21,9.41,9.42,2.3,-1.3,BACK_UP,MOVING,NORMAL
67,6.87,2026-05-27 17:37:57,-0.40,-0.21,9.39,9.41,2.5,-1.3,BACK_UP,MOVING,NORMAL
68,6.97,2026-05-27 17:37:57,-0.40,-0.20,9.38,9.39,2.4,-1.2,BACK_UP,MOVING,NORMAL
69,7.07,2026-05-27 17:37:58,-0.37,-0.22,9.38,9.39,2.2,-1.3,BACK_UP,MOVING,NORMAL
70,7.17,2026-05-27 17:37:58,-0.39,-0.20,9.42,9.43,2.4,-1.2,BACK_UP,MOVING,NORMAL
71,7.27,2026-05-27 17:37:58,-0.40,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
72,7.37,2026-05-27 17:37:58,-0.40,-0.21,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
73,7.47,2026-05-27 17:37:58,-0.41,-0.19,9.40,9.41,2.5,-1.2,BACK_UP,MOVING,NORMAL
74,7.57,2026-05-27 17:37:58,-0.36,-0.21,9.41,9.42,2.2,-1.3,BACK_UP,MOVING,NORMAL
75,7.67,2026-05-27 17:37:58,-0.39,-0.21,9.38,9.39,2.4,-1.3,BACK_UP,MOVING,NORMAL
76,7.77,2026-05-27 17:37:58,-0.41,-0.20,9.39,9.41,2.5,-1.2,BACK_UP,MOVING,NORMAL
77,7.87,2026-05-27 17:37:58,-0.41,-0.21,9.39,9.40,2.5,-1.3,BACK_UP,MOVING,NORMAL
78,7.97,2026-05-27 17:37:58,-0.40,-0.22,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
79,8.07,2026-05-27 17:37:59,-0.41,-0.21,9.37,9.38,2.5,-1.3,BACK_UP,MOVING,NORMAL
80,8.17,2026-05-27 17:37:59,-0.39,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
81,8.27,2026-05-27 17:37:59,-0.37,-0.19,9.37,9.38,2.3,-1.2,BACK_UP,MOVING,NORMAL
82,8.37,2026-05-27 17:37:59,-0.42,-0.21,9.38,9.39,2.6,-1.3,BACK_UP,MOVING,NORMAL
83,8.47,2026-05-27 17:37:59,-0.39,-0.22,9.39,9.40,2.4,-1.3,BACK_UP,MOVING,NORMAL
84,8.57,2026-05-27 17:37:59,-0.40,-0.21,9.41,9.42,2.4,-1.3,BACK_UP,MOVING,NORMAL
85,8.67,2026-05-27 17:37:59,-0.40,-0.21,9.43,9.44,2.4,-1.3,BACK_UP,MOVING,NORMAL
86,8.77,2026-05-27 17:37:59,-0.38,-0.21,9.40,9.41,2.3,-1.3,BACK_UP,MOVING,NORMAL
87,8.87,2026-05-27 17:37:59,-0.38,-0.22,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
88,8.97,2026-05-27 17:37:59,-0.41,-0.22,9.36,9.38,2.5,-1.3,BACK_UP,MOVING,NORMAL
89,9.07,2026-05-27 17:38:00,-0.39,-0.20,9.39,9.40,2.4,-1.2,BACK_UP,MOVING,NORMAL
90,9.17,2026-05-27 17:38:00,-0.40,-0.20,9.39,9.41,2.4,-1.2,BACK_UP,MOVING,NORMAL
91,9.27,2026-05-27 17:38:00,-0.40,-0.21,9.36,9.37,2.5,-1.3,BACK_UP,MOVING,NORMAL
92,9.37,2026-05-27 17:38:00,-0.38,-0.21,9.39,9.40,2.3,-1.3,BACK_UP,MOVING,NORMAL
93,9.47,2026-05-27 17:38:00,-0.39,-0.21,9.40,9.41,2.3,-1.3,BACK_UP,MOVING,NORMAL
94,9.57,2026-05-27 17:38:00,-0.40,-0.21,9.40,9.41,2.4,-1.3,BACK_UP,MOVING,NORMAL
95,9.67,2026-05-27 17:38:00,-0.38,-0.20,9.39,9.40,2.3,-1.2,BACK_UP,MOVING,NORMAL
96,9.77,2026-05-27 17:38:00,-0.40,-0.20,9.39,9.41,2.4,-1.2,BACK_UP,MOVING,NORMAL
97,9.87,2026-05-27 17:38:00,-0.37,-0.21,9.40,9.41,2.3,-1.3,BACK_UP,MOVING,NORMAL
98,9.97,2026-05-27 17:38:00,-0.39,-0.23,9.40,9.41,2.4,-1.4,BACK_UP,MOVING,NORMAL
