#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-038
#user,v38
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-27 17:53:55
#file_id,/SS000025.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.27,2026-05-27 17:53:55,-0.27,-0.15,9.39,9.40,1.6,-0.9,BACK_UP,MOVING,NORMAL
2,0.37,2026-05-27 17:53:55,-0.27,-0.12,9.42,9.43,1.6,-0.8,BACK_UP,MOVING,NORMAL
3,0.47,2026-05-27 17:53:55,-0.27,-0.15,9.41,9.42,1.6,-0.9,BACK_UP,MOVING,NORMAL
4,0.57,2026-05-27 17:53:55,-0.26,-0.09,9.40,9.40,1.6,-0.6,BACK_UP,MOVING,NORMAL
5,0.67,2026-05-27 17:53:55,-0.28,-0.15,9.39,9.40,1.7,-0.9,BACK_UP,MOVING,NORMAL
6,0.77,2026-05-27 17:53:55,-0.26,-0.13,9.39,9.40,1.6,-0.8,BACK_UP,MOVING,NORMAL
7,0.87,2026-05-27 17:53:55,-0.27,-0.13,9.41,9.41,1.6,-0.8,BACK_UP,MOVING,NORMAL
8,0.97,2026-05-27 17:53:55,-0.26,-0.12,9.42,9.43,1.6,-0.8,BACK_UP,MOVING,NORMAL
9,1.07,2026-05-27 17:53:56,-0.29,-0.13,9.40,9.41,1.8,-0.8,BACK_UP,MOVING,NORMAL
10,1.17,2026-05-27 17:53:56,-0.29,-0.12,9.41,9.41,1.8,-0.7,BACK_UP,MOVING,NORMAL
11,1.27,2026-05-27 17:53:56,-0.27,-0.11,9.40,9.41,1.6,-0.7,BACK_UP,MOVING,NORMAL
12,1.37,2026-05-27 17:53:56,-0.30,-0.17,9.40,9.41,1.8,-1.0,BACK_UP,MOVING,NORMAL
13,1.47,2026-05-27 17:53:56,-0.26,-0.10,9.38,9.38,1.6,-0.6,BACK_UP,MOVING,NORMAL
14,1.57,2026-05-27 17:53:56,-0.28,-0.10,9.40,9.41,1.7,-0.6,BACK_UP,MOVING,NORMAL
15,1.67,2026-05-27 17:53:56,-0.28,-0.12,9.43,9.43,1.7,-0.8,BACK_UP,MOVING,NORMAL
16,1.77,2026-05-27 17:53:56,-0.29,-0.16,9.42,9.43,1.8,-1.0,BACK_UP,MOVING,NORMAL
17,1.87,2026-05-27 17:53:56,-0.27,-0.11,9.42,9.42,1.6,-0.7,BACK_UP,MOVING,NORMAL
18,1.97,2026-05-27 17:53:56,-0.27,-0.14,9.39,9.40,1.6,-0.8,BACK_UP,MOVING,NORMAL
19,2.07,2026-05-27 17:53:57,-0.26,-0.12,9.41,9.41,1.6,-0.7,BACK_UP,MOVING,NORMAL
20,2.17,2026-05-27 17:53:57,-0.29,-0.13,9.41,9.41,1.7,-0.8,BACK_UP,MOVING,NORMAL
21,2.27,2026-05-27 17:53:57,-0.27,-0.12,9.41,9.41,1.6,-0.7,BACK_UP,MOVING,NORMAL
22,2.37,2026-05-27 17:53:57,-0.27,-0.16,9.38,9.38,1.7,-1.0,BACK_UP,MOVING,NORMAL
