time,lr,fb,ud,mag,raw
2026-05-19 11:54:55.027,-0.20,-0.70,9.50,9.50,A:-2;-7;95;95
2026-05-19 11:54:55.561,-0.30,1.10,8.80,8.90,A:-3;11;88;89
2026-05-19 11:54:56.050,-0.50,0.60,9.50,9.50,A:-5;6;95;95
2026-05-19 11:54:56.537,-0.10,-0.60,9.50,9.50,A:-1;-6;95;95
2026-05-19 11:54:57.025,0.00,-0.60,9.30,9.30,A:0;-6;93;93
2026-05-19 11:54:57.559,-0.60,-0.20,9.10,9.20,A:-6;-2;91;92
2026-05-19 11:54:58.047,-0.40,0.40,9.10,9.20,A:-4;4;91;92
2026-05-19 11:54:58.535,2.70,0.30,9.30,9.70,A:27;3;93;97
2026-05-19 11:54:59.022,3.10,0.80,8.70,9.20,A:31;8;87;92
2026-05-19 11:54:59.558,1.30,0.90,9.10,9.20,A:13;9;91;92
2026-05-19 11:55:00.046,-0.30,1.20,9.10,9.20,A:-3;12;91;92
2026-05-19 11:55:00.532,-1.10,1.90,9.10,9.30,A:-11;19;91;93
2026-05-19 11:55:01.020,-3.90,2.40,7.60,8.90,A:-39;24;76;89
2026-05-19 11:55:01.556,-1.60,1.90,8.80,9.20,A:-16;19;88;92
2026-05-19 11:55:02.047,0.40,0.10,9.40,9.40,A:4;1;94;94
2026-05-19 11:55:02.535,0.40,-0.20,9.40,9.40,A:4;-2;94;94
2026-05-19 11:55:03.022,1.10,0.00,9.20,9.30,A:11;0;92;93
2026-05-19 11:55:03.559,1.70,-0.30,9.30,9.50,A:17;-3;93;95
2026-05-19 11:55:04.043,0.30,-0.40,9.40,9.40,A:3;-4;94;94
2026-05-19 11:55:04.533,-3.40,0.60,8.70,9.40,A:-34;6;87;94
2026-05-19 11:55:05.019,-3.20,1.60,8.10,8.80,A:-32;16;81;88
2026-05-19 11:55:05.553,-3.90,2.20,7.80,9.00,A:-39;22;78;90
2026-05-19 11:55:06.047,-2.90,2.10,8.60,9.30,A:-29;21;86;93
2026-05-19 11:55:06.532,-1.50,1.80,8.80,9.20,A:-15;18;88;92
2026-05-19 11:55:07.017,0.00,0.40,9.20,9.20,A:0;4;92;92
2026-05-19 11:55:07.558,-0.80,0.30,9.00,9.10,A:-8;3;90;91
2026-05-19 11:55:08.047,0.90,0.70,8.40,8.50,A:9;7;84;85
2026-05-19 11:55:08.530,2.60,0.20,9.20,9.60,A:26;2;92;96
2026-05-19 11:55:09.064,4.40,0.30,8.60,9.70,A:44;3;86;97
2026-05-19 11:55:09.551,3.40,0.30,8.80,9.50,A:34;3;88;95
2026-05-19 11:55:10.039,0.90,0.00,9.30,9.30,A:9;0;93;93
2026-05-19 11:55:10.527,0.00,-0.10,9.40,9.40,A:0;-1;94;94
2026-05-19 11:55:11.067,-0.30,-0.10,9.20,9.20,A:-3;-1;92;92
2026-05-19 11:55:11.555,-0.70,-0.50,9.20,9.30,A:-7;-5;92;93
2026-05-19 11:55:12.045,-2.10,0.30,8.80,9.00,A:-21;3;88;90
2026-05-19 11:55:12.529,-2.80,0.00,8.90,9.30,A:-28;0;89;93
2026-05-19 11:55:13.069,-0.80,0.20,9.20,9.30,A:-8;2;92;93
2026-05-19 11:55:13.556,-0.60,-0.20,9.50,9.50,A:-6;-2;95;95
2026-05-19 11:55:14.042,-0.80,-0.10,9.50,9.60,A:-8;-1;95;96
2026-05-19 11:55:14.531,-0.90,0.70,8.80,8.90,A:-9;7;88;89
2026-05-19 11:55:15.067,1.90,1.80,9.00,9.30,A:19;18;90;93
2026-05-19 11:55:15.553,6.30,1.50,7.80,10.20,A:63;15;78;102
2026-05-19 11:55:16.042,3.30,1.30,8.70,9.50,A:33;13;87;95
2026-05-19 11:55:16.529,2.60,2.00,8.40,9.00,A:26;20;84;90
2026-05-19 11:55:17.066,0.60,1.40,9.40,9.60,A:6;14;94;96
2026-05-19 11:55:17.553,0.80,1.60,9.10,9.30,A:8;16;91;93
2026-05-19 11:55:18.042,-0.50,0.20,9.60,9.70,A:-5;2;96;97
2026-05-19 11:55:18.525,-0.90,-0.50,9.70,9.80,A:-9;-5;97;98
2026-05-19 11:55:19.067,-0.20,0.30,9.30,9.30,A:-2;3;93;93
2026-05-19 11:55:19.553,0.00,0.00,9.30,9.30,A:0;0;93;93
2026-05-19 11:55:20.039,0.00,-0.20,9.20,9.20,A:0;-2;92;92
2026-05-19 11:55:20.524,0.00,-0.10,9.30,9.30,A:0;-1;93;93
2026-05-19 11:55:21.061,0.00,-0.10,9.30,9.30,A:0;-1;93;93
2026-05-19 11:55:21.544,0.00,-0.20,9.30,9.30,A:0;-2;93;93
2026-05-19 11:55:22.039,0.00,-0.10,9.20,9.20,A:0;-1;92;92
2026-05-19 11:55:22.525,-0.70,-0.20,9.30,9.40,A:-7;-2;93;94
2026-05-19 11:55:23.063,-0.60,-0.20,8.80,8.80,A:-6;-2;88;88
2026-05-19 11:55:23.550,-1.10,0.70,9.10,9.20,A:-11;7;91;92
2026-05-19 11:55:24.038,-0.30,-0.40,9.20,9.20,A:-3;-4;92;92
2026-05-19 11:55:24.525,-2.60,0.40,8.70,9.10,A:-26;4;87;91
2026-05-19 11:55:25.055,-4.00,0.30,7.70,8.60,A:-40;3;77;86
2026-05-19 11:55:25.541,-3.30,0.20,8.50,9.20,A:-33;2;85;92
2026-05-19 11:55:26.036,-2.00,-0.10,9.00,9.20,A:-20;-1;90;92
2026-05-19 11:55:26.524,-2.00,0.00,8.90,9.20,A:-20;0;89;92
2026-05-19 11:55:27.060,-1.90,0.00,9.00,9.20,A:-19;0;90;92
2026-05-19 11:55:27.548,-2.20,0.20,8.70,9.00,A:-22;2;87;90
2026-05-19 11:55:28.028,-2.90,0.70,8.70,9.20,A:-29;7;87;92
2026-05-19 11:55:28.517,-1.70,2.20,8.30,8.80,A:-17;22;83;88
2026-05-19 11:55:29.058,1.20,5.10,6.90,8.70,A:12;51;69;87
2026-05-19 11:55:29.547,1.30,1.00,8.90,9.10,A:13;10;89;91
2026-05-19 11:55:30.030,0.60,-0.20,9.30,9.30,A:6;-2;93;93
2026-05-19 11:55:30.564,0.80,-0.50,9.40,9.50,A:8;-5;94;95
2026-05-19 11:55:31.050,3.10,-0.50,9.40,9.90,A:31;-5;94;99
2026-05-19 11:55:31.543,4.00,-0.50,8.90,9.80,A:40;-5;89;98
2026-05-19 11:55:32.033,3.90,-0.60,8.80,9.70,A:39;-6;88;97
2026-05-19 11:55:32.565,3.50,-0.80,8.80,9.50,A:35;-8;88;95
2026-05-19 11:55:33.053,2.90,-0.30,9.10,9.50,A:29;-3;91;95
2026-05-19 11:55:33.544,3.10,-0.80,9.10,9.70,A:31;-8;91;97
2026-05-19 11:55:34.031,2.30,-0.50,9.30,9.60,A:23;-5;93;96
2026-05-19 11:55:34.566,1.40,-0.60,9.20,9.40,A:14;-6;92;94
2026-05-19 11:55:35.056,1.50,-0.20,9.30,9.40,A:15;-2;93;94
2026-05-19 11:55:35.542,1.70,-1.10,8.70,8.90,A:17;-11;87;89
2026-05-19 11:55:36.031,1.90,-0.30,9.40,9.60,A:19;-3;94;96
2026-05-19 11:55:36.567,2.00,-0.20,8.90,9.20,A:20;-2;89;92
2026-05-19 11:55:37.053,1.20,-0.40,9.30,9.40,A:12;-4;93;94
2026-05-19 11:55:37.541,1.40,-0.90,9.20,9.30,A:14;-9;92;93
2026-05-19 11:55:38.029,2.10,-0.70,9.20,9.40,A:21;-7;92;94
2026-05-19 11:55:38.565,2.10,-1.00,9.20,9.50,A:21;-10;92;95
2026-05-19 11:55:39.053,0.00,-0.50,9.30,9.30,A:0;-5;93;93
2026-05-19 11:55:39.534,0.40,-0.50,9.30,9.30,A:4;-5;93;93
2026-05-19 11:55:40.026,1.40,-1.10,9.60,9.70,A:14;-11;96;97
2026-05-19 11:55:40.556,2.40,-0.60,9.30,9.60,A:24;-6;93;96
2026-05-19 11:55:41.051,2.90,-0.60,9.10,9.60,A:29;-6;91;96
2026-05-19 11:55:41.542,1.10,0.20,9.30,9.40,A:11;2;93;94
2026-05-19 11:55:42.027,0.80,-0.30,9.30,9.40,A:8;-3;93;94
2026-05-19 11:55:42.604,0.60,-0.70,9.40,9.50,A:6;-7;94;95
2026-05-19 11:55:43.060,2.00,-0.70,9.30,9.50,A:20;-7;93;95
2026-05-19 11:55:43.531,2.50,-0.90,9.10,9.50,A:25;-9;91;95
2026-05-19 11:55:44.020,2.30,-0.60,9.20,9.50,A:23;-6;92;95
2026-05-19 11:55:44.553,0.70,-0.80,9.40,9.50,A:7;-8;94;95
2026-05-19 11:55:45.044,0.80,-0.80,9.30,9.40,A:8;-8;93;94
2026-05-19 11:55:45.534,1.30,-0.70,9.50,9.60,A:13;-7;95;96
2026-05-19 11:55:46.021,0.80,-0.80,9.40,9.40,A:8;-8;94;94
2026-05-19 11:55:46.561,1.30,-0.60,9.20,9.30,A:13;-6;92;93
2026-05-19 11:55:47.049,2.60,-0.50,9.20,9.50,A:26;-5;92;95
2026-05-19 11:55:47.536,1.90,-1.00,9.50,9.70,A:19;-10;95;97
2026-05-19 11:55:48.024,1.30,-0.60,9.20,9.30,A:13;-6;92;93
2026-05-19 11:55:48.562,0.60,-0.40,9.30,9.30,A:6;-4;93;93
