time,lr,fb,ud,mag,raw
2026-05-19 11:29:42.239,0.20,9.70,-1.40,9.80,A:2;97;-14;98
2026-05-19 11:29:42.715,0.20,9.70,-1.50,9.80,A:2;97;-15;98
2026-05-19 11:29:43.205,1.50,9.60,-1.40,9.80,A:15;96;-14;98
2026-05-19 11:29:43.743,1.30,9.20,-1.20,9.30,A:13;92;-12;93
2026-05-19 11:29:44.228,0.90,9.50,-1.20,9.70,A:9;95;-12;97
2026-05-19 11:29:44.716,0.80,9.50,-0.70,9.60,A:8;95;-7;96
2026-05-19 11:29:45.205,0.00,9.50,-1.70,9.60,A:0;95;-17;96
2026-05-19 11:29:45.744,3.20,9.40,-1.10,10.00,A:32;94;-11;100
2026-05-19 11:29:46.225,0.50,9.60,-1.70,9.80,A:5;96;-17;98
2026-05-19 11:29:46.717,1.40,9.50,-1.70,9.80,A:14;95;-17;98
2026-05-19 11:29:47.205,1.40,9.70,-1.90,10.00,A:14;97;-19;100
2026-05-19 11:29:47.744,1.00,9.50,-1.20,9.60,A:10;95;-12;96
2026-05-19 11:29:48.229,1.00,9.40,-1.20,9.60,A:10;94;-12;96
2026-05-19 11:29:48.719,0.90,9.50,-1.30,9.70,A:9;95;-13;97
2026-05-19 11:29:49.207,1.00,9.40,-1.90,9.60,A:10;94;-19;96
2026-05-19 11:29:49.741,0.90,9.40,-2.40,9.80,A:9;94;-24;98
2026-05-19 11:29:50.232,0.80,9.40,-2.30,9.80,A:8;94;-23;98
2026-05-19 11:29:50.719,0.80,9.40,-2.30,9.70,A:8;94;-23;97
2026-05-19 11:29:51.205,0.80,9.60,-2.80,10.00,A:8;96;-28;100
2026-05-19 11:29:51.742,1.60,9.30,-1.50,9.50,A:16;93;-15;95
2026-05-19 11:29:52.229,1.00,9.60,-1.70,9.80,A:10;96;-17;98
2026-05-19 11:29:52.717,0.80,9.20,-1.60,9.40,A:8;92;-16;94
2026-05-19 11:29:53.205,1.10,9.60,-2.10,9.90,A:11;96;-21;99
2026-05-19 11:29:53.738,0.80,9.40,-2.30,9.80,A:8;94;-23;98
2026-05-19 11:29:54.228,0.60,9.50,-2.20,9.80,A:6;95;-22;98
2026-05-19 11:29:54.714,1.80,9.50,-2.00,9.90,A:18;95;-20;99
2026-05-19 11:29:55.205,1.80,9.10,-1.40,9.40,A:18;91;-14;94
2026-05-19 11:29:55.739,1.40,9.30,-1.80,9.60,A:14;93;-18;96
2026-05-19 11:29:56.226,0.40,9.50,-2.00,9.70,A:4;95;-20;97
2026-05-19 11:29:56.715,0.10,9.40,-2.20,9.70,A:1;94;-22;97
2026-05-19 11:29:57.202,0.60,9.40,-2.10,9.70,A:6;94;-21;97
2026-05-19 11:29:57.737,2.40,9.10,-1.40,9.50,A:24;91;-14;95
2026-05-19 11:29:58.226,1.50,9.40,-1.70,9.70,A:15;94;-17;97
2026-05-19 11:29:58.713,0.60,9.50,-1.90,9.80,A:6;95;-19;98
2026-05-19 11:29:59.201,0.10,9.50,-2.10,9.80,A:1;95;-21;98
2026-05-19 11:29:59.737,0.30,9.50,-2.00,9.70,A:3;95;-20;97
2026-05-19 11:30:00.218,0.30,9.50,-2.10,9.70,A:3;95;-21;97
2026-05-19 11:30:00.704,0.20,9.30,-2.20,9.60,A:2;93;-22;96
2026-05-19 11:30:01.244,1.50,9.40,-1.70,9.70,A:15;94;-17;97
2026-05-19 11:30:01.727,2.20,9.40,-1.70,9.80,A:22;94;-17;98
2026-05-19 11:30:02.217,0.70,9.50,-1.60,9.60,A:7;95;-16;96
2026-05-19 11:30:02.758,0.50,9.40,-1.60,9.60,A:5;94;-16;96
2026-05-19 11:30:03.247,0.40,9.40,-1.70,9.60,A:4;94;-17;96
2026-05-19 11:30:03.733,1.30,9.90,-1.40,10.10,A:13;99;-14;101
2026-05-19 11:30:04.223,1.50,9.40,-1.80,9.70,A:15;94;-18;97
2026-05-19 11:30:04.711,2.20,9.20,-1.90,9.70,A:22;92;-19;97
2026-05-19 11:30:05.245,2.20,9.30,-2.10,9.80,A:22;93;-21;98
2026-05-19 11:30:05.729,1.30,9.50,-1.80,9.80,A:13;95;-18;98
2026-05-19 11:30:06.213,1.70,9.40,-1.70,9.70,A:17;94;-17;97
2026-05-19 11:30:06.700,1.60,9.40,-1.60,9.70,A:16;94;-16;97
2026-05-19 11:30:07.244,2.10,9.50,-1.90,9.90,A:21;95;-19;99
2026-05-19 11:30:07.728,2.10,9.30,-1.70,9.70,A:21;93;-17;97
2026-05-19 11:30:08.215,2.50,9.40,-1.50,9.80,A:25;94;-15;98
2026-05-19 11:30:08.703,1.30,9.60,-1.70,9.90,A:13;96;-17;99
2026-05-19 11:30:09.245,2.30,9.40,-1.90,9.90,A:23;94;-19;99
2026-05-19 11:30:09.729,2.30,9.30,-1.80,9.80,A:23;93;-18;98
2026-05-19 11:30:10.218,2.20,9.30,-1.80,9.80,A:22;93;-18;98
2026-05-19 11:30:10.706,1.70,9.40,-1.70,9.70,A:17;94;-17;97
2026-05-19 11:30:11.240,1.60,9.40,-1.60,9.70,A:16;94;-16;97
2026-05-19 11:30:11.726,1.20,9.40,-1.70,9.70,A:12;94;-17;97
2026-05-19 11:30:12.218,1.50,9.40,-2.00,9.80,A:15;94;-20;98
2026-05-19 11:30:12.703,1.70,9.60,-1.50,9.90,A:17;96;-15;99
2026-05-19 11:30:13.236,1.50,9.30,-3.10,9.90,A:15;93;-31;99
2026-05-19 11:30:13.725,1.00,9.50,-2.20,9.80,A:10;95;-22;98
2026-05-19 11:30:14.214,2.50,9.10,-3.10,10.00,A:25;91;-31;100
2026-05-19 11:30:14.704,2.80,9.30,-1.80,9.90,A:28;93;-18;99
2026-05-19 11:30:15.238,1.90,9.30,-2.10,9.80,A:19;93;-21;98
2026-05-19 11:30:15.727,0.50,9.40,-2.60,9.80,A:5;94;-26;98
2026-05-19 11:30:16.211,1.10,9.50,-2.40,9.80,A:11;95;-24;98
2026-05-19 11:30:16.701,1.50,9.40,-2.30,9.80,A:15;94;-23;98
2026-05-19 11:30:17.237,2.10,9.50,-1.40,9.90,A:21;95;-14;99
2026-05-19 11:30:17.724,1.30,9.50,-2.10,9.90,A:13;95;-21;99
2026-05-19 11:30:18.214,0.20,9.50,-1.30,9.60,A:2;95;-13;96
2026-05-19 11:30:18.695,1.80,9.50,-1.80,9.90,A:18;95;-18;99
2026-05-19 11:30:19.233,2.50,9.40,-1.30,9.90,A:25;94;-13;99
