time,lr,fb,ud,mag,raw
2026-05-18 16:06:19.298,1.30,-1.00,8.30,8.40,A:13;-10;83;84
2026-05-18 16:06:19.776,1.50,1.20,9.50,9.70,A:15;12;95;97
2026-05-18 16:06:20.267,1.50,2.20,9.20,9.60,A:15;22;92;96
2026-05-18 16:06:20.755,1.00,2.80,8.00,8.60,A:10;28;80;86
2026-05-18 16:06:21.285,1.30,3.20,9.20,9.80,A:13;32;92;98
2026-05-18 16:06:21.779,1.00,3.90,8.70,9.60,A:10;39;87;96
2026-05-18 16:06:22.266,0.40,4.00,8.50,9.40,A:4;40;85;94
2026-05-18 16:06:22.753,0.90,3.70,8.70,9.50,A:9;37;87;95
2026-05-18 16:06:23.289,2.40,3.70,8.20,9.30,A:24;37;82;93
2026-05-18 16:06:23.778,1.60,2.30,9.50,9.90,A:16;23;95;99
2026-05-18 16:06:24.265,0.70,2.60,8.80,9.20,A:7;26;88;92
2026-05-18 16:06:24.748,0.20,2.70,8.60,9.10,A:2;27;86;91
2026-05-18 16:06:25.289,-0.50,3.20,8.50,9.10,A:-5;32;85;91
2026-05-18 16:06:25.776,-1.00,3.40,8.30,9.10,A:-10;34;83;91
2026-05-18 16:06:26.268,-1.10,3.30,8.70,9.40,A:-11;33;87;94
2026-05-18 16:06:26.754,1.30,2.40,9.10,9.50,A:13;24;91;95
2026-05-18 16:06:27.291,5.90,0.70,8.50,10.40,A:59;7;85;104
2026-05-18 16:06:27.780,6.30,0.40,7.40,9.70,A:63;4;74;97
2026-05-18 16:06:28.267,5.40,2.40,7.90,9.90,A:54;24;79;99
2026-05-18 16:06:28.753,0.80,3.90,8.60,9.50,A:8;39;86;95
2026-05-18 16:06:29.291,-4.30,2.70,7.20,8.80,A:-43;27;72;88
2026-05-18 16:06:29.777,-5.40,0.90,7.50,9.30,A:-54;9;75;93
2026-05-18 16:06:30.265,0.50,1.80,9.00,9.20,A:5;18;90;92
2026-05-18 16:06:30.749,5.60,-1.00,8.10,9.90,A:56;-10;81;99
2026-05-18 16:06:31.287,-0.30,0.20,9.00,9.00,A:-3;2;90;90
2026-05-18 16:06:31.776,-4.60,3.00,5.00,7.50,A:-46;30;50;75
2026-05-18 16:06:32.261,-4.50,0.60,7.90,9.10,A:-45;6;79;91
2026-05-18 16:06:32.750,3.10,0.20,8.60,9.20,A:31;2;86;92
2026-05-18 16:06:33.288,5.40,1.00,8.50,10.20,A:54;10;85;102
2026-05-18 16:06:33.776,-1.60,5.30,5.40,7.80,A:-16;53;54;78
2026-05-18 16:06:34.264,-3.20,0.30,9.20,9.70,A:-32;3;92;97
2026-05-18 16:06:34.751,5.50,0.20,7.50,9.30,A:55;2;75;93
2026-05-18 16:06:35.283,4.60,0.70,9.00,10.20,A:46;7;90;102
2026-05-18 16:06:35.774,-1.10,3.90,7.10,8.20,A:-11;39;71;82
2026-05-18 16:06:36.262,-4.60,5.00,5.70,8.90,A:-46;50;57;89
2026-05-18 16:06:36.798,-5.40,1.90,7.50,9.40,A:-54;19;75;94
2026-05-18 16:06:37.285,3.00,1.80,8.10,8.80,A:30;18;81;88
2026-05-18 16:06:37.774,7.30,-1.10,7.90,10.80,A:73;-11;79;108
2026-05-18 16:06:38.261,2.10,2.90,8.30,9.10,A:21;29;83;91
2026-05-18 16:06:38.796,-7.10,3.70,5.20,9.60,A:-71;37;52;96
2026-05-18 16:06:39.284,-4.70,2.40,5.90,8.00,A:-47;24;59;80
2026-05-18 16:06:39.772,4.00,0.20,8.60,9.50,A:40;2;86;95
2026-05-18 16:06:40.259,4.80,-1.30,10.30,11.50,A:48;-13;103;115
2026-05-18 16:06:40.793,-1.60,3.60,6.20,7.40,A:-16;36;62;74
2026-05-18 16:06:41.284,-6.90,3.10,4.10,8.60,A:-69;31;41;86
2026-05-18 16:06:41.769,-1.90,1.10,9.20,9.40,A:-19;11;92;94
2026-05-18 16:06:42.259,7.00,-1.80,7.90,10.70,A:70;-18;79;107
2026-05-18 16:06:42.792,3.80,-0.20,8.80,9.60,A:38;-2;88;96
2026-05-18 16:06:43.280,-6.10,2.30,6.70,9.40,A:-61;23;67;94
2026-05-18 16:06:43.766,-9.50,1.90,3.20,10.20,A:-95;19;32;102
2026-05-18 16:06:44.257,-0.10,1.00,9.60,9.60,A:-1;10;96;96
2026-05-18 16:06:44.791,6.50,-1.30,6.70,9.50,A:65;-13;67;95
2026-05-18 16:06:45.277,4.50,-0.10,9.80,10.80,A:45;-1;98;108
2026-05-18 16:06:45.767,-6.10,3.50,6.10,9.40,A:-61;35;61;94
2026-05-18 16:06:46.256,-8.30,4.20,1.90,9.50,A:-83;42;19;95
2026-05-18 16:06:46.790,-0.10,1.40,9.20,9.30,A:-1;14;92;93
2026-05-18 16:06:47.277,7.30,-1.50,6.40,9.90,A:73;-15;64;99
2026-05-18 16:06:47.762,5.00,0.00,8.40,9.80,A:50;0;84;98
2026-05-18 16:06:48.253,-4.40,4.40,5.50,8.30,A:-44;44;55;83
2026-05-18 16:06:48.786,-7.10,5.60,0.40,9.00,A:-71;56;4;90
2026-05-18 16:06:49.277,-1.00,1.80,9.70,10.00,A:-10;18;97;100
2026-05-18 16:06:49.764,4.50,-1.00,10.00,11.00,A:45;-10;100;110
2026-05-18 16:06:50.250,-5.20,4.50,6.00,9.10,A:-52;45;60;91
2026-05-18 16:06:50.791,2.20,-0.30,8.40,8.70,A:22;-3;84;87
2026-05-18 16:06:51.274,6.20,0.10,8.90,10.90,A:62;1;89;109
2026-05-18 16:06:51.765,-3.00,4.40,7.50,9.20,A:-30;44;75;92
2026-05-18 16:06:52.251,-4.30,2.50,8.20,9.60,A:-43;25;82;96
2026-05-18 16:06:52.789,4.90,-1.10,9.60,10.90,A:49;-11;96;109
2026-05-18 16:06:53.275,0.60,1.90,9.80,10.00,A:6;19;98;100
2026-05-18 16:06:53.763,-1.50,2.00,8.60,9.00,A:-15;20;86;90
2026-05-18 16:06:54.251,-2.10,0.60,9.10,9.30,A:-21;6;91;93
2026-05-18 16:06:54.786,-0.30,-0.10,9.00,9.00,A:-3;-1;90;90
2026-05-18 16:06:55.272,0.40,0.80,12.20,12.20,A:4;8;122;122
2026-05-18 16:06:55.762,1.00,3.50,7.40,8.30,A:10;35;74;83
2026-05-18 16:06:56.298,0.20,2.20,7.80,8.10,A:2;22;78;81
2026-05-18 16:06:56.786,1.40,1.80,10.70,10.90,A:14;18;107;109
2026-05-18 16:06:57.272,-0.70,1.00,8.90,9.00,A:-7;10;89;90
2026-05-18 16:06:57.758,1.70,3.90,9.30,10.30,A:17;39;93;103
2026-05-18 16:06:58.297,-0.60,2.80,8.20,8.70,A:-6;28;82;87
2026-05-18 16:06:58.784,-0.40,-1.00,9.40,9.50,A:-4;-10;94;95
2026-05-18 16:06:59.266,-0.10,1.80,9.30,9.50,A:-1;18;93;95
2026-05-18 16:06:59.766,0.40,0.70,9.80,9.80,A:4;7;98;98
2026-05-18 16:07:00.302,1.40,1.40,8.80,9.00,A:14;14;88;90
2026-05-18 16:07:00.780,-0.60,-0.70,8.00,8.00,A:-6;-7;80;80
2026-05-18 16:07:01.266,0.30,2.50,8.60,9.00,A:3;25;86;90
2026-05-18 16:07:01.766,0.80,1.10,8.70,8.80,A:8;11;87;88
2026-05-18 16:07:02.289,1.20,-0.60,7.50,7.70,A:12;-6;75;77
2026-05-18 16:07:02.784,0.00,-1.00,9.20,9.20,A:0;-10;92;92
2026-05-18 16:07:03.259,0.00,1.90,10.30,10.50,A:0;19;103;105
2026-05-18 16:07:03.751,0.80,0.50,9.50,9.60,A:8;5;95;96
2026-05-18 16:07:04.300,0.60,1.90,8.30,8.50,A:6;19;83;85
2026-05-18 16:07:04.777,0.30,0.10,8.70,8.70,A:3;1;87;87
2026-05-18 16:07:05.265,0.60,1.70,10.10,10.30,A:6;17;101;103
2026-05-18 16:07:05.746,0.50,3.30,9.50,10.10,A:5;33;95;101
2026-05-18 16:07:06.297,1.40,-1.10,9.20,9.40,A:14;-11;92;94
2026-05-18 16:07:06.772,0.00,0.70,8.70,8.70,A:0;7;87;87
2026-05-18 16:07:07.259,0.40,3.10,9.50,10.00,A:4;31;95;100
2026-05-18 16:07:07.748,0.60,3.30,7.20,8.00,A:6;33;72;80
2026-05-18 16:07:08.284,0.40,-1.60,9.50,9.70,A:4;-16;95;97
2026-05-18 16:07:08.772,0.60,0.90,9.20,9.30,A:6;9;92;93
2026-05-18 16:07:09.262,0.70,0.80,9.20,9.30,A:7;8;92;93
2026-05-18 16:07:09.749,0.70,0.80,9.30,9.30,A:7;8;93;93
2026-05-18 16:07:10.286,0.50,0.70,9.30,9.40,A:5;7;93;94
2026-05-18 16:07:10.775,0.60,1.90,8.20,8.40,A:6;19;82;84
2026-05-18 16:07:11.264,1.10,0.90,9.30,9.50,A:11;9;93;95
2026-05-18 16:07:11.748,0.30,1.10,9.20,9.30,A:3;11;92;93
2026-05-18 16:07:12.287,0.40,1.20,9.10,9.20,A:4;12;91;92
2026-05-18 16:07:12.775,0.50,1.30,9.20,9.30,A:5;13;92;93
2026-05-18 16:07:13.262,0.00,4.60,10.30,11.30,A:0;46;103;113
2026-05-18 16:07:13.748,0.90,0.20,9.20,9.30,A:9;2;92;93
2026-05-18 16:07:14.286,1.40,1.10,9.20,9.40,A:14;11;92;94
2026-05-18 16:07:14.775,0.70,1.50,8.70,8.90,A:7;15;87;89
2026-05-18 16:07:15.262,1.10,1.60,9.20,9.50,A:11;16;92;95
2026-05-18 16:07:15.747,0.60,3.20,9.00,9.60,A:6;32;90;96
2026-05-18 16:07:16.287,0.80,-0.50,9.80,9.80,A:8;-5;98;98
