#SAVE_SWIMMER_SD_SESSION
#serial,SS-LT-000001
#firmware,SS-LITE-BLE-SD-V1-033
#user,prueba15 segundos
#age,0
#height_m,0.00
#weight_kg,0.00
#mode,TEST
#start_local,2026-05-26 15:55:29
#file_id,/SS000013.CSV
row,elapsed_s,local_time,lr,fb,ud,mag,pitch,roll,body,motion,risk
1,0.28,2026-05-26 15:55:29,-0.54,-0.51,9.44,9.47,3.3,-3.1,BACK_UP,MOVING,NORMAL
2,0.38,2026-05-26 15:55:29,-0.56,-0.52,9.45,9.48,3.4,-3.1,BACK_UP,MOVING,NORMAL
3,0.48,2026-05-26 15:55:29,-0.54,-0.52,9.48,9.51,3.2,-3.1,BACK_UP,MOVING,NORMAL
4,0.58,2026-05-26 15:55:29,-0.64,-0.54,9.46,9.50,3.9,-3.3,BACK_UP,MOVING,NORMAL
5,0.68,2026-05-26 15:55:29,-0.72,-0.46,9.37,9.41,4.4,-2.8,BACK_UP,MOVING,NORMAL
6,0.78,2026-05-26 15:55:29,-0.85,-0.57,9.51,9.56,5.1,-3.4,BACK_UP,MOVING,NORMAL
7,0.88,2026-05-26 15:55:29,-1.24,-0.54,10.01,10.11,7.0,-3.1,BACK_UP,MOVING,NORMAL
8,0.98,2026-05-26 15:55:29,-2.30,-0.25,9.76,10.03,13.3,-1.5,BACK_UP,MOVING,NORMAL
9,1.08,2026-05-26 15:55:30,-3.65,-0.15,8.62,9.36,23.0,-1.0,BACK_UP,MOVING,NORMAL
10,1.18,2026-05-26 15:55:30,-4.75,-0.26,7.37,8.77,32.8,-2.0,BACK_UP,MOVING,NORMAL
11,1.28,2026-05-26 15:55:30,-5.81,-0.11,6.32,8.59,42.6,-1.0,BACK_UP,MOVING,NORMAL
12,1.38,2026-05-26 15:55:30,-5.86,-0.14,6.02,8.40,44.2,-1.4,BACK_UP,MOVING,NORMAL
13,1.48,2026-05-26 15:55:30,-4.49,-0.06,6.36,7.79,35.2,-0.5,BACK_UP,MOVING,NORMAL
14,1.58,2026-05-26 15:55:30,-3.18,-0.50,8.53,9.11,20.4,-3.3,BACK_UP,MOVING,NORMAL
15,1.68,2026-05-26 15:55:30,-2.01,-0.68,9.29,9.53,12.2,-4.2,BACK_UP,MOVING,NORMAL
16,1.78,2026-05-26 15:55:30,-0.66,-0.15,11.35,11.37,3.3,-0.7,BACK_UP,MOVING,NORMAL
17,1.88,2026-05-26 15:55:30,0.12,-0.76,9.61,9.64,-0.7,-4.5,BACK_UP,MOVING,NORMAL
18,1.98,2026-05-26 15:55:30,0.93,-0.67,9.45,9.52,-5.6,-4.0,BACK_UP,MOVING,NORMAL
19,2.08,2026-05-26 15:55:31,2.32,-0.78,9.34,9.66,-13.9,-4.8,BACK_UP,MOVING,NORMAL
20,2.18,2026-05-26 15:55:31,3.92,-0.86,8.84,9.71,-23.8,-5.6,BACK_UP,MOVING,NORMAL
21,2.28,2026-05-26 15:55:31,5.13,-0.93,8.26,9.77,-31.7,-6.4,BACK_UP,MOVING,NORMAL
22,2.38,2026-05-26 15:55:31,5.52,-0.91,7.95,9.72,-34.6,-6.6,BACK_UP,MOVING,NORMAL
23,2.48,2026-05-26 15:55:31,4.71,-0.96,8.56,9.82,-28.7,-6.4,BACK_UP,MOVING,NORMAL
24,2.58,2026-05-26 15:55:31,3.19,-0.74,9.20,9.76,-19.1,-4.6,BACK_UP,MOVING,NORMAL
25,2.68,2026-05-26 15:55:31,1.29,-1.00,9.54,9.68,-7.7,-6.0,BACK_UP,MOVING,NORMAL
26,2.78,2026-05-26 15:55:31,-0.59,-1.12,10.17,10.24,3.3,-6.3,BACK_UP,MOVING,NORMAL
