"codigo","rotacion","dedos","patada","descripcion"
"QSEC","","","","Quieto seco con dispositivo colocado"
"QAGU","","","","Quieto en agua sin avanzar"
"BASE","natural","natural","natural","Nado natural sin tecnica forzada"
"EASP","exagerada","abiertos","sin","Rotacion exagerada, dedos abiertos, sin patada"
"EACP","exagerada","abiertos","con","Rotacion exagerada, dedos abiertos, con patada"
"ECSP","exagerada","cerrados","sin","Rotacion exagerada, dedos cerrados, sin patada"
"ECCP","exagerada","cerrados","con","Rotacion exagerada, dedos cerrados, con patada"
"SASP","sin","abiertos","sin","Sin rotacion, dedos abiertos, sin patada"
"SACP","sin","abiertos","con","Sin rotacion, dedos abiertos, con patada"
"SCSP","sin","cerrados","sin","Sin rotacion, dedos cerrados, sin patada"
"SCCP","sin","cerrados","con","Sin rotacion, dedos cerrados, con patada"
"NASP","normal","abiertos","sin","Rotacion normal, dedos abiertos, sin patada"
"NACP","normal","abiertos","con","Rotacion normal, dedos abiertos, con patada"
"NCSP","normal","cerrados","sin","Rotacion normal, dedos cerrados, sin patada"
"NCCP","normal","cerrados","con","Rotacion normal, dedos cerrados, con patada"
